purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-07,100,103.36134453781514
2021-01-07,2021-01-12,100,102.50406504065042
2021-01-12,2021-01-13,100,98.0488578680203
2021-01-13,2021-01-15,100,102.76654263064229
2021-01-15,2021-01-20,100,102.17254408060454
2021-01-20,2021-01-26,100,97.27272727272727
2021-01-26,2021-01-29,100,96.59432916204656
2021-01-29,2021-02-01,100,104.46047884552314
2021-02-01,2021-02-02,100,102.73155416012558
2021-02-02,2021-02-04,100,103.3924205378973
2021-02-04,2021-02-11,100,103.97576115873485
2021-02-11,2021-02-19,100,103.39729921819473
2021-02-19,2021-02-22,100,103.45064613692605
2021-02-22,2021-02-23,100,103.49501661129568
2021-02-23,2021-02-25,100,95.74987159732922
2021-02-25,2021-03-01,100,103.99624513879577
2021-03-01,2021-03-04,100,98.81366860090264
2021-03-04,2021-03-09,100,97.80764713558659
2021-03-09,2021-03-10,100,102.48165443629087
2021-03-10,2021-03-11,100,102.27834917328474
2021-03-11,2021-03-15,100,102.55855397148675
2021-03-15,2021-03-16,100,97.24463199702123
2021-03-16,2021-03-19,100,97.94511805998724
2021-03-19,2021-03-22,100,98.94448788115717
2021-03-22,2021-03-23,100,98.74884762281047
2021-03-23,2021-03-24,100,98.90637503334221
2021-03-24,2021-03-25,100,103.0609492988134
2021-03-25,2021-03-26,100,103.48030877927515
2021-03-26,2021-03-29,100,97.73675559489189
2021-03-29,2021-03-30,100,102.35446313065977
2021-03-30,2021-04-05,100,102.28766430738119
2021-04-05,2021-04-06,100,98.40602990238477
2021-04-06,2021-04-07,100,98.4429934706178
2021-04-07,2021-04-09,100,102.5765306122449
2021-04-09,2021-04-13,100,98.15966177567769
2021-04-13,2021-04-14,100,102.6349125918419
2021-04-14,2021-04-23,100,102.3204147124167
2021-04-23,2021-04-29,100,102.71411338962606
2021-04-29,2021-05-07,100,102.05519671168526
2021-05-07,2021-05-11,100,98.6536248561565
2021-05-11,2021-05-12,100,98.42528869707219
2021-05-12,2021-05-13,100,102.3702299123015
2021-05-13,2021-05-19,100,98.27506367214633
2021-05-19,2021-05-20,100,103.36906584992343
2021-05-20,2021-06-01,100,102.17663817663818
2021-06-01,2021-06-04,100,98.11510149453491
2021-06-04,2021-06-18,100,98.1698306240764
2021-06-18,2021-06-21,100,103.05697081982399
