purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-06,100,97.6946576466613
2021-01-06,2021-01-14,100,102.19527345624981
2021-01-14,2021-01-19,100,102.99423945627098
2021-01-19,2021-01-26,100,102.54169656569178
2021-01-26,2021-01-27,100,97.82018665428409
2021-01-27,2021-01-28,100,98.90820351674803
2021-01-28,2021-02-01,100,103.88273386644316
2021-02-01,2021-02-05,100,98.77278258210187
2021-02-05,2021-02-19,100,102.18320761553412
2021-02-19,2021-02-23,100,97.48821796285192
2021-02-23,2021-02-25,100,98.7461395514936
2021-02-25,2021-02-26,100,97.57897627195831
2021-02-26,2021-03-01,100,98.71175412828924
2021-03-01,2021-03-03,100,96.60768294802712
2021-03-03,2021-03-08,100,98.8182459372706
2021-03-08,2021-03-09,100,102.91688515993707
2021-03-09,2021-03-11,100,103.10171326667093
2021-03-11,2021-03-12,100,102.76816846498092
2021-03-12,2021-03-16,100,104.01135414927367
2021-03-16,2021-03-23,100,102.20957933873154
2021-03-23,2021-03-26,100,102.71781469102605
2021-03-26,2021-03-30,100,98.67337826762407
2021-03-30,2021-04-01,100,102.03745141914968
2021-04-01,2021-04-15,100,102.8684939495553
2021-04-15,2021-04-22,100,102.6461869161086
2021-04-22,2021-04-29,100,102.0302728700545
2021-04-29,2021-05-04,100,97.84547894535038
2021-05-04,2021-05-06,100,98.3529940585615
2021-05-06,2021-05-12,100,98.86739829728889
2021-05-12,2021-05-18,100,102.2058126303812
2021-05-18,2021-05-25,100,102.96999849238655
2021-05-25,2021-06-02,100,103.7712580245523
2021-06-02,2021-06-10,100,102.53151505613833
2021-06-10,2021-06-11,100,97.70035248912365
2021-06-11,2021-07-06,100,102.7172705948634
2021-07-06,2021-07-22,100,96.19646332266248
2021-07-22,2021-08-17,100,102.50492047740967
2021-08-17,2021-08-18,100,98.58533454564903
2021-08-18,2021-08-20,100,102.05669334056695
2021-08-20,2021-08-23,100,98.94639477769034
2021-08-23,2021-08-24,100,98.25018535033901
2021-08-24,2021-08-25,100,98.84129770282757
2021-08-25,2021-08-31,100,102.31248409475651
2021-08-31,2021-09-09,100,98.8493441045107
2021-09-09,2021-09-10,100,97.87265466878179
2021-09-10,2021-09-23,100,98.56640640282583
2021-09-23,2021-09-24,100,98.75422440971671
2021-09-24,2021-09-27,100,97.3552902807205
2021-09-27,2021-09-28,100,98.76203900845164
2021-09-28,2021-10-01,100,98.83848698747117
2021-10-01,2021-10-08,100,98.14390758206504
2021-10-08,2021-10-18,100,98.82169702715512
2021-10-18,2021-10-19,100,103.0213738841163
2021-10-19,2021-10-21,100,102.92127493605365
2021-10-21,2021-10-28,100,102.22673967709338
2021-10-28,2021-11-08,100,98.94421646723451
2021-11-08,2021-11-17,100,102.62551043524223
2021-11-17,2021-11-22,100,98.51480385109551
2021-11-22,2021-11-24,100,102.58484484611007
2021-11-24,2021-11-26,100,98.30693579461446
2021-11-26,2021-11-30,100,98.99275903127118
2021-11-30,2021-12-02,100,102.19784646727403
2021-12-02,2021-12-07,100,103.50884108570784
2021-12-07,2021-12-09,100,98.68288622552512
2021-12-09,2021-12-13,100,104.74722972600475
2021-12-13,2021-12-14,100,98.85421655675498
2021-12-14,2021-12-16,100,102.8569298918136
2021-12-16,2021-12-27,100,102.13830943630622
2021-12-27,2022-01-04,100,98.72846782653646
2022-01-04,2022-01-05,100,93.22526333080098
2022-01-05,2022-01-06,100,102.14575968812976
2022-01-06,2022-01-11,100,97.448668812092
2022-01-11,2022-01-14,100,98.16625916870416
2022-01-14,2022-01-20,100,98.6419704389084
2022-01-20,2022-01-26,100,97.38536328997503
2022-01-26,2022-01-27,100,96.98960557497828
2022-01-27,2022-01-28,100,105.30832688213665
2022-01-28,2022-02-08,100,98.23570965018578
2022-02-08,2022-02-10,100,97.49428526328713
2022-02-10,2022-02-11,100,97.59299125105689
2022-02-11,2022-02-15,100,98.0583598055902
2022-02-15,2022-02-17,100,98.6552957910633
2022-02-17,2022-02-23,100,97.89447609611096
2022-02-23,2022-02-24,100,103.16619952247483
2022-02-24,2022-03-02,100,104.9689323807607
2022-03-02,2022-03-04,100,103.40604760677974
2022-03-04,2022-03-07,100,98.7050534781047
2022-03-07,2022-03-08,100,98.3458461249479
2022-03-08,2022-03-17,100,102.6333852609212
2022-03-17,2022-03-18,100,98.84677789861183
2022-03-18,2022-03-28,100,103.40236512325704
2022-03-28,2022-03-30,100,102.0625536975187
2022-03-30,2022-04-01,100,102.42783395957143
2022-04-01,2022-04-05,100,102.15258010264894
2022-04-05,2022-04-06,100,102.30968415668558
2022-04-06,2022-04-12,100,98.2387526494222
2022-04-12,2022-04-18,100,98.38211205411336
2022-04-18,2022-04-20,100,103.6559278836569
2022-04-20,2022-04-22,100,98.08498029879298
2022-04-22,2022-04-26,100,97.15618209762044
2022-04-26,2022-04-29,100,98.1922716065545
2022-04-29,2022-05-02,100,97.62957613465919
2022-05-02,2022-05-04,100,102.00235571260308
2022-05-04,2022-05-05,100,98.45477569144605
2022-05-05,2022-05-09,100,96.58001495818507
2022-05-09,2022-05-10,100,97.09778476557
2022-05-10,2022-05-13,100,103.64088961929563
2022-05-13,2022-05-20,100,103.23490832774654
2022-05-20,2022-05-24,100,105.16534525987666
2022-05-24,2022-05-26,100,97.87092374524113
2022-05-26,2022-05-27,100,103.12455422294889
2022-05-27,2022-05-31,100,98.06555615260612
2022-05-31,2022-06-02,100,98.71368506713686
2022-06-02,2022-06-03,100,97.77251393209274
2022-06-03,2022-06-09,100,98.137728287081
2022-06-09,2022-06-10,100,96.1137077004147
2022-06-10,2022-06-13,100,96.17170134026209
2022-06-13,2022-06-14,100,95.958581971632
2022-06-14,2022-06-16,100,98.1447399859225
