date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-11,98.82237487733072,100,-1.1776251226692835,1,98.82237487733072
2021-01-11,98.82237487733072,200,-1.1776251226692835,2,0.0
2021-01-14,202.69526464892954,200,2.6638939643639077,2,103.8728897715988
2021-01-14,202.69526464892954,300,2.6638939643639077,3,3.872889771598807
2021-01-22,299.3491843430022,300,-0.643240692997864,3,100.52680946567145
2021-01-22,299.3491843430022,400,-0.643240692997864,4,0.5268094656714482
2021-01-25,394.4035859255937,400,-5.53127637421926,4,95.58121104826294
2021-01-25,394.4035859255937,500,-5.53127637421926,5,0.0
2021-01-26,491.80212910977684,500,-7.763398939330216,5,97.39854318418314
2021-01-26,491.80212910977684,600,-7.763398939330216,6,0.0
2021-01-28,597.2508470584949,600,-2.5408567829347817,6,105.44871794871796
2021-01-28,597.2508470584949,700,-2.5408567829347817,7,5.448717948717956
2021-01-29,691.8303809997309,700,-7.550628245317327,7,100.02825188995403
2021-01-29,691.8303809997309,800,-7.550628245317327,8,0.028251889954034937
2021-02-02,796.0082063880544,800,-3.6893458060701647,8,104.20607727827753
2021-02-02,796.0082063880544,900,-3.6893458060701647,9,4.206077278277533
2021-02-03,901.0981806811135,900,1.0149743909726965,9,109.29605157133666
2021-02-03,901.0981806811135,1000,1.0149743909726965,10,9.296051571336662
2021-02-04,1004.0825251038141,1000,3.773202809097924,10,112.28039599403725
2021-02-04,1004.0825251038141,1100,3.773202809097924,11,12.28039599403725
2021-02-08,1106.7428576453817,1100,6.231968882477361,11,114.94072853560495
2021-02-08,1106.7428576453817,1200,6.231968882477361,12,14.940728535604947
2021-02-09,1204.1514647717122,1200,3.8369190979036887,12,112.34933566193536
2021-02-09,1204.1514647717122,1300,3.8369190979036887,13,12.349335661935356
2021-02-11,1302.583768809717,1300,2.3880033760907935,13,110.78163969994009
2021-02-11,1302.583768809717,1400,2.3880033760907935,14,10.781639699940087
2021-02-16,1411.029714755663,1400,10.194021994068152,14,119.22758564588602
2021-02-16,1411.029714755663,1500,10.194021994068152,15,19.227585645886023
2021-02-17,1514.2784909016355,1500,13.196646832470577,15,122.47636179185844
2021-02-17,1514.2784909016355,1600,13.196646832470577,16,22.476361791858437
2021-02-18,1612.9422840050838,1600,11.961680852495405,16,121.14015489530672
2021-02-18,1612.9422840050838,1700,11.961680852495405,17,21.140154895306722
2021-02-19,1720.3691079456692,1700,18.825793685289142,17,128.56697883589214
2021-02-19,1720.3691079456692,1800,18.825793685289142,18,28.566978835892144
2021-02-22,1825.981145359252,1800,24.01262163985831,18,134.1790162494749
2021-02-22,1825.981145359252,1900,24.01262163985831,19,34.1790162494749
2021-02-24,1929.985766075463,1900,27.713822673910187,19,138.18363696568593
2021-02-24,1929.985766075463,2000,27.713822673910187,20,38.183636965685935
2021-02-25,2024.2841740725012,2000,22.444225447965977,20,132.48204496272405
2021-02-25,2024.2841740725012,2100,22.444225447965977,21,32.482044962724046
2021-02-26,2129.3096942923676,2100,27.088975089079852,21,137.50756518259055
2021-02-26,2129.3096942923676,2200,27.088975089079852,22,37.507565182590554
2021-03-01,2227.6648344792834,2200,25.568742020212028,22,135.86270536950644
2021-03-01,2227.6648344792834,2300,25.568742020212028,23,35.86270536950644
