purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-05,100,98.38647357927763
2021-01-05,2021-01-06,100,98.1023892929515
2021-01-06,2021-01-11,100,102.66128644857568
2021-01-11,2021-01-12,100,96.9366587119617
2021-01-12,2021-01-20,100,103.43207453056364
2021-01-20,2021-01-27,100,95.7935347375626
2021-01-27,2021-01-28,100,106.31231933482736
2021-01-28,2021-01-29,100,92.80684335140914
2021-01-29,2021-02-01,100,98.59437751004016
2021-02-01,2021-02-02,100,102.95148742946813
2021-02-02,2021-02-03,100,98.79357872547429
2021-02-03,2021-02-17,100,102.4390243902439
2021-02-17,2021-02-18,100,98.7662628981606
2021-02-18,2021-02-19,100,98.51886700626197
2021-02-19,2021-02-22,100,98.22325412899933
2021-02-22,2021-02-24,100,102.01341156747694
2021-02-24,2021-02-25,100,98.85622257645724
2021-02-25,2021-03-01,100,103.0138808079129
2021-03-01,2021-03-03,100,96.9887683965918
2021-03-03,2021-03-05,100,103.82849156434062
2021-03-05,2021-03-08,100,98.1331025751967
2021-03-08,2021-03-10,100,102.72543192135603
2021-03-10,2021-03-17,100,102.03316006167836
2021-03-17,2021-03-18,100,98.05720873710779
2021-03-18,2021-03-23,100,102.55167702060726
2021-03-23,2021-03-25,100,98.81323107909209
2021-03-25,2021-03-31,100,96.74344219884287
2021-03-31,2021-04-01,100,98.6321351009692
2021-04-01,2021-04-13,100,102.08846823753655
2021-04-13,2021-04-15,100,102.36765439649761
2021-04-15,2021-04-20,100,102.5880503144654
2021-04-20,2021-04-29,100,102.68368942157373
2021-04-29,2021-05-07,100,103.5031419317283
2021-05-07,2021-05-11,100,98.79585832948777
2021-05-11,2021-05-14,100,103.69440511465646
2021-05-14,2021-05-17,100,96.68496621621621
2021-05-17,2021-05-19,100,98.95173618694038
2021-05-19,2021-05-20,100,102.21584639152506
2021-05-20,2021-06-02,100,98.23523484619481
2021-06-02,2021-06-22,100,103.59586782914498
2021-06-22,2021-06-23,100,98.9108756842388
2021-06-23,2021-06-25,100,103.14604813453644
2021-06-25,2021-07-07,100,102.92254155748728
2021-07-07,2021-07-12,100,96.95973705834018
2021-07-12,2021-07-13,100,98.73575993331482
2021-07-13,2021-07-14,100,98.68720979316167
2021-07-14,2021-07-20,100,102.47943310948573
2021-07-20,2021-07-30,100,103.51855974177751
2021-07-30,2021-08-03,100,103.49035683085815
2021-08-03,2021-08-17,100,102.38305498558479
2021-08-17,2021-08-27,100,102.38593553788195
2021-08-27,2021-09-09,100,97.30295597016774
2021-09-09,2021-09-14,100,97.00156606103819
2021-09-14,2021-09-21,100,98.13220276691256
2021-09-21,2021-09-24,100,98.8684242205369
2021-09-24,2021-09-28,100,98.41984929042034
2021-09-28,2021-10-05,100,102.7904163631115
2021-10-05,2021-10-08,100,94.42891720937698
2021-10-08,2021-10-11,100,98.45637488847663
2021-10-11,2021-10-19,100,103.26222976568904
2021-10-19,2021-10-20,100,102.24262094134362
2021-10-20,2021-10-27,100,97.3433604446806
2021-10-27,2021-10-28,100,98.84676211669536
