date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-06,97.53447290615915,100,-2.465527093840848,1,97.53447290615915
2021-01-06,97.53447290615915,200,-2.465527093840848,2,0.0
2021-01-19,195.83157670895434,200,-4.068122625503207,2,98.29710380279519
2021-01-19,195.83157670895434,300,-4.068122625503207,3,0.0
2021-01-21,293.8906958945074,300,-5.8648330391094134,3,98.05911918555307
2021-01-22,293.8906958945074,400,-5.8648330391094134,4,0.0
2021-02-05,396.04050143270496,400,-3.731528163975682,4,102.14980553819753
2021-02-05,396.04050143270496,500,-3.731528163975682,5,2.1498055381975263
2021-02-09,494.57480832956253,500,-5.112833145191331,5,100.6841124350551
2021-02-09,494.57480832956253,600,-5.112833145191331,6,0.6841124350550984
2021-02-19,592.6703326064323,600,-6.9076575851262305,6,98.77963671192487
2021-02-19,592.6703326064323,700,-6.9076575851262305,7,0.0
2021-02-26,690.0772342209114,700,-9.24512860242345,7,97.40690161447904
2021-02-26,690.0772342209114,800,-9.24512860242345,8,0.0
2021-03-04,789.0678524845421,800,-9.945298808645603,8,98.99061826363067
2021-03-04,789.0678524845421,900,-9.945298808645603,9,0.0
2021-03-05,891.2429520588148,900,-7.894057887921974,9,102.17509957427275
2021-03-05,891.2429520588148,1000,-7.894057887921974,10,2.1750995742727497
2021-03-09,989.7714775435536,1000,-9.220521449854019,10,100.7036250590115
2021-03-09,989.7714775435536,1100,-9.220521449854019,11,0.7036250590115003
2021-03-23,1093.5215765925443,1100,-5.839987372959769,11,104.45372410800216
2021-03-23,1093.5215765925443,1200,-5.839987372959769,12,4.453724108002163
2021-03-29,1196.2854155510565,1200,-3.348519371651008,12,107.21756306651443
2021-03-29,1196.2854155510565,1300,-3.348519371651008,13,7.21756306651443
2021-03-31,1294.9477689953758,1300,-4.554343459293719,13,105.8799165108337
2021-03-31,1294.9477689953758,1400,-4.554343459293719,14,5.879916510833695
2021-04-15,1397.01348986998,1400,-2.6921953616770935,14,107.94563738543806
2021-04-15,1397.01348986998,1500,-2.6921953616770935,15,7.9456373854380615
2021-04-27,1495.2030910176968,1500,-4.324182925995174,15,106.13523853315479
2021-04-27,1495.2030910176968,1600,-4.324182925995174,16,6.135238533154791
2021-04-30,1597.9270886229735,1600,-1.8686299900013523,16,108.85923613843163
2021-04-30,1597.9270886229735,1700,-1.8686299900013523,17,8.859236138431626
2021-05-10,1701.1974730048214,1700,1.0794643677609912,17,112.12962052027945
2021-05-10,1701.1974730048214,1800,1.0794643677609912,18,12.129620520279445
2021-05-11,1800.1184977329954,1800,0.1068200117364313,18,111.05064524845349
2021-05-11,1800.1184977329954,1900,0.1068200117364313,19,11.050645248453492
2021-05-20,1902.1200383462499,1900,1.911112688010121,19,113.05218586170804
2021-05-20,1902.1200383462499,2000,1.911112688010121,20,13.05218586170804
2021-06-01,2000.2039717465198,2000,0.1838707273664113,20,111.13611926197785
2021-06-01,2000.2039717465198,2100,0.1838707273664113,21,11.136119261977854
2021-06-18,2098.4342314172904,2100,-1.4114651323156409,21,109.36637893274836
2021-06-18,2098.4342314172904,2200,-1.4114651323156409,22,9.366378932748361
2021-07-07,2200.4580859984544,2200,0.4129425137022764,22,111.39023351391226
2021-07-07,2200.4580859984544,2300,0.4129425137022764,23,11.390233513912264
2021-07-16,2302.552082739901,2300,2.3005799464442305,23,113.48423025535857
2021-07-16,2302.552082739901,2400,2.3005799464442305,24,13.484230255358568
2021-07-20,2401.064741589311,2400,0.9598133752544129,24,111.99688910476834
2021-07-20,2401.064741589311,2500,0.9598133752544129,25,11.996889104768343
2021-07-22,2500.037317016854,2500,0.033639497376853456,25,110.96946453231155
2021-07-22,2500.037317016854,2600,0.033639497376853456,26,10.969464532311548
2021-07-26,2602.786084088055,2600,2.5115209165729624,26,113.71823160351232
2021-07-26,2602.786084088055,2700,2.5115209165729624,27,13.718231603512322
2021-07-28,2701.7043260719806,2700,1.536368050336705,27,112.63647358743789
2021-07-28,2701.7043260719806,2800,1.536368050336705,28,12.63647358743789
