date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-06,98.4913599907193,100,-1.5086400092806969,1,98.4913599907193
2021-01-06,98.4913599907193,200,-1.5086400092806969,2,0.0
2021-01-11,196.62178080665248,200,-3.328011480637173,2,98.13042081593318
2021-01-11,196.62178080665248,300,-3.328011480637173,3,0.0
2021-01-22,301.07542752656866,300,1.0402844380181335,3,104.4536467199162
2021-01-22,301.07542752656866,400,1.0402844380181335,4,4.453646719916193
2021-01-25,405.82755731434725,400,5.637122945064533,4,109.20577650769481
2021-01-25,405.82755731434725,500,5.637122945064533,5,9.205776507694807
2021-01-27,511.1928296418084,500,10.82706756717731,5,114.57104883515592
2021-01-27,511.1928296418084,600,10.82706756717731,6,14.57104883515592
2021-01-28,605.5191479718369,600,5.3387918798586895,6,108.89736716518446
2021-01-28,605.5191479718369,700,5.3387918798586895,7,8.897367165184463
2021-02-02,702.972489332463,700,2.8753535857525776,7,106.35070852581059
2021-02-02,702.972489332463,800,2.8753535857525776,8,6.350708525810589
2021-02-04,796.815284991531,800,-3.0806440982627237,8,100.19350418487856
2021-02-04,796.815284991531,900,-3.0806440982627237,9,0.19350418487856302
2021-02-09,894.5759222389033,900,-5.246828397142437,9,97.95414143225081
2021-02-09,894.5759222389033,1000,-5.246828397142437,10,0.0
2021-02-11,992.8542805064873,1000,-6.778071618236751,10,98.27835826758398
2021-02-11,992.8542805064873,1100,-6.778071618236751,11,0.0
2021-02-18,1095.8479881817532,1100,-3.8751075058097086,11,102.99370767526581
2021-02-18,1095.8479881817532,1200,-3.8751075058097086,12,2.99370767526581
2021-02-19,1194.4791883902055,1200,-5.15261984883017,12,101.6249078837181
2021-02-19,1194.4791883902055,1300,-5.15261984883017,13,1.6249078837180946
2021-02-24,1292.4669123823812,1300,-7.030693949537579,13,99.61263187589383
2021-02-24,1292.4669123823812,1400,-7.030693949537579,14,0.0
2021-02-25,1391.3437422662782,1400,-8.049855096231411,14,98.87682988389702
2021-02-25,1391.3437422662782,1500,-8.049855096231411,15,0.0
2021-03-02,1490.1225320788906,1500,-9.090565170499147,15,98.77878981261239
2021-03-02,1490.1225320788906,1600,-9.090565170499147,16,0.0
2021-03-05,1593.0861476193716,1600,-6.292329548031191,16,102.96361554048103
2021-03-05,1593.0861476193716,1700,-6.292329548031191,17,2.9636155404810296
2021-03-10,1695.773372037691,1700,-3.8466739744527985,17,105.65083995880046
2021-03-10,1695.773372037691,1800,-3.8466739744527985,18,5.650839958800461
2021-03-11,1794.4679760305362,1800,-5.0347210161737905,18,104.34544395164578
2021-03-11,1794.4679760305362,1900,-5.0347210161737905,19,4.345443951645777
2021-03-18,1893.2111657284065,1900,-6.178549979389587,19,103.088633649516
2021-03-18,1893.2111657284065,2000,-6.178549979389587,20,3.088633649515998
2021-03-22,1995.9072595273908,2000,-3.724822340780321,20,105.78472744850028
2021-03-22,1995.9072595273908,2100,-3.724822340780321,21,5.784727448500277
2021-03-29,2098.9538435679306,2100,-0.9521118859606759,21,108.83131148903998
2021-03-29,2098.9538435679306,2200,-0.9521118859606759,22,8.831311489039976
2021-03-31,2197.7618669227013,2200,-2.0369354333009113,22,107.63933484381057
2021-03-31,2197.7618669227013,2300,-2.0369354333009113,23,7.639334843810573
2021-04-09,2296.341277645261,2300,-3.3298204117389645,23,106.21874556637047
2021-04-09,2296.341277645261,2400,-3.3298204117389645,24,6.2187455663704725
2021-04-20,2399.218422508924,2400,-0.7113173481909172,24,109.09589043003373
2021-04-20,2399.218422508924,2500,-0.7113173481909172,25,9.095890430033734
2021-04-23,2496.173411167399,2500,-3.4825964822453273,25,106.05087908850871
2021-04-23,2496.173411167399,2600,-3.4825964822453273,26,6.050879088508708
2021-04-27,2594.9897791078793,2600,-4.5598255829100935,26,104.86724702898891
2021-04-27,2594.9897791078793,2700,-4.5598255829100935,27,4.867247028988913
2021-04-30,2692.9476117174772,2700,-6.418411723489939,27,102.82507963858711
2021-04-30,2692.9476117174772,2800,-6.418411723489939,28,2.8250796385871126
2021-05-03,2791.9172684224404,2800,-7.356131999112307,28,101.7947363435504
2021-05-03,2791.9172684224404,2900,-7.356131999112307,29,1.7947363435503974
2021-05-06,2894.125563417319,2900,-5.34635234486683,29,104.00303133842895
2021-05-06,2894.125563417319,3000,-5.34635234486683,30,4.003031338428954
2021-05-12,2992.694800022667,3000,-6.648496835199495,30,102.57226794377719
2021-05-12,2992.694800022667,3100,-6.648496835199495,31,2.5722679437771916
2021-05-21,3090.711365976301,3100,-8.453629483314742,31,100.5888338974109
2021-05-21,3090.711365976301,3200,-8.453629483314742,32,0.5888338974108933
2021-05-27,3189.6565074738483,3200,-9.413661164432398,32,99.53397539495835
2021-05-27,3189.6565074738483,3300,-9.413661164432398,33,0.0
2021-06-14,3288.380735880792,3300,-10.530085511344055,33,98.7242284069439
2021-06-14,3288.380735880792,3400,-10.530085511344055,34,0.0
2021-06-24,3387.360248134444,3400,-11.323987812763335,34,98.9795122536521
2021-06-24,3387.360248134444,3500,-11.323987812763335,35,0.0
2021-06-25,3489.7980602859257,3500,-9.057139726524483,35,102.43781215148135
2021-06-25,3489.7980602859257,3600,-9.057139726524483,36,2.437812151481353
2021-07-06,3592.434653069614,3600,-6.716409442570068,36,105.07440493516951
2021-07-06,3592.434653069614,3700,-6.716409442570068,37,5.074404935169511
2021-07-07,3694.674336689081,3700,-4.72804957638327,37,107.3140885546366
2021-07-07,3694.674336689081,3800,-4.72804957638327,38,7.314088554636598
2021-07-08,3792.782565190268,3800,-6.407537916406483,38,105.42231705582353
2021-07-08,3792.782565190268,3900,-6.407537916406483,39,5.422317055823527
2021-07-12,3891.6520534426018,3900,-7.411190471514999,39,104.29180530815698
2021-07-12,3891.6520534426018,4000,-7.411190471514999,40,4.291805308156981
2021-07-16,3995.2718761427905,4000,-4.19756238708041,40,107.9116280083459
2021-07-16,3995.2718761427905,4100,-4.19756238708041,41,7.9116280083459
2021-07-20,4093.1636249029725,4100,-6.069238420541652,41,105.80337676852811
2021-07-20,4093.1636249029725,4200,-6.069238420541652,42,5.803376768528111
2021-07-21,4191.2076837244795,4200,-7.805695706800435,42,103.84743559003486
