date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-08,102.50095938521626,100,2.5009593852162624,1,102.50095938521626
2021-01-08,102.50095938521626,200,2.5009593852162624,2,2.5009593852162624
2021-01-12,199.53355744359752,200,-0.4664425564024839,2,99.53355744359752
2021-01-12,199.53355744359752,300,-0.4664425564024839,3,0.0
2021-01-15,296.89616904419927,300,-3.0894205834532755,3,97.36261160060172
2021-01-15,296.89616904419927,400,-3.0894205834532755,4,0.0
2021-01-26,399.767278862206,400,-0.22571531594573457,4,102.87110981800672
2021-01-26,399.767278862206,500,-0.22571531594573457,5,2.8711098180067154
2021-01-27,496.43673317448247,500,-3.455998475017992,5,99.54056413028316
2021-01-27,496.43673317448247,600,-3.455998475017992,6,0.0
2021-01-28,603.00372343636,600,2.900375324602905,6,106.56699026187756
2021-01-28,603.00372343636,700,2.900375324602905,7,6.566990261877564
2021-01-29,699.0699451536751,700,-0.8980547590216901,7,102.63321197919271
2021-01-29,699.0699451536751,800,-0.8980547590216901,8,2.6332119791927084
2021-02-02,802.3177974519069,800,2.2380497670201294,8,105.88106427742454
2021-02-02,802.3177974519069,900,2.2380497670201294,9,5.881064277424542
2021-02-03,900.9311953072192,900,0.8991559804579481,9,104.49446213273687
2021-02-03,900.9311953072192,1000,0.8991559804579481,10,4.494462132736871
2021-02-08,1003.6628169308028,1000,3.5367916087215576,10,107.22608375632043
2021-02-08,1003.6628169308028,1100,3.5367916087215576,11,7.226083756320435
2021-02-11,1106.32533812922,1100,6.107704327130662,11,109.8886049547376
2021-02-11,1106.32533812922,1200,6.107704327130662,12,9.888604954737602
2021-02-18,1205.0648532073178,1200,4.8905884900782155,12,108.62812003283537
2021-02-18,1205.0648532073178,1300,4.8905884900782155,13,8.628120032835369
2021-03-01,1308.6617581960484,1300,8.363735966963674,13,112.22502502156598
2021-03-01,1308.6617581960484,1400,8.363735966963674,14,12.225025021565983
2021-03-03,1407.3415832493174,1400,7.088983839884506,14,110.90485007483501
2021-03-03,1407.3415832493174,1500,7.088983839884506,15,10.90485007483501
2021-03-05,1509.870653809636,1500,9.531037511848652,15,113.43392063515358
2021-03-05,1509.870653809636,1600,9.531037511848652,16,13.433920635153584
2021-03-10,1613.7186578709009,1600,13.246644579118836,16,117.2819246964184
2021-03-10,1613.7186578709009,1700,13.246644579118836,17,17.2819246964184
2021-03-18,1711.3756066529454,1700,10.984209943966789,17,114.93887347846297
2021-03-18,1711.3756066529454,1800,10.984209943966789,18,14.938873478462966
2021-03-26,1810.1416540480923,1800,9.79271353536842,18,113.70492087360978
2021-03-26,1810.1416540480923,1900,9.79271353536842,19,13.70492087360978
