purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-08,100,102.50095938521626
2021-01-08,2021-01-12,100,97.03259805838125
2021-01-12,2021-01-15,100,97.36261160060172
2021-01-15,2021-01-26,100,102.87110981800672
2021-01-26,2021-01-27,100,96.66945431227644
2021-01-27,2021-01-28,100,106.56699026187756
2021-01-28,2021-01-29,100,96.06622171731514
2021-01-29,2021-02-02,100,103.24785229823183
2021-02-02,2021-02-03,100,98.61339785531233
2021-02-03,2021-02-08,100,102.73162162358356
2021-02-08,2021-02-11,100,102.66252119841717
2021-02-11,2021-02-18,100,98.73951507809777
2021-02-18,2021-03-01,100,103.59690498873061
2021-03-01,2021-03-03,100,98.67982505326903
2021-03-03,2021-03-05,100,102.52907056031857
2021-03-05,2021-03-10,100,103.84800406126482
2021-03-10,2021-03-18,100,97.65694878204457
2021-03-18,2021-03-26,100,98.76604739514681
2021-03-26,2021-03-31,100,98.06297971794577
2021-03-31,2021-04-12,100,98.99046664680552
2021-04-12,2021-04-16,100,103.35565420209163
2021-04-16,2021-04-19,100,98.24098155611587
2021-04-19,2021-04-29,100,104.17651853498509
2021-04-29,2021-05-07,100,103.02750098610403
2021-05-07,2021-05-10,100,98.97027780741558
2021-05-10,2021-05-12,100,98.4522407841529
2021-05-12,2021-05-14,100,103.63715220000473
2021-05-14,2021-05-17,100,94.50515756522316
2021-05-17,2021-05-19,100,97.80803479435119
2021-05-19,2021-05-24,100,102.61875037822162
2021-05-24,2021-05-26,100,102.13737657010687
2021-05-27,2021-06-02,100,98.86214748196865
2021-06-02,2021-06-23,100,97.86923319415584
2021-06-23,2021-06-30,100,102.77271980279374
2021-06-30,2021-07-02,100,102.45805696449473
2021-07-02,2021-07-16,100,98.93415571065304
2021-07-16,2021-07-19,100,98.39978461874995
2021-07-19,2021-07-21,100,102.08303051548859
2021-07-21,2021-08-11,100,102.21453055344418
2021-08-11,2021-08-31,100,102.6920059244206
2021-08-31,2021-09-09,100,98.15476071734925
2021-09-09,2021-09-14,100,93.33245264612633
2021-09-14,2021-09-15,100,102.53618533511313
2021-09-15,2021-09-21,100,98.35138464152226
2021-09-21,2021-09-28,100,97.66430513239634
2021-09-28,2021-09-29,100,102.15609108998453
2021-09-29,2021-10-01,100,102.28697202912227
2021-10-01,2021-10-08,100,96.03634216990852
2021-10-08,2021-10-11,100,95.4653811750087
2021-10-11,2021-10-14,100,103.38838321363293
2021-10-14,2021-10-18,100,98.57607157366525
2021-10-18,2021-10-20,100,102.79683066618057
2021-10-20,2021-10-21,100,98.75869573837225
2021-10-21,2021-10-27,100,97.05770170167492
2021-10-27,2021-10-28,100,98.96950810328819
2021-10-28,2021-11-03,100,102.02276569263064
2021-11-03,2021-11-10,100,102.30403838319006
2021-11-10,2021-11-12,100,98.76257558700905
