date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-05,98.21983967544314,100,-1.78016032455686,1,98.21983967544314
2021-01-05,98.21983967544314,200,-1.78016032455686,2,0.0
2021-01-06,200.23535252354634,200,0.23123614935943237,2,102.01551284810321
2021-01-06,200.23535252354634,300,0.23123614935943237,3,2.0155128481032136
2021-01-07,297.2536434121382,300,-2.6983221279119647,3,99.03380373669506
2021-01-07,297.2536434121382,400,-2.6983221279119647,4,0.0
2021-01-11,395.8437772726792,400,-4.045129058923607,4,98.59013386054093
2021-01-11,395.8437772726792,500,-4.045129058923607,5,0.0
2021-01-12,494.5108640269465,500,-5.270098923829096,5,98.66708675426729
2021-01-12,494.5108640269465,600,-5.270098923829096,6,0.0
2021-01-13,596.9965039294218,600,-2.8472089024840272,6,102.48563990247533
2021-01-13,596.9965039294218,700,-2.8472089024840272,7,2.4856399024753273
2021-01-25,700.0250352456893,700,0.02373253459542468,7,105.51417121874279
2021-01-25,700.0250352456893,800,0.02373253459542468,8,5.5141712187427885
2021-01-26,798.7822732756999,800,-1.1543622128171336,8,104.27140924875336
2021-01-26,798.7822732756999,900,-1.1543622128171336,9,4.271409248753358
2021-01-27,896.2636701619413,900,-3.541909603860333,9,101.75280613499471
2021-01-27,896.2636701619413,1000,-3.541909603860333,10,1.7528061349947137
2021-02-16,993.7746048641682,1000,-5.9014561816320565,10,99.26374083722156
2021-02-16,993.7746048641682,1100,-5.9014561816320565,11,0.0
2021-02-18,1095.884527793425,1100,-3.8742827939710196,11,102.10992292925675
2021-02-18,1095.884527793425,1200,-3.8742827939710196,12,2.1099229292567543
2021-02-19,1194.7563447453078,1200,-4.936348081348385,12,100.98173988113963
2021-02-19,1194.7563447453078,1300,-4.936348081348385,13,0.9817398811396316
2021-02-22,1292.6108811900326,1300,-6.9560756168702085,13,98.83627632586438
2021-02-22,1292.6108811900326,1400,-6.9560756168702085,14,0.0
2021-02-26,1391.3861103190545,1400,-8.021194117616801,14,98.775229129022
2021-02-26,1391.3861103190545,1500,-8.021194117616801,15,0.0
2021-03-05,1493.7166866808232,1500,-5.784999816905909,15,102.33057636176855
2021-03-05,1493.7166866808232,1600,-5.784999816905909,16,2.33057636176855
2021-03-09,1595.812948480124,1600,-3.8549871772162305,16,104.42683816106941
2021-03-09,1595.812948480124,1700,-3.8549871772162305,17,4.426838161069412
2021-03-15,1699.2966952086513,1700,-0.6475274878884818,17,107.91058488959666
2021-03-15,1699.2966952086513,1800,-0.6475274878884818,18,7.910584889596663
2021-03-17,1798.2204027416208,1800,-1.638461953261256,18,106.8342924225662
2021-03-17,1798.2204027416208,1900,-1.638461953261256,19,6.834292422566193
2021-03-23,1902.8169956521729,1900,2.593586934827215,19,111.4308853331183
2021-03-23,1902.8169956521729,2000,2.593586934827215,20,11.430885333118297
2021-03-29,2005.1124601005097,2000,4.707003971156382,20,113.72634978145516
2021-03-29,2005.1124601005097,2100,4.707003971156382,21,13.726349781455156
2021-03-30,2103.661008139446,2100,3.3706629513038564,21,112.27489782039133
2021-03-30,2103.661008139446,2200,3.3706629513038564,22,12.274897820391331
2021-04-15,2207.5585902746957,2200,6.9591378201247664,22,116.17247995564091
2021-04-15,2207.5585902746957,2300,6.9591378201247664,23,16.17247995564091
2021-04-20,2310.50794164943,2300,9.67458368381486,23,119.1218313303751
2021-04-20,2310.50794164943,2400,9.67458368381486,24,19.1218313303751
2021-04-22,2409.3452557839037,2400,8.604107459326627,24,117.95914546484869
2021-04-22,2409.3452557839037,2500,8.604107459326627,25,17.95914546484869
