purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-05,100,98.21983967544314
2021-01-05,2021-01-06,100,102.01551284810321
2021-01-06,2021-01-07,100,97.01829088859185
2021-01-07,2021-01-11,100,98.59013386054093
2021-01-11,2021-01-12,100,98.66708675426729
2021-01-12,2021-01-13,100,102.48563990247533
2021-01-13,2021-01-25,100,103.02853131626746
2021-01-25,2021-01-26,100,98.75723803001057
2021-01-26,2021-01-27,100,97.48139688624136
2021-01-27,2021-02-16,100,97.51093470222685
2021-02-16,2021-02-18,100,102.10992292925675
2021-02-18,2021-02-19,100,98.87181695188288
2021-02-19,2021-02-22,100,97.85453644472474
2021-02-22,2021-02-26,100,98.775229129022
2021-02-26,2021-03-05,100,102.33057636176855
2021-03-05,2021-03-09,100,102.09626179930086
2021-03-09,2021-03-15,100,103.48374672852725
2021-03-15,2021-03-17,100,98.92370753296953
2021-03-17,2021-03-23,100,104.5965929105521
2021-03-23,2021-03-29,100,102.29546444833686
2021-03-29,2021-03-30,100,98.54854803893618
2021-03-30,2021-04-15,100,103.89758213524958
2021-04-15,2021-04-20,100,102.94935137473419
2021-04-20,2021-04-22,100,98.83731413447359
2021-04-22,2021-04-27,100,98.15580379394258
2021-04-27,2021-05-03,100,102.69795753098221
2021-05-03,2021-05-05,100,98.72637195368273
2021-05-05,2021-05-12,100,97.95165144521916
2021-05-12,2021-05-20,100,102.04991102236556
2021-05-20,2021-05-26,100,98.76083329376338
2021-05-26,2021-05-27,100,98.96761251067288
2021-05-27,2021-06-08,100,96.83719247225004
2021-06-08,2021-06-16,100,98.90754906947055
2021-06-16,2021-06-18,100,97.40093013819146
2021-06-18,2021-06-25,100,103.4592544573995
2021-06-25,2021-06-29,100,97.86912020716936
2021-06-29,2021-07-01,100,102.07601042793553
2021-07-01,2021-07-15,100,102.39655579801799
2021-07-15,2021-07-27,100,102.77872983015763
2021-07-27,2021-07-28,100,98.4823697022024
2021-07-28,2021-08-05,100,102.22980652212541
2021-08-05,2021-08-20,100,102.52846573617379
2021-08-20,2021-08-23,100,98.86066313116127
2021-08-23,2021-09-02,100,102.40393948413984
2021-09-02,2021-09-07,100,96.81364650275192
2021-09-07,2021-09-15,100,98.86642886747319
2021-09-15,2021-09-17,100,98.18499905099068
2021-09-17,2021-09-23,100,98.37686460536091
2021-09-23,2021-09-27,100,98.0216730856637
2021-09-27,2021-09-28,100,98.99000111563564
2021-09-28,2021-10-04,100,103.41645094828043
2021-10-04,2021-10-08,100,98.8172411033407
2021-10-08,2021-10-11,100,98.67057252401672
2021-10-11,2021-10-13,100,102.15783866855277
2021-10-13,2021-10-18,100,98.2161356386525
2021-10-18,2021-10-20,100,102.08378660159329
2021-10-22,2021-10-25,100,98.67341136130231
2021-10-25,2021-11-15,100,102.26651069173735
2021-11-15,2021-11-16,100,98.9525035115608
2021-11-16,2021-11-30,100,97.2259527606173
2021-11-30,2021-12-03,100,103.24590851867394
2021-12-03,2021-12-07,100,102.08913365984513
2021-12-07,2021-12-13,100,102.75770545104676
2021-12-13,2021-12-16,100,102.61976869579816
2021-12-16,2021-12-17,100,98.11978504637612
2021-12-17,2021-12-23,100,98.97149361893158
2021-12-23,2021-12-29,100,102.62738840605536
2021-12-29,2022-01-11,100,97.97655653140212
2022-01-11,2022-01-18,100,98.92042113403306
2022-01-18,2022-01-26,100,98.68583918020079
2022-01-26,2022-01-28,100,102.3887050591235
2022-01-28,2022-02-10,100,98.569008508903
2022-02-10,2022-02-15,100,98.9928556361002
2022-02-15,2022-02-25,100,103.70136048578395
2022-02-25,2022-03-04,100,104.45937184901055
2022-03-04,2022-03-08,100,98.38907916446826
2022-03-08,2022-03-09,100,98.93709024968615
2022-03-09,2022-03-15,100,103.11348597638921
