purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-06,100,102.85604527119871
2021-01-06,2021-01-07,100,95.1235862518076
2021-01-07,2021-01-15,100,102.78015483896948
2021-01-15,2021-01-26,100,102.28277851514098
2021-01-26,2021-01-27,100,95.03404487603069
2021-01-27,2021-01-28,100,103.45188969673151
2021-01-28,2021-01-29,100,97.72601085124829
2021-01-29,2021-02-16,100,102.13602587551645
2021-02-16,2021-02-22,100,96.68096360380406
2021-02-22,2021-02-25,100,95.54449698945679
2021-02-25,2021-02-26,100,98.43166463295458
2021-02-26,2021-03-04,100,102.21047547493829
2021-03-04,2021-03-05,100,103.97933413490567
2021-03-05,2021-03-10,100,103.19635625486019
2021-03-10,2021-03-12,100,103.05037970719484
2021-03-12,2021-03-15,100,102.73026846848559
2021-03-15,2021-03-17,100,98.66883597101021
2021-03-17,2021-03-18,100,98.51690151401588
2021-03-18,2021-03-29,100,103.23481022890455
2021-03-29,2021-04-06,100,102.60330064621918
2021-04-06,2021-04-14,100,102.02548920143113
2021-04-14,2021-04-20,100,102.19779736264316
2021-04-20,2021-04-27,100,98.2645047961837
2021-04-27,2021-04-29,100,102.93729763360015
2021-04-29,2021-05-11,100,97.75730928190481
2021-05-11,2021-05-12,100,98.70685150997946
2021-05-12,2021-05-13,100,103.46534216725038
2021-05-13,2021-05-14,100,102.25061605231969
2021-05-14,2021-05-18,100,98.7212148250687
2021-05-18,2021-05-26,100,102.32039532035309
2021-05-26,2021-06-09,100,102.62523528052041
2021-06-09,2021-06-17,100,98.3356393590321
2021-06-17,2021-06-18,100,97.19738553536808
2021-06-18,2021-07-08,100,102.55645235951083
2021-07-08,2021-07-13,100,97.7046395496268
2021-07-13,2021-07-15,100,102.59286479222224
2021-07-15,2021-07-19,100,98.22546246453996
2021-07-19,2021-07-27,100,103.29813214199388
2021-07-27,2021-08-05,100,102.13742798586345
2021-08-05,2021-08-11,100,102.17446260556315
2021-08-11,2021-08-19,100,97.25597380456254
2021-08-19,2021-08-26,100,97.88212566531385
2021-08-26,2021-08-31,100,98.89459684460597
2021-08-31,2021-09-02,100,102.70857372814888
2021-09-02,2021-09-08,100,102.71990532506527
2021-09-08,2021-09-13,100,98.82843820303438
2021-09-13,2021-09-14,100,98.08752638709474
2021-09-14,2021-09-15,100,97.81775986123603
2021-09-15,2021-09-16,100,98.12782970269393
2021-09-16,2021-09-24,100,103.16615075713212
2021-09-24,2021-09-28,100,98.1903993447648
2021-09-28,2021-09-30,100,98.59559145379616
2021-09-30,2021-10-04,100,103.61903964148848
2021-10-04,2021-10-12,100,102.15758712399861
2021-10-12,2021-10-14,100,102.03367834646915
2021-10-14,2021-10-18,100,98.57067518729352
2021-10-18,2021-10-25,100,102.21598911085061
2021-10-25,2021-10-27,100,98.28196019720511
2021-10-27,2021-10-29,100,98.9728508382054
2021-10-29,2021-11-05,100,102.41904852340708
2021-11-08,2021-11-30,100,98.32325186575137
2021-11-30,2021-12-03,100,104.01640542580218
2021-12-03,2021-12-06,100,102.8561986233723
2021-12-06,2021-12-17,100,97.32800041363365
2021-12-17,2021-12-23,100,102.00352134053792
2021-12-23,2022-01-20,100,98.87357895363373
