purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-05,100,105.73592457312063
2021-01-05,2021-01-06,100,103.99016243774588
2021-01-06,2021-01-07,100,102.73839499078899
2021-01-07,2021-01-12,100,106.08237697342997
2021-01-12,2021-01-15,100,95.15020274428876
2021-01-15,2021-01-21,100,95.72511967809979
2021-01-21,2021-01-22,100,98.83809036412464
2021-01-22,2021-01-26,100,97.63629508608773
2021-01-26,2021-01-27,100,97.52990119604785
2021-01-27,2021-01-29,100,98.47697379708646
2021-01-29,2021-02-02,100,102.34426304207396
2021-02-02,2021-02-03,100,105.46687374124932
2021-02-03,2021-02-05,100,102.80282393140321
2021-02-05,2021-02-08,100,105.30836642607998
2021-02-08,2021-02-16,100,105.38874769476378
2021-02-16,2021-02-18,100,97.62524022922709
2021-02-18,2021-02-22,100,106.68760840582682
2021-02-22,2021-02-23,100,102.39873950721253
2021-02-23,2021-02-24,100,104.93263567758181
2021-02-24,2021-02-25,100,97.00034811831355
2021-02-25,2021-02-26,100,98.07405833161243
2021-02-26,2021-03-03,100,103.17481085037092
2021-03-03,2021-03-04,100,103.65152676973923
2021-03-04,2021-03-05,100,104.89178432564488
2021-03-05,2021-03-11,100,102.55343422414673
2021-03-11,2021-03-12,100,98.93020189329386
2021-03-12,2021-03-15,100,98.25921541647881
2021-03-15,2021-03-16,100,97.28269215300578
2021-03-16,2021-03-18,100,94.34480633207303
2021-03-18,2021-03-19,100,98.54119278005952
2021-03-19,2021-03-23,100,98.30816809168638
2021-03-23,2021-03-24,100,102.8970310058393
2021-03-24,2021-03-26,100,103.44130282745529
2021-03-26,2021-03-29,100,97.81773014572934
2021-03-29,2021-03-31,100,98.3873611453962
2021-03-31,2021-04-05,100,98.56465860713074
2021-04-05,2021-04-08,100,98.14013823214366
2021-04-08,2021-04-14,100,102.82927841469107
2021-04-14,2021-04-15,100,98.50048430058924
2021-04-15,2021-04-16,100,98.44180534244022
2021-04-16,2021-04-20,100,95.22374579364566
2021-04-20,2021-04-21,100,102.85528834806325
2021-04-21,2021-04-22,100,98.84178252028633
2021-04-22,2021-04-27,100,103.72087724050165
2021-04-27,2021-04-28,100,103.39112322407486
2021-04-28,2021-04-30,100,96.41600699198366
2021-04-30,2021-05-03,100,103.13236780060626
2021-05-03,2021-05-05,100,105.11970712275524
2021-05-05,2021-05-07,100,102.99133169683952
2021-05-07,2021-05-11,100,97.58322502318272
2021-05-11,2021-05-13,100,98.10250372572553
2021-05-13,2021-05-14,100,104.20314521070189
2021-05-14,2021-05-17,100,103.14938289119024
2021-05-17,2021-05-18,100,98.26708843350296
2021-05-18,2021-05-19,100,97.01539538138559
2021-05-19,2021-05-25,100,98.74167873609801
2021-05-25,2021-06-01,100,106.17685280593021
2021-06-01,2021-06-03,100,102.06150475724904
2021-06-03,2021-06-15,100,102.8559466809532
2021-06-15,2021-06-17,100,96.46791997240427
2021-06-17,2021-06-18,100,97.4916014238693
2021-06-18,2021-06-21,100,105.07728900715398
2021-06-21,2021-06-28,100,98.57638264712196
2021-06-28,2021-06-30,100,102.198753585213
2021-06-30,2021-07-01,100,103.25099308951751
2021-07-01,2021-07-06,100,95.86547092725732
2021-07-06,2021-07-07,100,97.89240815383565
2021-07-07,2021-07-14,100,97.7299261068331
2021-07-14,2021-07-15,100,98.9779080318464
2021-07-15,2021-07-16,100,97.23179745562688
2021-07-16,2021-07-19,100,96.75759419077671
