date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-06,98.72345567798565,100,-1.2765443220143453,1,98.72345567798565
2021-01-06,98.72345567798565,200,-1.2765443220143453,2,0.0
2021-01-08,197.29019467537063,200,-2.675649473202199,2,98.56673899738497
2021-01-08,197.29019467537063,300,-2.675649473202199,3,0.0
2021-01-11,295.5204350312192,300,-4.361380059695833,3,98.23024035584858
2021-01-11,295.5204350312192,400,-4.361380059695833,4,0.0
2021-01-12,394.3479180388023,400,-5.409748751238183,4,98.82748300758308
2021-01-12,394.3479180388023,500,-5.409748751238183,5,0.0
2021-01-15,496.3930585913368,500,-3.4139804362661863,5,102.0451405525345
2021-01-15,496.3930585913368,600,-3.4139804362661863,6,2.045140552534505
2021-01-25,599.7932577986104,600,-0.19568208931799802,6,105.44533975980808
2021-01-25,599.7932577986104,700,-0.19568208931799802,7,5.445339759808078
2021-01-26,703.8544758554242,700,3.6482725033661296,7,109.50655781662194
2021-01-26,703.8544758554242,800,3.6482725033661296,8,9.506557816621935
2021-01-27,809.3840354013496,800,8.882016546343152,8,115.03611736254732
2021-01-27,809.3840354013496,900,8.882016546343152,9,15.036117362547316
2021-01-28,901.8711636769901,900,1.7710618118035768,9,107.52324563818789
2021-01-28,901.8711636769901,1000,1.7710618118035768,10,7.523245638187888
2021-01-29,1000.5568049152133,1000,0.5270174566156243,10,106.20888687641109
2021-01-29,1000.5568049152133,1100,0.5270174566156243,11,6.208886876411086
2021-02-02,1098.7899295399668,1100,-1.1453351770934717,11,104.44201150116449
2021-02-02,1098.7899295399668,1200,-1.1453351770934717,12,4.442011501164487
2021-02-12,1197.711721389376,1200,-2.165862298354469,12,103.36380335057356
2021-02-12,1197.711721389376,1300,-2.165862298354469,13,3.363803350573562
2021-02-16,1296.341123608676,1300,-3.4631370469989804,13,101.99320556987374
2021-02-16,1296.341123608676,1400,-3.4631370469989804,14,1.9932055698737372
2021-02-18,1398.5779551464404,1400,-1.3459695513448935,14,104.23003710763804
2021-02-18,1398.5779551464404,1500,-1.3459695513448935,15,4.23003710763804
2021-02-19,1496.838729078474,1500,-2.9921520360452547,15,102.49081103967154
2021-02-19,1496.838729078474,1600,-2.9921520360452547,16,2.4908110396715415
2021-02-25,1595.3903309734292,1600,-4.363065015854573,16,101.0424129346267
2021-02-25,1595.3903309734292,1700,-4.363065015854573,17,1.0424129346266966
2021-03-05,1697.4489561307464,1700,-2.4145703727737953,17,103.10103809194395
2021-03-05,1697.4489561307464,1800,-2.4145703727737953,18,3.1010380919439484
2021-03-10,1800.2173029575943,1800,0.2056778754949704,18,105.8693849187917
2021-03-10,1800.2173029575943,1900,0.2056778754949704,19,5.869384918791695
2021-03-16,1902.349781826165,1900,2.2240752690777725,19,108.0018637873625
2021-03-16,1902.349781826165,2000,2.2240752690777725,20,8.001863787362495
2021-03-22,2006.6834216811983,2000,6.325877878727113,20,112.33550364239575
2021-03-22,2006.6834216811983,2100,6.325877878727113,21,12.33550364239575
2021-03-24,2102.276573127474,2100,2.154783024824809,21,107.9286550886716
2021-03-24,2102.276573127474,2200,2.154783024824809,22,7.928655088671604
2021-03-26,2206.5811241238857,2200,6.229052945972896,22,112.23320608508338
2021-03-26,2206.5811241238857,2300,6.229052945972896,23,12.233206085083381
