purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-06,100,98.72345567798565
2021-01-06,2021-01-08,100,98.56673899738497
2021-01-08,2021-01-11,100,98.23024035584858
2021-01-11,2021-01-12,100,98.82748300758308
2021-01-12,2021-01-15,100,102.0451405525345
2021-01-15,2021-01-25,100,103.40019920727357
2021-01-25,2021-01-26,100,104.06121805681386
2021-01-26,2021-01-27,100,105.52955954592538
2021-01-27,2021-01-28,100,92.48712827564057
2021-01-28,2021-01-29,100,98.6856412382232
2021-01-29,2021-02-02,100,98.2331246247534
2021-02-02,2021-02-12,100,98.92179184940908
2021-02-12,2021-02-16,100,98.62940221930018
2021-02-16,2021-02-18,100,102.2368315377643
2021-02-18,2021-02-19,100,98.2607739320335
2021-02-19,2021-02-25,100,98.55160189495516
2021-02-25,2021-03-05,100,102.05862515731725
2021-03-05,2021-03-10,100,102.76834682684775
2021-03-10,2021-03-16,100,102.1324788685708
2021-03-16,2021-03-22,100,104.33363985503325
2021-03-22,2021-03-24,100,95.59315144627585
2021-03-24,2021-03-26,100,104.30455099641178
2021-03-26,2021-03-29,100,102.14020083361758
2021-03-29,2021-03-30,100,98.88288405696761
2021-03-30,2021-03-31,100,97.84472817133441
2021-03-31,2021-04-07,100,98.63617421611588
2021-04-07,2021-04-09,100,97.66586863656343
2021-04-09,2021-04-16,100,102.76656871634093
2021-04-16,2021-04-21,100,102.32578904625642
2021-04-21,2021-04-22,100,97.98470034363976
2021-04-22,2021-04-23,100,98.46337501961332
2021-04-23,2021-04-26,100,98.25915054988361
2021-04-26,2021-05-06,100,103.96219922987066
2021-05-06,2021-05-12,100,98.75644544507828
2021-05-12,2021-05-19,100,98.23018483692555
2021-05-19,2021-05-27,100,98.94931504467856
2021-05-27,2021-06-01,100,102.19286205283512
2021-06-01,2021-06-09,100,93.96272720630267
2021-06-09,2021-06-15,100,98.80178303101549
2021-06-15,2021-07-14,100,98.59581383074764
2021-07-14,2021-07-16,100,102.61476118029339
2021-07-16,2021-07-21,100,97.93646253989682
2021-07-21,2021-07-28,100,98.90245440910557
2021-07-28,2021-08-02,100,98.20667630412805
2021-08-02,2021-08-04,100,98.01542250743225
2021-08-04,2021-08-16,100,102.33199592643034
2021-08-16,2021-08-18,100,98.4791658673215
2021-08-18,2021-08-24,100,98.22556530124237
2021-08-24,2021-08-25,100,97.83479060635284
2021-08-25,2021-08-26,100,98.34585513562823
2021-08-26,2021-08-27,100,102.39747292697818
2021-08-27,2021-08-30,100,98.9368983096054
2021-08-30,2021-09-01,100,103.98197341281852
2021-09-01,2021-09-13,100,102.91179736531868
2021-09-13,2021-09-14,100,98.92812750291735
2021-09-14,2021-09-20,100,98.2469627554661
2021-09-20,2021-09-28,100,98.72894618439328
2021-09-28,2021-10-01,100,98.74131277956378
2021-10-01,2021-10-05,100,102.47973271260587
2021-10-05,2021-10-12,100,98.98300853244827
2021-10-12,2021-10-15,100,98.56356159573495
2021-10-15,2021-10-21,100,98.71021641068356
2021-10-21,2021-10-25,100,98.94142375328184
2021-10-25,2021-11-03,100,103.40724604919751
2021-11-03,2021-11-04,100,98.53484767185357
2021-11-04,2021-11-30,100,98.46087522122556
2021-11-30,2021-12-01,100,98.95864539404786
2021-12-01,2021-12-03,100,103.0573222038801
2021-12-03,2021-12-09,100,102.55135601986451
2021-12-09,2021-12-10,100,102.29985800323166
2021-12-10,2021-12-16,100,102.38719744216877
2021-12-16,2021-12-17,100,97.59927447648477
2021-12-17,2021-12-21,100,98.09942570852434
2021-12-21,2021-12-28,100,102.50718955524849
2021-12-28,2022-01-05,100,102.98529145589819
2022-01-05,2022-01-07,100,103.54556954121736
2022-01-07,2022-01-11,100,98.2977449922838
2022-01-11,2022-01-14,100,102.90863980987739
2022-01-14,2022-01-20,100,96.65628263408539
2022-01-20,2022-01-26,100,97.10069119266139
2022-01-26,2022-02-02,100,102.32109545731485
2022-02-02,2022-02-04,100,96.74458810763092
2022-02-04,2022-02-11,100,102.45931636280679
2022-02-11,2022-02-16,100,98.91292499020079
2022-02-16,2022-02-18,100,102.93010059324219
2022-02-18,2022-02-24,100,96.86399402231609
2022-02-24,2022-02-25,100,103.78857008466602
2022-02-25,2022-03-01,100,98.27535808243204
2022-03-01,2022-03-03,100,102.56561017113293
2022-03-03,2022-03-08,100,92.86528410048895
2022-03-08,2022-03-10,100,98.98471996281664
2022-03-10,2022-03-14,100,102.2441023835028
2022-03-14,2022-03-25,100,104.01822661276819
2022-03-25,2022-04-07,100,102.25769139671948
2022-04-07,2022-04-14,100,102.30274327785611
2022-04-14,2022-04-18,100,98.41996628030431
2022-04-18,2022-04-20,100,103.67289872001322
2022-04-20,2022-04-26,100,98.34526825569172
2022-04-26,2022-04-28,100,104.11979767931425
2022-04-28,2022-04-29,100,97.82499842208243
2022-04-29,2022-05-05,100,102.9649097149936
2022-05-05,2022-05-06,100,102.15933728522553
2022-05-06,2022-05-09,100,103.46291934507745
2022-05-09,2022-05-10,100,96.47789768651451
2022-05-10,2022-05-16,100,102.17836586714735
2022-05-16,2022-05-18,100,91.23575459311009
