date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-06,109.2233957136681,100,9.223395713668097,1,109.2233957136681
2021-01-06,109.2233957136681,200,9.223395713668097,2,9.223395713668097
2021-01-07,211.2593189814595,200,11.259318981459515,2,111.2593189814595
2021-01-07,211.2593189814595,300,11.259318981459515,3,11.2593189814595
2021-01-11,307.4560337516929,300,7.456033751692928,3,107.45603375169293
2021-01-11,307.4560337516929,400,7.456033751692928,4,7.456033751692928
2021-01-13,404.9011487756702,400,4.90114877567018,4,104.90114877567018
2021-01-13,404.9011487756702,500,4.90114877567018,5,4.90114877567018
2021-01-25,501.7646942014079,500,1.7646942014078775,5,101.76469420140788
2021-01-25,501.7646942014079,600,1.7646942014078775,6,1.7646942014078775
2021-01-27,597.7844987438551,600,-2.2155012561449183,6,97.78449874385508
2021-01-27,597.7844987438551,700,-2.2155012561449183,7,0.0
2021-01-28,700.484727576807,700,0.4742212001605566,7,102.70022883295195
2021-01-28,700.484727576807,800,0.4742212001605566,8,2.70022883295195
2021-01-29,797.0120102070308,800,-2.923225691063706,8,99.22751146317574
2021-01-29,797.0120102070308,900,-2.923225691063706,9,0.0
2021-02-01,900.6555739540075,900,0.6365537916852588,9,103.64356374697674
2021-02-01,900.6555739540075,1000,0.6365537916852588,10,3.6435637469767386
2021-02-09,1003.4016831995142,1000,3.3029901897808145,10,106.38967299248341
2021-02-09,1003.4016831995142,1100,3.3029901897808145,11,6.389672992483412
2021-02-12,1106.4142363069623,1100,6.228140116004283,11,109.40222609993147
2021-02-12,1106.4142363069623,1200,6.228140116004283,12,9.402226099931468
2021-02-17,1204.421269208221,1200,4.2929949570905706,12,107.40925900119028
2021-02-17,1204.421269208221,1300,4.2929949570905706,13,7.409259001190279
2021-02-18,1302.6129768278593,1300,2.5371665503056704,13,105.60096662082861
2021-02-18,1302.6129768278593,1400,2.5371665503056704,14,5.600966620828615
2021-02-23,1404.6380011232918,1400,4.50343883069803,14,107.62599091626107
2021-02-23,1404.6380011232918,1500,4.50343883069803,15,7.625990916261074
2021-02-24,1507.3658042356783,1500,7.15210021137942,15,110.35379402864753
