purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-06,100,102.828301137037
2021-01-06,2021-01-07,100,102.04677966101694
2021-01-07,2021-01-11,100,103.55968349510694
2021-01-11,2021-01-12,100,102.99787653085446
2021-01-12,2021-01-14,100,103.87293677981937
2021-01-14,2021-01-15,100,98.80552624004605
2021-01-15,2021-01-19,100,97.5833859299898
2021-01-19,2021-01-20,100,98.98254910009081
2021-01-20,2021-01-25,100,102.01435051960944
2021-01-25,2021-01-26,100,98.39373260082284
2021-01-26,2021-01-27,100,103.59861288464909
2021-01-27,2021-01-28,100,96.47563517718498
2021-01-28,2021-02-03,100,103.0443659501979
2021-02-03,2021-02-05,100,92.71574699300444
2021-02-05,2021-02-12,100,103.81847025198627
2021-02-12,2021-02-24,100,105.32413984706987
2021-02-24,2021-02-25,100,98.49165192889902
2021-02-25,2021-02-26,100,97.87265124262733
2021-02-26,2021-03-05,100,102.48827692575595
2021-03-05,2021-03-09,100,97.68500257896171
2021-03-09,2021-03-10,100,103.5600695738601
2021-03-10,2021-03-12,100,97.96414153835082
2021-03-12,2021-03-17,100,98.56904057752712
2021-03-17,2021-03-18,100,96.5449124114797
2021-03-18,2021-03-25,100,104.63717201353768
2021-03-25,2021-03-26,100,102.46087624903922
2021-03-26,2021-03-30,100,97.9631152214227
2021-03-30,2021-04-05,100,98.72268475124515
2021-04-05,2021-04-08,100,96.22396802938914
2021-04-08,2021-04-09,100,97.37139098301981
2021-04-09,2021-04-12,100,97.58522256883043
2021-04-12,2021-04-13,100,98.57269870572345
2021-04-13,2021-04-19,100,98.93140913535025
2021-04-19,2021-04-22,100,98.97832774243837
2021-04-22,2021-04-23,100,98.46221997215542
2021-04-23,2021-04-27,100,104.16550620933936
2021-04-27,2021-05-04,100,102.37824274666814
2021-05-04,2021-05-10,100,102.96719412320117
2021-05-10,2021-05-11,100,98.36372622980672
2021-05-11,2021-05-14,100,102.72003596741774
2021-05-14,2021-05-17,100,103.0329166720305
2021-05-17,2021-05-18,100,97.4361857640841
2021-05-18,2021-05-24,100,93.05315124703469
2021-05-24,2021-05-27,100,98.66675853515692
2021-05-27,2021-06-02,100,104.02793296089385
2021-06-02,2021-06-03,100,98.58761613232372
2021-06-03,2021-06-09,100,102.50776228347314
2021-06-09,2021-06-14,100,98.19325526247617
2021-06-14,2021-06-16,100,97.99495356058094
2021-06-16,2021-06-17,100,96.01830695208577
2021-06-17,2021-06-18,100,96.35069556777742
2021-06-18,2021-06-21,100,103.92033965333273
2021-06-21,2021-06-23,100,102.88641732424806
2021-06-23,2021-06-25,100,102.62259845212259
2021-06-25,2021-06-28,100,97.01872139597828
2021-06-28,2021-06-30,100,106.9981144903867
2021-06-30,2021-07-01,100,102.22926806899397
2021-07-01,2021-07-06,100,95.23690517385009
2021-07-06,2021-07-08,100,102.41554019956803
2021-07-08,2021-07-14,100,96.548869661194
2021-07-14,2021-07-15,100,98.03413220103702
2021-07-15,2021-07-16,100,98.05995738153246
2021-07-16,2021-07-19,100,96.79063380381386
2021-07-19,2021-07-21,100,103.31578177563259
2021-07-21,2021-07-22,100,97.10208530939876
2021-07-22,2021-07-26,100,103.10686689021725
2021-07-26,2021-07-27,100,98.09038333733969
2021-07-27,2021-08-03,100,103.09281322752466
2021-08-03,2021-08-04,100,96.94054477319762
2021-08-04,2021-08-06,100,102.64972305561966
2021-08-06,2021-08-09,100,98.2863767301342
2021-08-09,2021-08-10,100,102.36541307160574
2021-08-10,2021-08-12,100,98.89664804469274
2021-08-12,2021-08-13,100,98.32368309560796
2021-08-13,2021-08-16,100,97.78449650259253
2021-08-16,2021-08-18,100,97.15777645581335
2021-08-18,2021-08-19,100,97.07387501795284
2021-08-19,2021-08-20,100,98.82728546955303
2021-08-20,2021-08-25,100,104.02240887530138
2021-08-25,2021-08-26,100,98.06694490944486
2021-08-26,2021-08-27,100,106.26028254304185
2021-08-27,2021-09-01,100,104.02262088215626
2021-09-01,2021-09-02,100,106.70901289952901
2021-09-02,2021-09-03,100,102.65737654462468
2021-09-03,2021-09-08,100,103.36299556661245
2021-09-08,2021-09-13,100,103.09805785098465
2021-09-13,2021-09-14,100,98.31494639554164
2021-09-14,2021-09-15,100,107.07005516250412
2021-09-15,2021-09-16,100,96.94860509286113
2021-09-16,2021-09-21,100,97.98754164515978
2021-09-21,2021-09-22,100,102.00350778476808
2021-09-22,2021-09-23,100,102.16720264782518
2021-09-23,2021-09-24,100,102.82945714170835
2021-09-24,2021-09-27,100,108.45924825301776
2021-09-27,2021-09-28,100,98.90764136027235
2021-09-28,2021-09-29,100,103.34399050227552
2021-09-29,2021-09-30,100,96.5001914666344
2021-09-30,2021-10-01,100,102.25039421058678
2021-10-01,2021-10-04,100,102.33873932758691
2021-10-04,2021-10-06,100,96.93082250563839
2021-10-06,2021-10-11,100,97.50232934042344
2021-10-11,2021-10-14,100,98.72181364137923
2021-10-14,2021-10-15,100,98.02500695231781
2021-10-15,2021-10-19,100,102.56035352846504
2021-10-19,2021-10-20,100,102.63580654084303
2021-10-20,2021-10-21,100,97.05405223304292
2021-10-21,2021-10-22,100,102.45595672304135
2021-10-22,2021-10-25,100,105.9643069353376
2021-10-25,2021-10-27,100,98.00886370455629
2021-10-27,2021-10-28,100,98.95810853537964
2021-10-28,2021-10-29,100,97.44037083432652
2021-10-29,2021-11-03,100,103.61057617238328
2021-11-03,2021-11-04,100,98.4593126937162
2021-11-04,2021-11-09,100,98.21071428571429
2021-11-09,2021-11-10,100,94.89176229784978
2021-11-10,2021-11-11,100,102.86543304500167
2021-11-11,2021-11-16,100,102.09000819611056
2021-11-16,2021-11-17,100,98.24054717679505
2021-11-17,2021-11-19,100,96.98852721734609
2021-11-19,2021-11-22,100,104.85470889801994
2021-11-22,2021-11-30,100,95.79950324560123
2021-11-30,2021-12-01,100,98.3098576206194
2021-12-01,2021-12-02,100,102.48101013346927
2021-12-02,2021-12-06,100,97.08383566976087
2021-12-06,2021-12-07,100,102.44131978282056
2021-12-07,2021-12-08,100,103.13058888121812
2021-12-08,2021-12-13,100,98.60529839024235
2021-12-13,2021-12-14,100,98.1910708176531
2021-12-14,2021-12-17,100,97.85723618309308
2021-12-17,2021-12-20,100,98.7827673683742
