date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-06,107.08976603745425,100,7.089766037454254,1,107.08976603745425
2021-01-06,107.08976603745425,200,7.089766037454254,2,7.089766037454254
2021-01-08,212.40116328109218,200,12.401163281092195,2,112.4011632810922
2021-01-08,212.40116328109218,300,12.401163281092195,3,12.401163281092195
2021-01-12,315.47387280925653,300,15.473872809256534,3,115.47387280925653
2021-01-12,315.47387280925653,400,15.473872809256534,4,15.473872809256534
2021-01-13,414.46580274643844,400,14.465802746438428,4,114.46580274643843
2021-01-13,414.46580274643844,500,14.465802746438428,5,14.465802746438428
2021-01-19,513.1070183570577,500,13.107018357057655,5,113.10701835705765
2021-01-19,513.1070183570577,600,13.107018357057655,6,13.107018357057655
2021-01-21,608.7859785276078,600,8.785978527607725,6,108.78597852760771
2021-01-21,608.7859785276078,700,8.785978527607725,7,8.78597852760771
2021-01-26,703.5804876463576,700,3.5804876463575823,7,103.5804876463576
2021-01-26,703.5804876463576,800,3.5804876463575823,8,3.5804876463575965
2021-01-27,801.5760817328036,800,1.576081732803587,8,101.5760817328036
2021-01-27,801.5760817328036,900,1.576081732803587,9,1.5760817328036012
2021-01-28,905.7086275120278,900,5.708627512027803,9,105.70862751202782
2021-01-28,905.7086275120278,1000,5.708627512027803,10,5.708627512027817
2021-01-29,1004.6462226414037,1000,4.646222641403767,10,104.64622264140377
2021-01-29,1004.6462226414037,1100,4.646222641403767,11,4.646222641403767
2021-02-01,1106.7738494836547,1100,6.7738494836548,11,106.7738494836548
2021-02-01,1106.7738494836547,1200,6.7738494836548,12,6.7738494836548
2021-02-03,1209.6025507464901,1200,9.60255074649028,12,109.60255074649028
2021-02-03,1209.6025507464901,1300,9.60255074649028,13,9.60255074649028
2021-02-05,1314.4741621895155,1300,14.474162189515653,13,114.47416218951565
2021-02-05,1314.4741621895155,1400,14.474162189515653,14,14.474162189515653
2021-02-09,1413.4039226253408,1400,13.40392262534084,14,113.40392262534084
2021-02-09,1413.4039226253408,1500,13.40392262534084,15,13.40392262534084
2021-02-12,1515.569675814667,1500,15.569675814667178,15,115.56967581466716
2021-02-12,1515.569675814667,1600,15.569675814667178,16,15.569675814667164
2021-02-16,1617.6183425918982,1600,17.618342591898255,16,117.61834259189824
2021-02-16,1617.6183425918982,1700,17.618342591898255,17,17.61834259189824
2021-02-18,1715.2318224916794,1700,15.231822491679296,17,115.2318224916793
2021-02-18,1715.2318224916794,1800,15.231822491679296,18,15.231822491679296
2021-02-19,1818.1102589605075,1800,18.110258960507394,18,118.1102589605074
2021-02-19,1818.1102589605075,1900,18.110258960507394,19,18.110258960507394
2021-02-22,1920.76768020774,1900,20.767680207739957,19,120.76768020773996
2021-02-22,1920.76768020774,2000,20.767680207739957,20,20.767680207739957
2021-02-25,2017.9401767483507,2000,17.940176748350552,20,117.94017674835055
2021-02-25,2017.9401767483507,2100,17.940176748350552,21,17.940176748350552
2021-03-01,2120.2393381087404,2100,20.239338108740284,21,120.23933810874027
2021-03-01,2120.2393381087404,2200,20.239338108740284,22,20.23933810874027
2021-03-02,2219.1790277245705,2200,19.179027724570474,22,119.17902772457047
2021-03-02,2219.1790277245705,2300,19.179027724570474,23,19.179027724570474
2021-03-04,2314.9649067461287,2300,14.964906746128605,23,114.9649067461286
2021-03-04,2314.9649067461287,2400,14.964906746128605,24,14.964906746128605
2021-03-05,2417.223235160116,2400,17.223235160115962,24,117.22323516011598
2021-03-05,2417.223235160116,2500,17.223235160115962,25,17.223235160115976
2021-03-10,2522.040379147152,2500,22.040379147152095,25,122.04037914715208
2021-03-10,2522.040379147152,2600,22.040379147152095,26,22.04037914715208
2021-03-16,2620.2731962751654,2600,20.273196275165503,26,120.2731962751655
2021-03-16,2620.2731962751654,2700,20.273196275165503,27,20.273196275165503
2021-03-17,2722.6352602171037,2700,22.63526021710389,27,122.63526021710389
2021-03-17,2722.6352602171037,2800,22.63526021710389,28,22.63526021710389
2021-03-23,2819.6512412580814,2800,19.651241258081868,28,119.65124125808185
2021-03-23,2819.6512412580814,2900,19.651241258081868,29,19.651241258081853
2021-03-25,2921.679029717269,2900,21.679029717269387,29,121.67902971726937
2021-03-25,2921.679029717269,3000,21.679029717269387,30,21.679029717269373
2021-03-26,3024.0967787576196,3000,24.09677875762037,30,124.09677875762038
2021-03-26,3024.0967787576196,3100,24.09677875762037,31,24.096778757620385
2021-03-30,3122.0696367513233,3100,22.06963675132411,31,122.06963675132411
