purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-06,100,107.08976603745425
2021-01-06,2021-01-08,100,105.31139724363794
2021-01-08,2021-01-12,100,103.07270952816434
2021-01-12,2021-01-13,100,98.9919299371819
2021-01-13,2021-01-19,100,98.64121561061923
2021-01-19,2021-01-21,100,95.67896017055006
2021-01-21,2021-01-26,100,94.79450911874989
2021-01-26,2021-01-27,100,97.995594086446
2021-01-27,2021-01-28,100,104.13254577922422
2021-01-28,2021-01-29,100,98.93759512937595
2021-01-29,2021-02-01,100,102.12762684225103
2021-02-01,2021-02-03,100,102.82870126283548
2021-02-03,2021-02-05,100,104.87161144302537
2021-02-05,2021-02-09,100,98.92976043582519
2021-02-09,2021-02-12,100,102.16575318932632
2021-02-12,2021-02-16,100,102.04866677723108
2021-02-16,2021-02-18,100,97.61347989978105
2021-02-18,2021-02-19,100,102.8784364688281
2021-02-19,2021-02-22,100,102.65742124723256
2021-02-22,2021-02-25,100,97.1724965406106
2021-02-25,2021-03-01,100,102.29916136038972
2021-03-01,2021-03-02,100,98.9396896158302
2021-03-02,2021-03-04,100,95.78587902155813
2021-03-04,2021-03-05,100,102.25832841398737
2021-03-05,2021-03-10,100,104.8171439870361
2021-03-10,2021-03-16,100,98.23281712801342
2021-03-16,2021-03-17,100,102.36206394193839
2021-03-17,2021-03-23,100,97.01598104097796
2021-03-23,2021-03-25,100,102.02778845918752
2021-03-25,2021-03-26,100,102.41774904035101
2021-03-26,2021-03-30,100,97.97285799370373
2021-03-30,2021-04-21,100,102.85785622788164
2021-04-21,2021-04-29,100,102.64842650072927
2021-04-29,2021-04-30,100,98.38535883199671
2021-04-30,2021-05-04,100,102.11433635421197
2021-05-04,2021-05-05,100,95.75961388886614
2021-05-05,2021-05-07,100,102.47623688941042
2021-05-07,2021-05-10,100,96.17359708988971
2021-05-10,2021-05-12,100,96.14844920806702
2021-05-12,2021-05-14,100,102.81913165872672
2021-05-14,2021-05-18,100,98.83266860600317
2021-05-18,2021-05-19,100,97.90435178299907
2021-05-19,2021-05-20,100,98.46054087388679
2021-05-20,2021-05-24,100,102.31121365773683
2021-05-24,2021-05-25,100,98.77990866757744
2021-05-25,2021-05-28,100,102.01986830413088
2021-05-28,2021-06-10,100,97.93369141606459
2021-06-10,2021-06-14,100,98.65314490436784
