date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-05,108.17285309180176,100,8.172853091801755,1,108.17285309180176
2021-01-05,108.17285309180176,200,8.172853091801755,2,8.172853091801755
2021-01-06,206.3143352109034,200,6.314335210903408,2,106.31433521090341
2021-01-06,206.3143352109034,300,6.314335210903408,3,6.314335210903408
2021-01-07,314.0207499140888,300,14.020749914088839,3,114.02074991408884
2021-01-07,314.0207499140888,400,14.020749914088839,4,14.020749914088839
2021-01-08,417.0856003730761,400,17.08560037307609,4,117.08560037307609
2021-01-08,417.0856003730761,500,17.08560037307609,5,17.08560037307609
2021-01-11,515.537690589999,500,15.537690589998945,5,115.53769058999895
2021-01-11,515.537690589999,600,15.537690589998945,6,15.537690589998945
2021-01-12,620.7578416132361,600,20.75784161323608,6,120.75784161323608
2021-01-12,620.7578416132361,700,20.75784161323608,7,20.75784161323608
2021-01-14,723.6665921332749,700,23.666592133274918,7,123.6665921332749
2021-01-14,723.6665921332749,800,23.666592133274918,8,23.666592133274904
2021-01-15,820.5469613681905,800,20.546961368190523,8,120.54696136819051
2021-01-15,820.5469613681905,900,20.546961368190523,9,20.54696136819051
2021-01-19,916.175851725321,900,16.17585172532094,9,116.17585172532094
2021-01-19,916.175851725321,1000,16.17585172532094,10,16.17585172532094
2021-01-20,1014.3140335435028,1000,14.314033543502731,10,114.31403354350275
2021-01-20,1014.3140335435028,1100,14.314033543502731,11,14.314033543502745
2021-01-26,1111.1459588436362,1100,11.145958843636137,11,111.14595884363614
2021-01-26,1111.1459588436362,1200,11.145958843636137,12,11.145958843636137
2021-01-27,1202.719830959352,1200,2.71983095935191,12,102.71983095935191
2021-01-27,1202.719830959352,1300,2.71983095935191,13,2.71983095935191
2021-01-28,1309.698227181825,1300,9.698227181824848,13,109.69822718182485
2021-01-28,1309.698227181825,1400,9.698227181824848,14,9.698227181824848
2021-01-29,1411.721585644385,1400,11.721585644384902,14,111.7215856443849
2021-01-29,1411.721585644385,1500,11.721585644384902,15,11.721585644384902
2021-02-02,1519.172100595187,1500,19.17210059518699,15,119.17210059518699
2021-02-02,1519.172100595187,1600,19.17210059518699,16,19.17210059518699
2021-02-05,1621.8444683129849,1600,21.844468312984972,16,121.84446831298496
2021-02-05,1621.8444683129849,1700,21.844468312984972,17,21.844468312984958
2021-02-10,1725.238533903823,1700,25.238533903823097,17,125.23853390382308
2021-02-10,1725.238533903823,1800,25.238533903823097,18,25.238533903823082
2021-02-11,1824.0335528680093,1800,24.033552868009295,18,124.0335528680093
2021-02-11,1824.0335528680093,1900,24.033552868009295,19,24.033552868009295
2021-02-19,1928.9258542881357,1900,28.925854288135696,19,128.9258542881357
2021-02-19,1928.9258542881357,2000,28.925854288135696,20,28.925854288135696
2021-02-22,2020.2454111968616,2000,20.24541119686147,20,120.24541119686148
2021-02-22,2020.2454111968616,2100,20.24541119686147,21,20.245411196861482
2021-02-25,2113.7617621935274,2100,13.761762193527446,21,113.76176219352745
2021-02-25,2113.7617621935274,2200,13.761762193527446,22,13.761762193527446
2021-02-26,2221.286604793846,2200,21.28660479384604,22,121.28660479384602
2021-02-26,2221.286604793846,2300,21.28660479384604,23,21.286604793846024
2021-03-01,2331.311296151871,2300,31.31129615187075,23,131.31129615187075
2021-03-01,2331.311296151871,2400,31.31129615187075,24,31.31129615187075
2021-03-03,2423.684340522222,2400,23.68434052222213,24,123.68434052222212
2021-03-03,2423.684340522222,2500,23.68434052222213,25,23.684340522222115
2021-03-04,2517.388571251407,2500,17.388571251406844,25,117.38857125140686
2021-03-04,2517.388571251407,2600,17.388571251406844,26,17.38857125140686
2021-03-05,2614.2588257052757,2600,14.258825705275527,26,114.25882570527553
2021-03-05,2614.2588257052757,2700,14.258825705275527,27,14.258825705275527
2021-03-08,2706.4779891219614,2700,6.477989121961286,27,106.4779891219613
2021-03-08,2706.4779891219614,2800,6.477989121961286,28,6.477989121961301
2021-03-09,2814.4509564920845,2800,14.450956492084458,28,114.45095649208444
2021-03-09,2814.4509564920845,2900,14.450956492084458,29,14.450956492084444
2021-03-11,2920.8329548025063,2900,20.832954802506094,29,120.83295480250608
2021-03-11,2920.8329548025063,3000,20.832954802506094,30,20.83295480250608
2021-03-12,3024.3162063185327,3000,24.316206318532636,30,124.31620631853264
2021-03-12,3024.3162063185327,3100,24.316206318532636,31,24.316206318532636
2021-03-16,3123.2558275121564,3100,23.25582751215643,31,123.25582751215642
2021-03-16,3123.2558275121564,3200,23.25582751215643,32,23.255827512156415
2021-03-18,3215.908744839849,3200,15.908744839849007,32,115.908744839849
2021-03-18,3215.908744839849,3300,15.908744839849007,33,15.908744839849007
2021-03-19,3318.347769230093,3300,18.347769230092908,33,118.34776923009291
2021-03-19,3318.347769230093,3400,18.347769230092908,34,18.347769230092908
2021-03-24,3412.26724029465,3400,12.267240294649767,34,112.26724029464977
2021-03-24,3412.26724029465,3500,12.267240294649767,35,12.267240294649767
2021-03-26,3514.699512392732,3500,14.699512392731634,35,114.69951239273165
2021-03-26,3514.699512392732,3600,14.699512392731634,36,14.699512392731648
2021-03-29,3610.726539419759,3600,10.72653941975868,36,110.72653941975868
2021-03-29,3610.726539419759,3700,10.72653941975868,37,10.72653941975868
2021-03-30,3713.0545519644897,3700,13.054551964489477,37,113.05455196448949
2021-03-30,3713.0545519644897,3800,13.054551964489477,38,13.054551964489491
2021-03-31,3816.1586777012285,3800,16.158677701228214,38,116.1586777012282
2021-03-31,3816.1586777012285,3900,16.158677701228214,39,16.1586777012282
2021-04-06,3921.951360628058,3900,21.951360628057486,39,121.95136062805749
2021-04-06,3921.951360628058,4000,21.951360628057486,40,21.951360628057486
2021-04-07,4018.2409859882887,4000,18.24098598828803,40,118.24098598828803
2021-04-07,4018.2409859882887,4100,18.24098598828803,41,18.24098598828803
2021-04-13,4121.761375064233,4100,21.761375064232652,41,121.76137506423267
2021-04-13,4121.761375064233,4200,21.761375064232652,42,21.761375064232666
2021-04-14,4219.368978692581,4200,19.36897869258003,42,119.36897869258003
2021-04-14,4219.368978692581,4300,19.36897869258003,43,19.36897869258003
2021-04-15,4323.663843367319,4300,23.66384336731808,43,123.66384336731808
2021-04-15,4323.663843367319,4400,23.66384336731808,44,23.66384336731808
2021-04-16,4421.320842195818,4400,21.32084219581749,44,121.32084219581749
2021-04-16,4421.320842195818,4500,21.32084219581749,45,21.32084219581749
2021-04-20,4516.791415462749,4500,16.79141546274832,45,116.79141546274832
2021-04-20,4516.791415462749,4600,16.79141546274832,46,16.79141546274832
2021-04-21,4618.904654620499,4600,18.904654620498775,46,118.90465462049877
2021-04-21,4618.904654620499,4700,18.904654620498775,47,18.904654620498775
2021-04-22,4717.72261270835,4700,17.722612708350198,47,117.72261270835021
2021-04-22,4717.72261270835,4800,17.722612708350198,48,17.722612708350212
2021-04-23,4822.628087973435,4800,22.628087973434546,48,122.62808797343455
2021-04-23,4822.628087973435,4900,22.628087973434546,49,22.628087973434546
2021-04-26,4928.519962366442,4900,28.519962366441973,49,128.51996236644197
2021-04-26,4928.519962366442,5000,28.519962366441973,50,28.519962366441973
2021-04-29,5026.600739566755,5000,26.6007395667545,50,126.6007395667545
2021-04-29,5026.600739566755,5100,26.6007395667545,51,26.6007395667545
2021-04-30,5125.395503021766,5100,25.39550302176592,51,125.39550302176592
2021-04-30,5125.395503021766,5200,25.39550302176592,52,25.39550302176592
2021-05-05,5223.768916749593,5200,23.76891674959319,52,123.76891674959317
2021-05-05,5223.768916749593,5300,23.76891674959319,53,23.768916749593174
2021-05-06,5317.650322208933,5300,17.650322208933204,53,117.6503222089332
2021-05-06,5317.650322208933,5400,17.650322208933204,54,17.650322208933204
2021-05-07,5411.713711846435,5400,11.713711846435586,54,111.71371184643559
2021-05-07,5411.713711846435,5500,11.713711846435586,55,11.713711846435586
2021-05-10,5509.441809986139,5500,9.44180998613939,55,109.4418099861394
2021-05-10,5509.441809986139,5600,9.44180998613939,56,9.441809986139404
