purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-05,100,102.70424377065027
2021-01-05,2021-01-06,100,103.21591804866802
2021-01-06,2021-01-11,100,102.00607577968863
2021-01-11,2021-01-14,100,104.24570299481026
2021-01-14,2021-01-15,100,96.44058100752578
2021-01-15,2021-01-19,100,102.62734781249702
2021-01-19,2021-01-21,100,97.35673569779662
2021-01-21,2021-01-25,100,98.79226681044443
2021-01-25,2021-01-26,100,98.30479199427134
2021-01-26,2021-01-27,100,98.7016362238735
2021-01-27,2021-01-29,100,96.5984653782965
2021-01-29,2021-02-02,100,102.18437625173884
2021-02-02,2021-02-03,100,102.18163966125722
2021-02-03,2021-02-08,100,102.83318339702564
2021-02-08,2021-02-16,100,103.24331539966963
2021-02-16,2021-02-17,100,102.99527839026585
2021-02-17,2021-02-22,100,102.57449202847869
2021-02-22,2021-02-24,100,104.99877068661252
2021-02-24,2021-02-26,100,96.7983881626532
2021-02-26,2021-03-01,100,102.05316048238574
2021-03-01,2021-03-04,100,102.40449040479382
2021-03-04,2021-03-05,100,104.30554869718367
2021-03-05,2021-03-10,100,102.16392149127134
2021-03-10,2021-03-16,100,96.65681958603645
2021-03-16,2021-03-18,100,96.72506267416426
2021-03-18,2021-03-22,100,98.48216839577003
2021-03-22,2021-03-24,100,102.0953695101927
2021-03-24,2021-03-26,100,102.66517819547174
2021-03-26,2021-03-30,100,98.56540793492168
2021-03-30,2021-03-31,100,98.9108062794068
2021-03-31,2021-04-06,100,98.86218119731086
2021-04-06,2021-04-12,100,98.25468736215548
2021-04-12,2021-04-14,100,102.44908781117992
2021-04-14,2021-04-16,100,98.73879224303613
2021-04-16,2021-04-20,100,98.4152576355009
2021-04-20,2021-04-28,100,103.85407912942355
2021-04-28,2021-04-30,100,97.94713617680804
2021-04-30,2021-05-03,100,102.37053633827968
2021-05-03,2021-05-05,100,103.26957485745028
2021-05-05,2021-05-11,100,97.92136161815492
2021-05-11,2021-05-14,100,102.5943313049848
2021-05-14,2021-05-18,100,98.1807735370956
2021-05-18,2021-05-19,100,97.19913930478154
2021-05-19,2021-05-24,100,102.3291116833289
2021-05-24,2021-05-25,100,98.36154277076385
2021-05-25,2021-06-01,100,102.6730116012507
2021-06-01,2021-06-15,100,103.41884597765252
2021-06-15,2021-06-17,100,97.0697275799975
2021-06-17,2021-06-18,100,96.23219316693782
2021-06-18,2021-06-21,100,102.93044031342424
2021-06-21,2021-06-28,100,98.06537097165108
2021-06-28,2021-07-01,100,102.12077792495474
2021-07-01,2021-07-06,100,97.92326501222578
2021-07-06,2021-07-07,100,98.97096415429819
2021-07-07,2021-07-15,100,98.41387771865033
2021-07-15,2021-07-16,100,97.35719633184512
2021-07-16,2021-07-19,100,97.30139566642292
2021-07-19,2021-07-21,100,104.02375312686783
2021-07-21,2021-07-22,100,98.99746013302646
2021-07-22,2021-07-26,100,102.15962966107797
2021-07-26,2021-08-18,100,97.07833061892678
2021-08-18,2021-08-19,100,97.50854544311672
2021-08-19,2021-08-23,100,102.58667926310818
2021-08-23,2021-09-01,100,98.94528482185227
2021-09-01,2021-09-02,100,102.09008795932826
2021-09-02,2021-09-08,100,98.64943567390392
2021-09-08,2021-09-20,100,98.32869262491587
2021-09-20,2021-09-22,100,103.01762409234101
2021-09-22,2021-09-23,100,102.47907538870726
2021-09-23,2021-09-27,100,102.90225445785657
2021-09-27,2021-09-30,100,98.52873071853513
2021-09-30,2021-10-01,100,102.84278379802278
2021-10-01,2021-10-08,100,103.56597214200407
2021-10-08,2021-10-19,100,103.36841084331508
2021-10-19,2021-10-26,100,102.15992043386063
2021-10-26,2021-10-27,100,98.21730345334313
2021-10-27,2021-10-29,100,102.15262906890845
2021-10-29,2021-11-03,100,98.71476826466254
2021-11-03,2021-11-09,100,102.64102302549219
2021-11-09,2021-11-10,100,98.4135158332204
2021-11-10,2021-11-15,100,102.33638425029147
2021-11-15,2021-11-19,100,96.90241670703482
2021-11-19,2021-11-23,100,103.91960822432675
2021-11-23,2021-11-26,100,98.46153846153847
2021-11-26,2021-11-30,100,98.5704979733642
2021-11-30,2021-12-02,100,102.0046260601388
2021-12-02,2021-12-07,100,102.41514595256092
