date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-05,98.27735189427872,100,-1.7226481057212766,1,98.27735189427872
2021-01-05,98.27735189427872,200,-1.7226481057212766,2,0.0
2021-01-11,196.9955901777344,200,-2.9535308785346217,2,98.71823828345568
2021-01-11,196.9955901777344,300,-2.9535308785346217,3,0.0
2021-01-15,300.9725147003319,300,0.9441486068508311,3,103.97692452259746
2021-01-15,300.9725147003319,400,0.9441486068508311,4,3.976924522597457
2021-01-20,404.0735457577945,400,3.9547294769450616,4,107.07795558006003
2021-01-20,404.0735457577945,500,3.9547294769450616,5,7.077955580060035
2021-01-26,507.7330118919165,500,7.507457113010759,5,110.73742171418203
2021-01-26,507.7330118919165,600,7.507457113010759,6,10.737421714182034
2021-01-27,610.0000070020308,600,9.708329011627598,6,113.00441682429638
2021-01-27,610.0000070020308,700,9.708329011627598,7,13.004416824296385
2021-01-28,707.1131377631864,700,6.905663335637897,7,110.11754758545199
2021-01-28,707.1131377631864,800,6.905663335637897,8,10.117547585451987
2021-02-01,809.4320556015285,800,9.156943491840337,8,112.43646542379409
2021-02-01,809.4320556015285,900,9.156943491840337,9,12.43646542379409
2021-02-04,907.2850893581767,900,7.072599484572706,9,110.2894991804423
2021-02-04,907.2850893581767,1000,7.072599484572706,10,10.289499180442306
2021-02-09,1009.4939514281622,1000,9.217033954705471,10,112.4983612504278
2021-02-09,1009.4939514281622,1100,9.217033954705471,11,12.498361250427806
2021-02-11,1107.178717915157,1100,6.9693306602542435,11,110.1831277374227
2021-02-11,1107.178717915157,1200,6.9693306602542435,12,10.183127737422694
2021-02-12,1203.9042669282296,1200,3.7903881348056387,12,106.90867675049533
2021-02-12,1203.9042669282296,1300,3.7903881348056387,13,6.9086767504953315
2021-02-16,1301.8544024627872,1300,1.8003136622859301,13,104.85881228505282
2021-02-16,1301.8544024627872,1400,1.8003136622859301,14,4.858812285052821
2021-02-24,1400.3612467446262,1400,0.3507099795528603,14,103.36565656689183
2021-02-24,1400.3612467446262,1500,0.3507099795528603,15,3.365656566891829
2021-03-01,1498.744669887785,1500,-1.218714921410779,15,101.74907971005054
2021-03-01,1498.744669887785,1600,-1.218714921410779,16,1.7490797100505375
2021-03-02,1597.3540108573743,1600,-2.56881151709068,16,100.35842067963995
2021-03-02,1597.3540108573743,1700,-2.56881151709068,17,0.3584206796399485
2021-03-03,1693.1894574159528,1700,-6.61189418569424,17,96.19386723821856
2021-03-03,1693.1894574159528,1800,-6.61189418569424,18,0.0
2021-03-04,1795.854303133165,1800,-3.8813554978176796,18,102.66484571721224
2021-03-04,1795.854303133165,1900,-3.8813554978176796,19,2.664845717212245
2021-03-05,1898.1756114464752,1900,-1.708060374367193,19,104.98615403052234
2021-03-05,1898.1756114464752,2000,-1.708060374367193,20,4.986154030522343
2021-03-09,2000.5084491229006,2000,0.4760289673658775,20,107.31899170694777
2021-03-09,2000.5084491229006,2100,0.4760289673658775,21,7.31899170694777
2021-03-23,2105.058234735097,2100,4.735707368134356,21,111.86877731914404
2021-03-23,2105.058234735097,2200,4.735707368134356,22,11.868777319144044
2021-03-25,2203.8802898729414,2200,3.632871605242812,22,110.69083245698867
2021-03-25,2203.8802898729414,2300,3.632871605242812,23,10.690832456988673
2021-03-26,2307.1734292299916,2300,6.716031073755758,23,113.98397181403877
2021-03-26,2307.1734292299916,2400,6.716031073755758,24,13.983971814038767
2021-03-30,2406.0045652080876,2400,5.621697131032505,24,112.81510779213467
2021-03-30,2406.0045652080876,2500,5.621697131032505,25,12.815107792134668
2021-04-05,2509.2093411297337,2500,8.62212746694641,25,116.01988371378066
2021-04-05,2509.2093411297337,2600,8.62212746694641,26,16.019883713780658
2021-04-07,2607.2427498393404,2600,6.780931604800429,26,114.05329242338749
2021-04-07,2607.2427498393404,2700,6.780931604800429,27,14.05329242338749
2021-04-09,2706.0961212696125,2700,5.707415318872393,27,112.90666385365968
2021-04-09,2706.0961212696125,2800,5.707415318872393,28,12.90666385365968
2021-04-13,2809.576659910065,2800,8.966024961935943,28,116.38720249411192
2021-04-13,2809.576659910065,2900,8.966024961935943,29,16.387202494111918
2021-04-14,2907.8207298272146,2900,7.322057952341794,29,114.63127241126169
2021-04-14,2907.8207298272146,3000,7.322057952341794,30,14.63127241126169
2021-04-15,3010.3402947709815,3000,9.68096830221144,30,117.15083735502868
2021-04-15,3010.3402947709815,3100,9.68096830221144,31,17.150837355028685
2021-04-20,3112.8549915196418,3100,12.035320866876617,31,119.665534103689
2021-04-20,3112.8549915196418,3200,12.035320866876617,32,19.665534103688998
2021-04-22,3211.604533605476,3200,10.864595689460927,32,118.41507618952323
2021-04-22,3211.604533605476,3300,10.864595689460927,33,18.415076189523234
2021-04-28,3310.3389546423373,3300,9.67971362396392,33,117.14949722638482
2021-04-28,3310.3389546423373,3400,9.67971362396392,34,17.149497226384824
2021-04-30,3415.193758506527,3400,14.224961449448585,34,122.0043010905746
2021-04-30,3415.193758506527,3500,14.224961449448585,35,22.0043010905746
2021-05-03,3513.4903171691326,3500,12.63013635430032,35,120.30085975318019
2021-05-03,3513.4903171691326,3600,12.63013635430032,36,20.30085975318019
2021-05-06,3612.0700179669116,3600,11.300399450189701,36,118.88056055095933
2021-05-06,3612.0700179669116,3700,11.300399450189701,37,18.88056055095933
2021-05-12,3710.46284971204,3700,9.795708793266371,37,117.27339229608805
2021-05-12,3710.46284971204,3800,9.795708793266371,38,17.273392296088048
2021-05-20,3813.2664056530634,3800,12.420502070406926,38,120.07694823711147
2021-05-20,3813.2664056530634,3900,12.420502070406926,39,20.076948237111466
2021-06-02,3915.590662713363,3900,14.596557920391007,39,122.40120529741137
2021-06-02,3915.590662713363,4000,14.596557920391007,40,22.401205297411366
2021-06-07,4018.008471638438,4000,16.860200503399312,40,124.81901422248609
2021-06-07,4018.008471638438,4100,16.860200503399312,41,24.81901422248609
2021-06-10,4121.443237913327,4100,20.07595635651269,41,128.25378049737472
2021-06-10,4121.443237913327,4200,20.07595635651269,42,28.25378049737472
2021-06-11,4220.373736538346,4200,19.074649417041826,42,127.18427912239417
2021-06-11,4220.373736538346,4300,19.074649417041826,43,27.184279122394173
2021-06-15,4319.343808980736,4300,18.110392956309667,43,126.15435156478445
2021-06-15,4319.343808980736,4400,18.110392956309667,44,26.15435156478445
2021-06-16,4418.207114139582,4400,17.046176996298286,44,125.01765672363027
2021-06-16,4418.207114139582,4500,17.046176996298286,45,25.017656723630267
2021-06-18,4516.063031806821,4500,15.038807423136149,45,122.8735743908687
2021-06-18,4516.063031806821,4600,15.038807423136149,46,22.873574390868697
2021-06-23,4614.609400124086,4600,13.677863411836327,46,121.41994270813426
2021-06-23,4614.609400124086,4700,13.677863411836327,47,21.419942708134258
2021-06-24,4713.349716260963,4700,12.498500558088125,47,120.1602588450111
2021-06-24,4713.349716260963,4800,12.498500558088125,48,20.1602588450111
2021-07-07,4815.928668073618,4800,14.913011101956442,48,122.7392106576659
2021-07-07,4815.928668073618,4900,14.913011101956442,49,22.739210657665893
2021-07-12,4918.3831019006275,4900,17.2109432794645,49,125.19364448467566
2021-07-12,4918.3831019006275,5000,17.2109432794645,50,25.19364448467566
2021-07-13,5016.994464091381,5000,15.910848948276438,50,123.80500667542924
2021-07-13,5016.994464091381,5100,15.910848948276438,51,23.80500667542924
2021-07-26,5115.900636645885,5100,14.886767037415765,51,122.71117922993389
2021-07-26,5115.900636645885,5200,14.886767037415765,52,22.71117922993389
2021-07-29,5213.758122744602,5200,12.88086588810009,52,120.56866532865017
2021-07-29,5213.758122744602,5300,12.88086588810009,53,20.56866532865017
2021-07-30,5316.186059804841,5300,15.153990807700993,53,122.99660238888909
2021-07-30,5316.186059804841,5400,15.153990807700993,54,22.996602388889087
2021-08-09,5418.470149935653,5400,17.292440885337925,54,125.28069251970206
2021-08-09,5418.470149935653,5500,17.292440885337925,55,25.280692519702058
2021-08-10,5516.372992347518,5500,15.329004002237497,55,123.1835349315672
2021-08-10,5516.372992347518,5600,15.329004002237497,56,23.183534931567195
2021-08-12,5618.415902348681,5600,17.241652278090186,56,125.22644493272988
2021-08-12,5618.415902348681,5700,17.241652278090186,57,25.226444932729876
2021-08-16,5720.885071249485,5700,19.5533799793715,57,127.69561383353417
