purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-05,100,98.27735189427872
2021-01-05,2021-01-11,100,98.71823828345568
2021-01-11,2021-01-15,100,103.97692452259746
2021-01-15,2021-01-20,100,103.10103105746258
2021-01-20,2021-01-26,100,103.659466134122
2021-01-26,2021-01-27,100,102.26699511011435
2021-01-27,2021-01-28,100,97.1131307611556
2021-01-28,2021-02-01,100,102.3189178383421
2021-02-01,2021-02-04,100,97.85303375664822
2021-02-04,2021-02-09,100,102.2088620699855
2021-02-09,2021-02-11,100,97.68476648699489
2021-02-11,2021-02-12,100,96.72554901307264
2021-02-12,2021-02-16,100,97.95013553455749
2021-02-16,2021-02-24,100,98.50684428183901
2021-02-24,2021-03-01,100,98.38342314315871
2021-03-01,2021-03-02,100,98.60934096958941
2021-03-02,2021-03-03,100,95.83544655857861
2021-03-03,2021-03-04,100,102.66484571721224
2021-03-04,2021-03-05,100,102.3213083133101
2021-03-05,2021-03-09,100,102.33283767642543
2021-03-09,2021-03-23,100,104.54978561219627
2021-03-23,2021-03-25,100,98.82205513784463
2021-03-25,2021-03-26,100,103.2931393570501
2021-03-26,2021-03-30,100,98.8311359780959
2021-03-30,2021-04-05,100,103.20477592164599
2021-04-05,2021-04-07,100,98.03340870960683
2021-04-07,2021-04-09,100,98.85337143027219
2021-04-09,2021-04-13,100,103.48053864045224
2021-04-13,2021-04-14,100,98.24406991714977
2021-04-14,2021-04-15,100,102.519564943767
2021-04-15,2021-04-20,100,102.51469674866031
2021-04-20,2021-04-22,100,98.74954208583424
2021-04-22,2021-04-28,100,98.73442103686159
2021-04-28,2021-04-30,100,104.85480386418978
2021-04-30,2021-05-03,100,98.29655866260559
2021-05-03,2021-05-06,100,98.57970079777914
2021-05-06,2021-05-12,100,98.39283174512872
2021-05-12,2021-05-20,100,102.80355594102342
2021-05-20,2021-06-02,100,102.3242570602999
2021-06-02,2021-06-07,100,102.41780892507472
2021-06-07,2021-06-10,100,103.43476627488863
2021-06-10,2021-06-11,100,98.93049862501945
2021-06-11,2021-06-15,100,98.97007244239028
2021-06-15,2021-06-16,100,98.86330515884582
2021-06-16,2021-06-18,100,97.85591766723843
2021-06-18,2021-06-23,100,98.54636831726556
2021-06-23,2021-06-24,100,98.74031613687684
2021-06-24,2021-07-07,100,102.5789518126548
2021-07-07,2021-07-12,100,102.45443382700977
2021-07-12,2021-07-13,100,98.61136219075358
2021-07-13,2021-07-26,100,98.90617255450465
2021-07-26,2021-07-29,100,97.85748609871628
2021-07-29,2021-07-30,100,102.42793706023892
2021-07-30,2021-08-09,100,102.28409013081297
2021-08-09,2021-08-10,100,97.90284241186514
2021-08-10,2021-08-12,100,102.04291000116268
2021-08-12,2021-08-16,100,102.46916890080429
2021-08-16,2021-08-18,100,98.90963083121845
2021-08-18,2021-08-19,100,102.04540494785638
2021-08-19,2021-08-25,100,97.36763657572418
2021-08-25,2021-08-30,100,102.39404185080667
2021-08-30,2021-09-01,100,102.57141928564464
2021-09-01,2021-09-09,100,94.7699951204365
2021-09-09,2021-09-10,100,98.41254981678124
2021-09-10,2021-09-20,100,102.01598108361529
2021-09-20,2021-09-23,100,98.32091167635757
2021-09-23,2021-09-24,100,98.73865329901098
2021-09-24,2021-09-27,100,96.76038364961099
2021-09-27,2021-09-28,100,98.85915652741143
2021-09-28,2021-09-30,100,98.87252827644573
2021-09-30,2021-10-05,100,98.79148380544775
2021-10-05,2021-10-08,100,98.56816629830604
2021-10-08,2021-10-13,100,102.60803492278698
2021-10-13,2021-10-14,100,103.2031363438362
2021-10-14,2021-10-20,100,102.82303449828353
2021-10-20,2021-10-22,100,102.44107686518662
2021-10-22,2021-10-28,100,102.03963054236542
2021-10-28,2021-10-29,100,98.57252253136718
2021-10-29,2021-11-04,100,98.95688086796011
2021-11-04,2021-11-10,100,98.686214647566
2021-11-10,2021-11-15,100,104.60167123343555
2021-11-15,2021-11-19,100,102.71572036790275
2021-11-19,2021-11-22,100,98.55210950304703
2021-11-22,2021-11-29,100,103.4359649404437
2021-11-29,2021-12-01,100,96.47889946984839
2021-12-01,2021-12-07,100,102.80798383671998
2021-12-07,2021-12-13,100,102.3901913905544
2021-12-13,2021-12-14,100,98.22918513175668
2021-12-14,2021-12-16,100,102.83509645301805
2021-12-16,2021-12-21,100,98.77341821174421
2021-12-21,2021-12-27,100,102.13319937020995
2021-12-27,2022-01-04,100,97.45847604537192
2022-01-04,2022-01-05,100,96.32987431835248
2022-01-05,2022-01-06,100,98.71702308463941
2022-01-06,2022-01-11,100,98.90163945036667
2022-01-11,2022-01-14,100,98.02102011701112
2022-01-14,2022-01-24,100,98.73749849781682
2022-01-24,2022-01-26,100,95.98149988843136
2022-01-26,2022-01-27,100,98.3261476033477
2022-01-27,2022-01-28,100,102.49405324850255
2022-01-28,2022-02-03,100,98.73962797005305
2022-02-03,2022-02-04,100,98.7433628318584
2022-02-04,2022-02-08,100,98.91521778096433
2022-02-08,2022-02-09,100,102.32600281236863
2022-02-09,2022-02-10,100,95.4331980364239
2022-02-10,2022-02-11,100,97.20020189424305
2022-02-11,2022-02-16,100,98.76366913067383
2022-02-16,2022-02-17,100,102.34588233474828
2022-02-17,2022-02-18,100,98.14077526876035
2022-02-18,2022-02-23,100,97.80456637876618
2022-02-23,2022-02-25,100,104.28951469453933
2022-02-25,2022-02-28,100,97.84081989977662
2022-02-28,2022-03-04,100,103.2010984009935
2022-03-04,2022-03-07,100,97.76146734134072
2022-03-07,2022-03-08,100,98.06495512163794
2022-03-08,2022-03-15,100,102.16189666866771
2022-03-15,2022-03-17,100,102.27106227106226
2022-03-17,2022-03-23,100,98.86431470869151
2022-03-23,2022-03-28,100,103.10202726161187
2022-03-28,2022-03-29,100,102.71221926151502
2022-03-29,2022-03-31,100,97.98872488578779
2022-03-31,2022-04-01,100,102.89118243906697
2022-04-01,2022-04-06,100,102.17302173021731
2022-04-06,2022-04-11,100,97.58537665356727
2022-04-11,2022-04-19,100,103.35422486281072
2022-04-19,2022-04-27,100,98.59648641418057
2022-04-27,2022-04-28,100,102.19994294898109
2022-04-28,2022-04-29,100,96.4484352555942
2022-04-29,2022-05-02,100,96.6875123521274
2022-05-02,2022-05-04,100,102.39226765365044
2022-05-04,2022-05-05,100,97.71923570511908
2022-05-05,2022-05-09,100,94.35506818132073
2022-05-09,2022-05-10,100,94.91664346911632
2022-05-10,2022-05-13,100,103.62606924643585
2022-05-13,2022-05-16,100,97.8797336498927
2022-05-16,2022-05-18,100,97.57035918524706
2022-05-18,2022-05-20,100,104.63783863877707
2022-05-20,2022-05-24,100,104.21750725732221
2022-05-24,2022-05-27,100,103.57202167972584
2022-05-27,2022-05-31,100,98.64291649053249
2022-05-31,2022-06-01,100,98.46021988414707
2022-06-01,2022-06-03,100,97.85381960078044
2022-06-03,2022-06-08,100,98.78067484662576
2022-06-08,2022-06-10,100,98.87819268690319
2022-06-10,2022-06-13,100,96.81780708985985
2022-06-13,2022-06-14,100,98.89629557545089
2022-06-14,2022-06-15,100,103.49976629957933
2022-06-15,2022-06-16,100,97.1929741164167
2022-06-16,2022-06-21,100,102.25798037105871
2022-06-21,2022-06-22,100,103.23884380530266
2022-06-22,2022-06-23,100,103.28857453922123
2022-06-23,2022-06-28,100,98.4772142814425
2022-06-28,2022-06-29,100,94.67930859099225
2022-06-29,2022-07-01,100,103.2808967142926
2022-07-01,2022-07-05,100,97.70444206375085
2022-07-05,2022-07-08,100,98.26549178829941
2022-07-08,2022-07-12,100,98.43297702023061
2022-07-12,2022-07-13,100,98.80150489584018
2022-07-13,2022-07-14,100,98.51010583902159
2022-07-14,2022-07-19,100,102.14879520614424
2022-07-19,2022-07-22,100,103.06533036990521
2022-07-22,2022-07-28,100,107.46346429802549
2022-07-28,2022-07-29,100,96.72811094285011
2022-07-29,2022-08-01,100,98.55859329811439
