purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-05,100,107.62462300119502
2021-01-05,2021-01-06,100,105.52996305426858
2021-01-06,2021-01-08,100,98.85075468153065
2021-01-08,2021-01-12,100,108.84214527829694
2021-01-12,2021-01-13,100,97.05281417536426
2021-01-13,2021-01-14,100,106.01158773571326
2021-01-14,2021-01-15,100,96.50185854676918
2021-01-15,2021-01-19,100,102.1909150602692
2021-01-19,2021-01-21,100,91.95490662918448
2021-01-21,2021-01-22,100,96.79377596985314
2021-01-22,2021-01-25,100,97.58029688738776
2021-01-25,2021-01-26,100,97.00902971814332
2021-01-26,2021-01-27,100,102.12786240050116
2021-01-27,2021-01-29,100,95.65159414878721
2021-01-29,2021-02-02,100,103.03769586795295
2021-02-02,2021-02-03,100,107.30270189822897
2021-02-03,2021-02-05,100,98.35578784115194
2021-02-05,2021-02-08,100,104.75357190931294
2021-02-08,2021-02-10,100,105.22319106623834
2021-02-10,2021-02-11,100,97.81578381144561
2021-02-11,2021-02-12,100,103.52546000416159
2021-02-12,2021-02-16,100,104.4586096993712
2021-02-16,2021-02-17,100,104.11821945145383
2021-02-17,2021-02-18,100,94.52399809916047
2021-02-18,2021-02-22,100,103.4599679363643
2021-02-22,2021-02-24,100,104.79663954474039
2021-02-24,2021-02-25,100,95.86856056507828
2021-02-25,2021-03-01,100,104.9156805210718
2021-03-01,2021-03-04,100,105.44756050710717
2021-03-04,2021-03-05,100,108.42125716506365
2021-03-05,2021-03-08,100,95.94302765282532
2021-03-08,2021-03-09,100,96.99030078312887
2021-03-09,2021-03-11,100,103.39775441029198
2021-03-11,2021-03-16,100,96.59050164607712
2021-03-16,2021-03-18,100,95.10487824867064
2021-03-18,2021-03-23,100,97.22826279799472
2021-03-23,2021-03-24,100,102.76264408865067
2021-03-24,2021-03-29,100,97.80374211092396
2021-03-29,2021-04-01,100,107.55165241027291
2021-04-01,2021-04-05,100,95.57917786019861
2021-04-05,2021-04-09,100,98.12888868704302
2021-04-09,2021-04-13,100,98.41306572458512
2021-04-13,2021-04-14,100,103.68278319756294
2021-04-14,2021-04-16,100,97.2921758850951
2021-04-16,2021-04-20,100,95.83635497171747
2021-04-20,2021-04-23,100,102.24361399677862
2021-04-23,2021-04-26,100,102.0093569106336
2021-04-26,2021-04-28,100,109.8716872402392
2021-04-28,2021-04-30,100,97.29641770629436
2021-04-30,2021-05-05,100,107.91146143889705
2021-05-05,2021-05-07,100,103.92762002309041
2021-05-07,2021-05-11,100,98.16508606157012
2021-05-11,2021-05-13,100,96.15457439641392
2021-05-13,2021-05-14,100,106.58933543376318
2021-05-14,2021-05-17,100,103.06499911925313
2021-05-17,2021-05-18,100,96.50424567824554
2021-05-18,2021-05-19,100,96.34997084296234
2021-05-19,2021-05-24,100,102.64957073367556
2021-05-24,2021-05-27,100,102.69604524709017
2021-05-27,2021-06-01,100,113.31983771232213
2021-06-01,2021-06-03,100,103.20725968070015
2021-06-03,2021-06-08,100,98.97346947680761
2021-06-08,2021-06-09,100,97.01963031953002
2021-06-09,2021-06-10,100,98.1963047536818
2021-06-10,2021-06-17,100,94.97697700785945
2021-06-17,2021-06-18,100,96.9506376862202
2021-06-18,2021-06-21,100,106.91750673239213
2021-06-21,2021-06-24,100,103.98491115916141
2021-06-24,2021-06-28,100,95.53305381958178
2021-06-28,2021-06-29,100,98.62343899717274
2021-06-29,2021-06-30,100,104.17253070624362
2021-06-30,2021-07-01,100,102.64058829850929
2021-07-01,2021-07-02,100,97.56831745366978
2021-07-02,2021-07-06,100,95.24231100891059
2021-07-06,2021-07-07,100,98.88656840139873
2021-07-07,2021-07-09,100,104.0672407057751
2021-07-09,2021-07-14,100,95.2862097685531
2021-07-14,2021-07-15,100,97.62068908914823
2021-07-15,2021-07-16,100,96.73625181809776
2021-07-16,2021-07-19,100,96.70392226731906
2021-07-19,2021-07-21,100,105.65389126302594
2021-07-21,2021-07-22,100,98.66748327442698
2021-07-22,2021-07-23,100,98.57965566887657
2021-07-23,2021-07-26,100,104.02070916651726
2021-07-26,2021-07-27,100,97.33359676483694
2021-07-27,2021-07-28,100,102.00826628315258
2021-07-28,2021-07-30,100,97.65700084253132
2021-07-30,2021-08-02,100,98.6412843201436
2021-08-02,2021-08-03,100,102.82870014284144
2021-08-03,2021-08-04,100,96.48488423284222
2021-08-04,2021-08-05,100,105.29908699061296
2021-08-05,2021-08-10,100,103.8363644777639
2021-08-10,2021-08-12,100,102.96655835473913
2021-08-12,2021-08-13,100,98.38160069253166
2021-08-13,2021-08-16,100,96.99992400820712
2021-08-16,2021-08-18,100,96.20865391751813
2021-08-18,2021-08-19,100,96.94296942969429
2021-08-19,2021-08-23,100,107.57212707450994
2021-08-23,2021-08-24,100,104.6641131650543
2021-08-24,2021-08-25,100,102.48395013252185
2021-08-25,2021-08-27,100,103.83255236569975
2021-08-27,2021-08-30,100,98.09006509129016
2021-08-30,2021-09-01,100,94.82748243224943
2021-09-01,2021-09-02,100,103.82302303255342
2021-09-02,2021-09-08,100,96.285272147183
2021-09-08,2021-09-13,100,104.23543511129276
2021-09-13,2021-09-14,100,97.75342069396116
