purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-05,100,98.88261165490066
2021-01-05,2021-01-06,100,102.13239787886835
2021-01-06,2021-01-07,100,97.96803435619162
2021-01-07,2021-01-11,100,98.31072639382039
2021-01-11,2021-01-12,100,98.82188479605381
2021-01-12,2021-01-13,100,102.48958110071204
2021-01-13,2021-01-14,100,98.3472905106685
2021-01-14,2021-01-20,100,102.16278113713363
2021-01-20,2021-01-21,100,98.86942498396566
2021-01-21,2021-01-25,100,102.1563291879459
2021-01-25,2021-02-10,100,102.36237660337382
2021-02-10,2021-02-12,100,98.27238848815725
2021-02-12,2021-02-19,100,97.00331110753663
2021-02-19,2021-02-24,100,97.7559499785685
2021-02-24,2021-02-26,100,98.50200271723043
2021-02-26,2021-03-01,100,102.1166780387952
2021-03-01,2021-03-08,100,103.66912781253927
2021-03-08,2021-03-12,100,102.07248876666584
2021-03-12,2021-03-23,100,103.24173816822699
2021-03-23,2021-03-29,100,103.0161686561361
2021-03-29,2021-03-30,100,98.5841328449798
2021-03-30,2021-04-13,100,102.00130485592811
2021-04-13,2021-04-16,100,103.08567347810931
2021-04-16,2021-04-26,100,98.28597221881297
2021-04-26,2021-05-10,100,103.87633145700279
2021-05-10,2021-05-12,100,97.55767219512978
2021-05-12,2021-05-21,100,102.36874748420696
2021-05-21,2021-05-25,100,98.54310694180855
2021-05-25,2021-05-27,100,98.79274261191053
2021-05-27,2021-06-18,100,96.90272963694137
2021-06-18,2021-06-23,100,98.63132554717205
2021-06-23,2021-06-29,100,98.06712663504385
2021-06-29,2021-07-15,100,103.2071680153843
2021-07-15,2021-07-20,100,98.93642403292556
2021-07-20,2021-07-21,100,98.92642594147665
2021-07-21,2021-07-27,100,103.77818987007484
2021-07-27,2021-07-28,100,98.75504051990761
2021-07-28,2021-07-30,100,98.90089197224977
2021-07-30,2021-08-05,100,102.10110559641078
2021-08-05,2021-08-11,100,102.39128788834768
2021-08-11,2021-08-24,100,98.24941220290059
2021-08-24,2021-09-02,100,102.81204485111186
2021-09-02,2021-09-03,100,98.92403149956415
2021-09-03,2021-09-07,100,98.13833723435162
2021-09-07,2021-09-08,100,102.72475036270892
2021-09-08,2021-09-10,100,97.10093903095486
2021-09-10,2021-09-16,100,98.62121583312916
2021-09-16,2021-09-27,100,98.46623589731942
2021-09-27,2021-10-01,100,98.71798013755802
2021-10-01,2021-10-04,100,102.26277713361118
2021-10-04,2021-10-12,100,103.37282745443564
2021-10-12,2021-10-15,100,98.38746663866986
2021-10-15,2021-10-18,100,97.87916357187886
2021-10-18,2021-10-20,100,103.59496438172235
2021-10-20,2021-11-05,100,103.57572610516843
2021-11-05,2021-11-08,100,98.51643988352909
2021-11-08,2021-11-15,100,102.23245727716477
2021-11-15,2021-11-29,100,103.01864201595006
2021-11-29,2021-11-30,100,96.62759488875689
2021-11-30,2021-12-03,100,103.72293044591423
2021-12-03,2021-12-10,100,102.58253957438492
2021-12-10,2021-12-15,100,102.31224159603573
2021-12-16,2021-12-17,100,98.97251272898419
2021-12-17,2022-01-05,100,102.06445078494583
2022-01-05,2022-01-11,100,97.10174217377202
2022-01-11,2022-01-18,100,98.69948590123073
2022-01-18,2022-01-28,100,103.21994090461398
2022-01-28,2022-01-31,100,102.14976022705031
2022-01-31,2022-02-10,100,97.20064238520837
2022-02-10,2022-02-14,100,98.79847912493008
2022-02-14,2022-02-15,100,98.94199424855903
2022-02-15,2022-02-18,100,103.99469625738278
2022-02-18,2022-02-24,100,98.46345152564065
2022-02-24,2022-02-25,100,103.1568724474347
2022-02-25,2022-03-03,100,102.73451343272897
2022-03-03,2022-03-07,100,102.09539804548757
2022-03-07,2022-03-08,100,98.45794706168098
2022-03-08,2022-03-24,100,102.99710676766789
2022-03-24,2022-03-29,100,102.30837316736353
2022-03-29,2022-04-01,100,102.76934683064616
2022-04-01,2022-04-06,100,102.38274081345227
2022-04-06,2022-04-11,100,98.17074695801877
2022-04-11,2022-04-26,100,98.50926573667836
2022-04-26,2022-04-29,100,97.456938541514
2022-04-29,2022-05-13,100,102.86827285523626
2022-05-13,2022-05-23,100,103.24824764032046
2022-05-23,2022-05-24,100,102.77428435790017
2022-05-24,2022-05-31,100,98.8743739768878
2022-05-31,2022-06-03,100,98.63985443696775
2022-06-03,2022-06-09,100,96.52750946202518
2022-06-09,2022-06-13,100,96.44487675967302
2022-06-13,2022-06-14,100,97.3998212697878
2022-06-14,2022-06-16,100,98.74973797761098
2022-06-16,2022-06-23,100,104.15194489747152
2022-06-23,2022-06-27,100,102.46409383714818
2022-06-27,2022-07-01,100,103.93327978383103
2022-07-01,2022-07-05,100,95.32089252547563
2022-07-05,2022-07-18,100,98.8563479054622
2022-07-18,2022-07-20,100,98.91958421472029
2022-07-20,2022-07-25,100,103.80632038119302
2022-07-25,2022-07-28,100,104.66574365592234
2022-07-28,2022-08-04,100,98.93381054562052
2022-08-04,2022-08-15,100,102.9354634335236
2022-08-15,2022-08-30,100,98.79395782401357
2022-08-30,2022-09-07,100,102.98088795420743
2022-09-07,2022-09-13,100,97.61907609508148
2022-09-13,2022-09-15,100,98.80587384285847
2022-09-15,2022-09-21,100,98.56618083935666
2022-09-21,2022-09-26,100,96.81000619568944
2022-09-26,2022-09-27,100,97.42414398024819
2022-09-27,2022-09-29,100,96.57375513103095
2022-09-29,2022-09-30,100,97.83253227261845
2022-09-30,2022-10-03,100,102.21548770846667
2022-10-03,2022-10-05,100,98.44852033957608
2022-10-05,2022-10-06,100,97.33483132406168
2022-10-06,2022-10-07,100,97.11904450191037
2022-10-07,2022-10-12,100,97.41362998324232
2022-10-12,2022-10-13,100,103.3723428025879
2022-10-13,2022-10-18,100,103.46926870006816
2022-10-18,2022-10-20,100,98.1412087840348
2022-10-20,2022-10-25,100,102.91295718672558
2022-10-25,2022-10-28,100,103.02852952375581
2022-10-28,2022-11-10,100,102.8264653612843
2022-11-10,2022-11-11,100,97.98792399415612
2022-11-11,2022-11-16,100,103.40545148468448
2022-11-16,2022-11-18,100,102.39763520910883
2022-11-18,2022-11-23,100,103.35721158986422
2022-11-23,2022-12-16,100,98.44832936795282
2022-12-16,2023-01-06,100,102.79499842387307
2023-01-06,2023-01-13,100,98.63027701114177
2023-01-13,2023-01-17,100,98.96362317338584
2023-01-17,2023-01-18,100,97.74845533563725
2023-01-18,2023-01-31,100,102.11056353117634
2023-01-31,2023-02-03,100,97.50288532158221
2023-02-03,2023-02-08,100,98.75174862799956
2023-02-08,2023-02-09,100,98.27830445679416
2023-02-09,2023-02-10,100,102.40603171083269
2023-02-10,2023-02-14,100,98.63577306193156
2023-02-14,2023-02-17,100,102.36004390779362
2023-02-17,2023-02-23,100,98.20911528150134
2023-02-23,2023-02-28,100,97.56497051758025
2023-02-28,2023-03-01,100,98.6569669837717
2023-03-01,2023-03-03,100,102.88145207033466
2023-03-03,2023-03-13,100,102.3155805491234
2023-03-13,2023-03-15,100,103.07145166505012
2023-03-15,2023-03-21,100,97.43831033040568
2023-03-21,2023-03-22,100,98.83034660371284
2023-03-22,2023-03-24,100,103.22475570032572
2023-03-24,2023-04-05,100,103.61838645208795
2023-04-05,2023-04-14,100,98.14232057659122
2023-04-14,2023-04-20,100,102.04799338022342
2023-04-20,2023-05-16,100,97.81066288262721
2023-05-16,2023-05-18,100,98.81865284974093
2023-05-18,2023-05-23,100,98.4479865771812
2023-05-23,2023-05-26,100,98.73242437153814
2023-05-30,2023-06-23,100,98.03370786516852
2023-06-23,2023-06-29,100,98.71060171919771
2023-06-29,2023-07-05,100,103.66194038182428
2023-07-05,2023-07-10,100,98.42757135164244
2023-07-10,2023-07-13,100,102.60422365685523
2023-07-13,2023-07-17,100,98.56030713447798
2023-07-17,2023-07-20,100,103.75459857173772
2023-07-20,2023-07-31,100,98.92585253936802
2023-07-31,2023-08-01,100,98.39763862534261
2023-08-01,2023-08-03,100,96.77523034068994
2023-08-03,2023-08-04,100,98.87080704085022
2023-08-04,2023-08-08,100,102.10502743253835
2023-08-08,2023-08-14,100,98.21252330299376
2023-08-14,2023-08-15,100,97.90084859312194
2023-08-15,2023-08-23,100,102.69160583941606
2023-08-23,2023-08-31,100,98.8005330964016
2023-08-31,2023-09-05,100,97.24595323741009
2023-09-05,2023-09-07,100,102.31187145994683
2023-09-07,2023-09-13,100,103.33295672805332
2023-09-13,2023-09-25,100,98.65514979225892
2023-09-25,2023-09-26,100,97.34013077690346
2023-09-26,2023-09-27,100,98.6337242400091
2023-09-27,2023-09-28,100,98.68405864019392
2023-09-28,2023-10-02,100,95.47315475494212
2023-10-02,2023-10-04,100,103.16098995344278
2023-10-04,2023-10-06,100,102.55344418052255
2023-10-06,2023-10-10,100,102.04979733642155
2023-10-10,2023-10-20,100,98.79709487063096
2023-10-20,2023-10-26,100,102.57293820353779
2023-10-26,2023-10-27,100,97.95072788353863
2023-10-27,2023-11-02,100,103.07534011661141
2023-11-02,2023-11-08,100,98.35847382431234
2023-11-08,2023-11-14,100,102.05232295895352
2023-11-14,2023-12-07,100,102.14364640883977
2023-12-07,2023-12-15,100,97.19818260493292
2023-12-15,2024-01-02,100,102.84919309961047
2024-01-02,2024-01-10,100,102.06687587923385
2024-01-10,2024-01-11,100,96.745122985581
2024-01-11,2024-01-18,100,97.97260273972603
2024-01-18,2024-01-24,100,98.79194630872482
2024-01-24,2024-01-29,100,102.57019927536233
2024-01-29,2024-02-01,100,102.41748537366155
2024-02-01,2024-02-02,100,98.18926492778616
2024-02-02,2024-02-05,100,98.43029637760704
2024-02-05,2024-02-08,100,98.88479982156797
2024-02-08,2024-02-13,100,97.74444569753017
2024-02-13,2024-02-21,100,102.23837544709819
2024-02-21,2024-02-26,100,97.29150208780047
2024-02-26,2024-03-04,100,103.38707806518966
2024-03-04,2024-03-26,100,98.1151127566476
2024-03-26,2024-03-27,100,102.97312750142937
2024-03-27,2024-04-10,100,98.7118267629095
2024-04-10,2024-04-16,100,98.34627067161661
2024-04-16,2024-04-17,100,103.32875772134523
2024-04-17,2024-04-22,100,102.65692460976422
2024-04-22,2024-05-01,100,102.23228728566806
2024-05-01,2024-05-07,100,102.84810126582278
2024-05-07,2024-05-20,100,98.9846153846154
2024-05-20,2024-05-23,100,97.26453217283184
2024-05-23,2024-05-29,100,97.91200596569723
2024-05-29,2024-05-31,100,102.87237514960287
2024-05-31,2024-06-05,100,97.93759915388684
2024-06-05,2024-06-07,100,98.93088552915768
2024-06-07,2024-06-13,100,98.90841611177818
2024-06-13,2024-06-25,100,98.6535702461097
2024-06-25,2024-07-08,100,98.91486743483611
2024-07-08,2024-07-11,100,103.4381361682877
2024-07-11,2024-07-15,100,98.68795101683797
2024-07-15,2024-07-17,100,103.87768668291602
2024-07-17,2024-07-24,100,102.26109215017063
2024-07-24,2024-07-30,100,102.37797246558198
2024-07-30,2024-08-01,100,102.08842705786472
2024-08-01,2024-09-03,100,103.06356651032831
2024-09-03,2024-09-19,100,98.87683965917894
2024-09-19,2024-10-01,100,102.96709753231492
2024-10-01,2024-10-03,100,98.92534474560152
2024-10-03,2024-10-07,100,97.23130167275525
2024-10-07,2024-10-15,100,104.26141981411905
2024-10-15,2024-10-29,100,97.59127548601232
2024-10-29,2024-10-31,100,98.80478087649404
2024-10-31,2024-11-01,100,98.3477576711251
2024-11-01,2024-11-06,100,98.96
2024-11-06,2024-11-07,100,98.60549717057397
2024-11-07,2024-11-13,100,97.77618364418939
2024-11-13,2024-11-20,100,102.58882716696363
2024-11-20,2024-11-26,100,103.90273804658767
2024-11-26,2024-11-29,100,98.90855457227138
2024-11-29,2024-12-02,100,97.92225867382443
2024-12-02,2024-12-04,100,98.09137055837563
2024-12-04,2024-12-06,100,98.1370316704616
