date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-05,108.14339839947351,100,8.143398399473512,1,108.14339839947351
2021-01-05,108.14339839947351,200,8.143398399473512,2,8.143398399473512
2021-01-06,210.26155359279954,200,10.261553592799544,2,110.26155359279954
2021-01-06,210.26155359279954,300,10.261553592799544,3,10.261553592799544
2021-01-07,316.72341931478286,300,16.723419314782873,3,116.72341931478287
2021-01-07,316.72341931478286,400,16.723419314782873,4,16.723419314782873
2021-01-12,423.2414739471012,400,23.241473947101227,4,123.24147394710123
2021-01-12,423.2414739471012,500,23.241473947101227,5,23.241473947101227
2021-01-13,520.0848891678286,500,20.084889167828607,5,120.08488916782859
2021-01-13,520.0848891678286,600,20.084889167828607,6,20.084889167828592
2021-01-14,623.656008192568,600,23.656008192568095,6,123.6560081925681
2021-01-14,623.656008192568,700,23.656008192568095,7,23.656008192568095
2021-01-15,718.7560931506257,700,18.756093150625745,7,118.75609315062574
2021-01-15,718.7560931506257,800,18.756093150625745,8,18.756093150625745
2021-01-19,820.9351504037243,800,20.935150403724265,8,120.93515040372426
2021-01-19,820.9351504037243,900,20.935150403724265,9,20.935150403724265
2021-01-21,911.9210342544001,900,11.921034254400126,9,111.92103425440011
2021-01-21,911.9210342544001,1000,11.921034254400126,10,11.921034254400112
2021-01-26,1009.1257207512971,1000,9.125720751297166,10,109.12572075129717
2021-01-26,1009.1257207512971,1100,9.125720751297166,11,9.125720751297166
2021-01-27,1111.966914891096,1100,11.96691489109611,11,111.96691489109612
2021-01-27,1111.966914891096,1200,11.96691489109611,12,11.966914891096124
2021-01-28,1209.620821924229,1200,9.620821924229176,12,109.62082192422918
2021-01-28,1209.620821924229,1300,9.620821924229176,13,9.620821924229176
2021-01-29,1304.4843531858876,1300,4.484353185887869,13,104.48435318588787
2021-01-29,1304.4843531858876,1400,4.484353185887869,14,4.484353185887869
2021-02-03,1414.1352457295816,1400,14.13524572958184,14,114.13524572958185
2021-02-03,1414.1352457295816,1500,14.13524572958184,15,14.135245729581854
2021-02-04,1516.9804504623357,1500,16.98045046233605,15,116.98045046233605
2021-02-04,1516.9804504623357,1600,16.98045046233605,16,16.98045046233605
2021-02-05,1615.4832226685548,1600,15.483222668555086,16,115.48322266855509
2021-02-05,1615.4832226685548,1700,15.483222668555086,17,15.483222668555086
2021-02-08,1720.4352268130606,1700,20.43522681306071,17,120.43522681306071
2021-02-08,1720.4352268130606,1800,20.43522681306071,18,20.43522681306071
2021-02-09,1818.4289222100142,1800,18.42892221001435,18,118.42892221001436
2021-02-09,1818.4289222100142,1900,18.42892221001435,19,18.428922210014363
2021-02-10,1921.8476425140389,1900,21.847642514038938,19,121.84764251403894
2021-02-10,1921.8476425140389,2000,21.847642514038938,20,21.847642514038938
2021-02-16,2026.6482337726636,2000,26.648233772663815,20,126.6482337726638
2021-02-16,2026.6482337726636,2100,26.648233772663815,21,26.6482337726638
2021-02-18,2122.6385365680567,2100,22.638536568057077,21,122.63853656805708
2021-02-18,2122.6385365680567,2200,22.638536568057077,22,22.638536568057077
2021-02-19,2225.8440086961336,2200,25.844008696133884,22,125.84400869613388
2021-02-19,2225.8440086961336,2300,25.844008696133884,23,25.844008696133884
2021-02-22,2331.5883265074494,2300,31.58832650744972,23,131.58832650744972
2021-02-22,2331.5883265074494,2400,31.58832650744972,24,31.58832650744972
2021-02-23,2434.231062153376,2400,34.2310621533766,24,134.2310621533766
2021-02-23,2434.231062153376,2500,34.2310621533766,25,34.2310621533766
2021-02-24,2540.8947582768174,2500,40.8947582768177,25,140.8947582768177
2021-02-24,2540.8947582768174,2600,40.8947582768177,26,40.8947582768177
2021-02-25,2638.4363253967445,2600,38.436325396744735,26,138.43632539674473
2021-02-25,2638.4363253967445,2700,38.436325396744735,27,38.436325396744735
2021-02-26,2729.8920368273048,2700,29.892036827305134,27,129.89203682730513
2021-02-26,2729.8920368273048,2800,29.892036827305134,28,29.892036827305134
2021-03-03,2833.6562037541294,2800,33.65620375412993,28,133.65620375412993
2021-03-03,2833.6562037541294,2900,33.65620375412993,29,33.65620375412993
2021-03-04,2940.2862145041277,2900,40.28621450412825,29,140.28621450412825
2021-03-04,2940.2862145041277,3000,40.28621450412825,30,40.28621450412825
2021-03-05,3044.6926293107467,3000,44.692629310747236,30,144.69262931074724
2021-03-05,3044.6926293107467,3100,44.692629310747236,31,44.692629310747236
2021-03-09,3143.395887940886,3100,43.39588794088672,31,143.39588794088672
2021-03-09,3143.395887940886,3200,43.39588794088672,32,43.39588794088672
2021-03-10,3245.4318510855846,3200,45.43185108558532,32,145.43185108558532
2021-03-10,3245.4318510855846,3300,45.43185108558532,33,45.43185108558532
2021-03-16,3339.4937735212366,3300,39.4937735212373,33,139.4937735212373
2021-03-16,3339.4937735212366,3400,39.4937735212373,34,39.4937735212373
2021-03-17,3443.087296141421,3400,43.08729614142206,34,143.08729614142206
2021-03-17,3443.087296141421,3500,43.08729614142206,35,43.08729614142206
2021-03-18,3537.227102879893,3500,37.22710287989395,35,137.22710287989395
2021-03-18,3537.227102879893,3600,37.22710287989395,36,37.22710287989395
2021-03-24,3642.5120745889676,3600,42.51207458896823,36,142.51207458896823
2021-03-24,3642.5120745889676,3700,42.51207458896823,37,42.51207458896823
2021-03-26,3745.7373523502692,3700,45.73735235026987,37,145.73735235026987
2021-03-26,3745.7373523502692,3800,45.73735235026987,38,45.73735235026987
2021-03-29,3844.079458528661,3800,44.07945852866132,38,144.07945852866132
2021-03-29,3844.079458528661,3900,44.07945852866132,39,44.07945852866132
2021-03-31,3942.575054024673,3900,42.57505402467348,39,142.57505402467348
2021-03-31,3942.575054024673,4000,42.57505402467348,40,42.57505402467348
2021-04-01,4046.4489294455852,4000,46.44892944558569,40,146.4489294455857
2021-04-01,4046.4489294455852,4100,46.44892944558569,41,46.44892944558569
2021-04-05,4141.73573954736,4100,41.73573954736091,41,141.7357395473609
2021-04-05,4141.73573954736,4200,41.73573954736091,42,41.73573954736091
2021-04-07,4243.8395931687355,4200,43.839593168736656,42,143.83959316873666
2021-04-07,4243.8395931687355,4300,43.839593168736656,43,43.839593168736656
2021-04-08,4342.325148480569,4300,42.32514848056954,43,142.32514848056954
2021-04-08,4342.325148480569,4400,42.32514848056954,44,42.32514848056954
2021-04-12,4439.426606848539,4400,39.42660684854002,44,139.42660684854002
2021-04-12,4439.426606848539,4500,39.42660684854002,45,39.42660684854002
2021-04-14,4545.16607270282,4500,45.166072702821026,45,145.16607270282103
2021-04-14,4545.16607270282,4600,45.166072702821026,46,45.166072702821026
2021-04-15,4643.973155961045,4600,43.97315596104647,46,143.97315596104647
2021-04-15,4643.973155961045,4700,43.97315596104647,47,43.97315596104647
2021-04-16,4740.787342616993,4700,40.78734261699378,47,140.78734261699378
2021-04-16,4740.787342616993,4800,40.78734261699378,48,40.78734261699378
2021-04-20,4838.038216540458,4800,38.03821654045902,48,138.03821654045902
2021-04-20,4838.038216540458,4900,38.03821654045902,49,38.03821654045902
2021-04-27,4942.571668979274,4900,42.57166897927513,49,142.57166897927513
2021-04-27,4942.571668979274,5000,42.57166897927513,50,42.57166897927513
2021-04-28,5047.172732140609,5000,47.17273214060924,50,147.17273214060924
2021-04-28,5047.172732140609,5100,47.17273214060924,51,47.17273214060924
2021-04-30,5145.386379603673,5100,45.38637960367328,51,145.38637960367328
2021-04-30,5145.386379603673,5200,45.38637960367328,52,45.38637960367328
2021-05-03,5248.550356869277,5200,48.55035686927641,52,148.5503568692764
2021-05-03,5248.550356869277,5300,48.55035686927641,53,48.55035686927641
2021-05-04,5347.287237667404,5300,47.28723766740413,53,147.28723766740413
2021-05-04,5347.287237667404,5400,47.28723766740413,54,47.28723766740413
2021-05-05,5449.554721158533,5400,49.554721158533084,54,149.55472115853308
2021-05-05,5449.554721158533,5500,49.554721158533084,55,49.554721158533084
2021-05-07,5557.883088218489,5500,57.88308821848943,55,157.88308821848943
2021-05-07,5557.883088218489,5600,57.88308821848943,56,57.88308821848943
2021-05-11,5656.728210169709,5600,56.728210169708944,56,156.72821016970894
2021-05-11,5656.728210169709,5700,56.728210169708944,57,56.728210169708944
2021-05-13,5753.611867913545,5700,53.611867913544586,57,153.6118679135446
2021-05-13,5753.611867913545,5800,53.611867913544586,58,53.611867913544586
2021-05-14,5857.406452657102,5800,57.40645265710094,58,157.40645265710094
2021-05-14,5857.406452657102,5900,57.40645265710094,59,57.40645265710094
2021-05-17,5960.4357807847855,5900,60.435780784784754,59,160.43578078478475
2021-05-17,5960.4357807847855,6000,60.435780784784754,60,60.435780784784754
2021-05-18,6057.930435342172,6000,57.930435342171506,60,157.9304353421715
2021-05-18,6057.930435342172,6100,57.930435342171506,61,57.930435342171506
2021-05-19,6155.001205608536,6100,55.00120560853543,61,155.00120560853543
2021-05-19,6155.001205608536,6200,55.00120560853543,62,55.00120560853543
2021-05-25,6252.691432307732,6200,52.69143230773082,62,152.69143230773082
2021-05-25,6252.691432307732,6300,52.69143230773082,63,52.69143230773082
