purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-05,100,108.14339839947351
2021-01-05,2021-01-06,100,102.11815519332603
2021-01-06,2021-01-07,100,106.46186572198333
2021-01-07,2021-01-12,100,106.51805463231835
2021-01-12,2021-01-13,100,96.84341522072737
2021-01-13,2021-01-14,100,103.5711190247395
2021-01-14,2021-01-15,100,95.10008495805765
2021-01-15,2021-01-19,100,102.17905725309852
2021-01-19,2021-01-21,100,90.98588385067585
2021-01-21,2021-01-26,100,97.20468649689705
2021-01-26,2021-01-27,100,102.84119413979896
2021-01-27,2021-01-28,100,97.65390703313305
2021-01-28,2021-01-29,100,94.8635312616587
2021-01-29,2021-02-03,100,109.65089254369398
2021-02-03,2021-02-04,100,102.8452047327542
2021-02-04,2021-02-05,100,98.50277220621903
2021-02-05,2021-02-08,100,104.95200414450562
2021-02-08,2021-02-09,100,97.99369539695365
2021-02-09,2021-02-10,100,103.41872030402457
2021-02-10,2021-02-16,100,104.80059125862486
2021-02-16,2021-02-18,100,95.99030279539328
2021-02-18,2021-02-19,100,103.2054721280768
2021-02-19,2021-02-22,100,105.74431781131584
2021-02-22,2021-02-23,100,102.64273564592688
2021-02-23,2021-02-24,100,106.66369612344108
2021-02-24,2021-02-25,100,97.54156711992704
2021-02-25,2021-02-26,100,91.4557114305604
2021-02-26,2021-03-03,100,103.76416692682481
2021-03-03,2021-03-04,100,106.63001074999832
2021-03-04,2021-03-05,100,104.40641480661898
2021-03-05,2021-03-09,100,98.70325863013947
2021-03-09,2021-03-10,100,102.03596314469858
2021-03-10,2021-03-16,100,94.061922435652
2021-03-16,2021-03-17,100,103.59352262018476
2021-03-17,2021-03-18,100,94.1398067384719
2021-03-18,2021-03-24,100,105.2849717090743
2021-03-24,2021-03-26,100,103.22527776130165
2021-03-26,2021-03-29,100,98.34210617839145
2021-03-29,2021-03-31,100,98.49559549601217
2021-03-31,2021-04-01,100,103.87387542091221
2021-04-01,2021-04-05,100,95.28681010177522
2021-04-05,2021-04-07,100,102.10385362137573
2021-04-07,2021-04-08,100,98.48555531183288
2021-04-08,2021-04-12,100,97.1014583679705
2021-04-12,2021-04-14,100,105.73946585428101
2021-04-14,2021-04-15,100,98.80708325822546
2021-04-15,2021-04-16,100,96.81418665594732
2021-04-16,2021-04-20,100,97.25087392346524
2021-04-20,2021-04-27,100,104.53345243881611
2021-04-27,2021-04-28,100,104.60106316133411
2021-04-28,2021-04-30,100,98.21364746306404
2021-04-30,2021-05-03,100,103.16397726560314
2021-05-03,2021-05-04,100,98.73688079812771
2021-05-04,2021-05-05,100,102.26748349112896
2021-05-05,2021-05-07,100,108.32836705995636
2021-05-07,2021-05-11,100,98.84512195121951
2021-05-11,2021-05-13,100,96.88365774383566
2021-05-13,2021-05-14,100,103.79458474355636
2021-05-14,2021-05-17,100,103.02932812768381
2021-05-17,2021-05-18,100,97.49465455738677
2021-05-18,2021-05-19,100,97.07077026636394
2021-05-19,2021-05-25,100,97.69022669919539
2021-05-25,2021-05-27,100,102.09762087402541
2021-05-27,2021-06-01,100,105.30430991826476
2021-06-01,2021-06-03,100,102.6240545656393
2021-06-03,2021-06-09,100,98.8492194745478
2021-06-09,2021-06-14,100,98.89159054853607
2021-06-14,2021-06-17,100,95.95985329787854
2021-06-17,2021-06-18,100,97.3948682776816
2021-06-18,2021-06-21,100,107.16236860188431
