purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-05,100,104.69879064160041
2021-01-05,2021-01-06,100,106.55194996797432
2021-01-06,2021-01-08,100,97.05852554793826
2021-01-08,2021-01-11,100,104.82115518441198
2021-01-11,2021-01-12,100,108.27800940064265
2021-01-12,2021-01-13,100,104.30847900329252
2021-01-13,2021-01-14,100,104.13051656438832
2021-01-14,2021-01-15,100,103.35194269295687
2021-01-15,2021-01-19,100,92.0546837876661
2021-01-19,2021-01-20,100,95.00836586726157
2021-01-20,2021-01-21,100,98.82594658056942
2021-01-21,2021-01-22,100,102.50112165005783
2021-01-22,2021-01-26,100,97.4378417700839
2021-01-26,2021-01-27,100,103.69437713143226
2021-01-27,2021-01-29,100,98.4898407468424
2021-01-29,2021-02-01,100,104.2920422513397
2021-02-01,2021-02-02,100,97.41301984638507
2021-02-02,2021-02-03,100,104.16493889796814
2021-02-03,2021-02-04,100,98.43517662073083
2021-02-04,2021-02-05,100,98.58752862113059
2021-02-05,2021-02-09,100,98.2083609820836
2021-02-09,2021-02-11,100,102.31081081081079
2021-02-11,2021-02-12,100,104.9320973571403
2021-02-12,2021-02-17,100,108.54975196965277
2021-02-17,2021-02-18,100,95.4617330803289
2021-02-18,2021-02-22,100,96.66721881729336
2021-02-22,2021-02-24,100,105.20065800747112
2021-02-24,2021-02-25,100,97.52740540452494
2021-02-25,2021-02-26,100,98.01697981906752
2021-02-26,2021-03-01,100,103.6532377614831
2021-03-01,2021-03-05,100,97.50568508726266
2021-03-05,2021-03-08,100,96.60734055287368
2021-03-08,2021-03-09,100,102.01505473921794
2021-03-09,2021-03-10,100,105.92518674801848
2021-03-10,2021-03-11,100,103.57017888577258
2021-03-11,2021-03-12,100,96.45049456061291
2021-03-12,2021-03-18,100,93.86680606152055
2021-03-18,2021-03-19,100,104.9425029997187
2021-03-19,2021-03-23,100,97.13061840780777
2021-03-23,2021-03-24,100,97.77073113034858
2021-03-24,2021-03-25,100,105.98597837420573
2021-03-25,2021-03-26,100,106.02456788781389
2021-03-26,2021-03-29,100,97.76791206988477
2021-03-29,2021-03-30,100,94.60280006292274
2021-03-30,2021-04-01,100,104.00516581031721
2021-04-01,2021-04-05,100,95.4637263313846
2021-04-05,2021-04-08,100,97.90041924624995
2021-04-08,2021-04-09,100,97.00861036665337
2021-04-09,2021-04-12,100,97.73165455785193
2021-04-12,2021-04-14,100,104.88076263795747
2021-04-14,2021-04-20,100,98.63860534464963
2021-04-20,2021-04-22,100,102.01330186156297
