date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-05,102.12740567163532,100,2.127405671635316,1,102.12740567163532
2021-01-05,102.12740567163532,200,2.127405671635316,2,2.127405671635316
2021-01-06,210.5550144912177,200,10.55501449121769,2,110.55501449121769
2021-01-06,210.5550144912177,300,10.55501449121769,3,10.55501449121769
2021-01-07,306.64766743781126,300,6.647667437811293,3,106.6476674378113
2021-01-07,306.64766743781126,400,6.647667437811293,4,6.647667437811293
2021-01-08,404.6313753354368,400,4.6313753354368,4,104.63137533543681
2021-01-08,404.6313753354368,500,4.6313753354368,5,4.631375335436815
2021-01-12,503.1413642366577,500,3.1413642366576795,5,103.14136423665768
2021-01-12,503.1413642366577,600,3.1413642366576795,6,3.1413642366576795
2021-01-14,607.1202533446204,600,7.12025334462038,6,107.1202533446204
2021-01-14,607.1202533446204,700,7.12025334462038,7,7.120253344620394
2021-01-19,703.2600992770678,700,3.2600992770676953,7,103.2600992770677
2021-01-19,703.2600992770678,800,3.2600992770676953,8,3.2600992770676953
2021-01-20,805.9055162005511,800,5.90551620055102,8,105.90551620055102
2021-01-20,805.9055162005511,900,5.90551620055102,9,5.90551620055102
2021-01-22,903.3282779732903,900,3.3282779732901417,9,103.32827797329014
2021-01-22,903.3282779732903,1000,3.3282779732901417,10,3.3282779732901417
2021-01-25,1008.5102802626272,1000,8.51028026262712,10,108.51028026262712
2021-01-25,1008.5102802626272,1100,8.51028026262712,11,8.51028026262712
2021-01-26,1117.373854221735,1100,17.373854221734803,11,117.3738542217348
2021-01-26,1117.373854221735,1200,17.373854221734803,12,17.373854221734803
2021-01-27,1214.5877031580885,1200,14.58770315808826,12,114.58770315808826
2021-01-27,1214.5877031580885,1300,14.58770315808826,13,14.58770315808826
2021-01-28,1308.8901869422998,1300,8.890186942299621,13,108.89018694229962
2021-01-28,1308.8901869422998,1400,8.890186942299621,14,8.890186942299621
2021-01-29,1406.5066382597272,1400,6.506638259726998,14,106.50663825972698
2021-01-29,1406.5066382597272,1500,6.506638259726998,15,6.506638259726984
2021-02-01,1509.0508141866396,1500,9.050814186639485,15,109.0508141866395
2021-02-01,1509.0508141866396,1600,9.050814186639485,16,9.0508141866395
2021-02-02,1605.4626382403233,1600,5.462638240323031,16,105.46263824032303
2021-02-02,1605.4626382403233,1700,5.462638240323031,17,5.462638240323031
2021-02-03,1704.103628936898,1700,4.103628936897863,17,104.10362893689786
2021-02-03,1704.103628936898,1800,4.103628936897863,18,4.103628936897863
2021-02-05,1808.086330618444,1800,8.086330618443867,18,108.08633061844385
2021-02-05,1808.086330618444,1900,8.086330618443867,19,8.086330618443853
2021-02-08,1912.1822269262395,1900,12.182226926239409,19,112.1822269262394
2021-02-08,1912.1822269262395,2000,12.182226926239409,20,12.182226926239395
2021-02-09,2006.2833825344724,2000,6.283382534472253,20,106.28338253447225
2021-02-09,2006.2833825344724,2100,6.283382534472253,21,6.283382534472253
2021-02-10,2109.047098169691,2100,9.047098169690855,21,109.04709816969086
2021-02-10,2109.047098169691,2200,9.047098169690855,22,9.047098169690855
2021-02-12,2212.1237156077846,2200,12.123715607784732,22,112.12371560778475
2021-02-12,2212.1237156077846,2300,12.123715607784732,23,12.123715607784746
2021-02-16,2309.582873647632,2300,9.582873647631999,23,109.582873647632
2021-02-16,2309.582873647632,2400,9.582873647631999,24,9.582873647631999
2021-02-19,2415.196248946367,2400,15.196248946367334,24,115.19624894636733
2021-02-19,2415.196248946367,2500,15.196248946367334,25,15.196248946367334
2021-02-22,2518.3448931346575,2500,18.344893134657596,25,118.3448931346576
2021-02-22,2518.3448931346575,2600,18.344893134657596,26,18.344893134657596
2021-02-23,2616.7849363334612,2600,16.784936333461317,26,116.78493633346132
2021-02-23,2616.7849363334612,2700,16.784936333461317,27,16.784936333461317
2021-02-25,2713.380224810327,2700,13.380224810327206,27,113.3802248103272
2021-02-25,2713.380224810327,2800,13.380224810327206,28,13.380224810327206
2021-03-01,2818.545475290838,2800,18.545475290838183,28,118.5454752908382
2021-03-01,2818.545475290838,2900,18.545475290838183,29,18.545475290838198
2021-03-02,2926.5126392770662,2900,26.512639277066256,29,126.51263927706627
2021-03-02,2926.5126392770662,3000,26.512639277066256,30,26.51263927706627
2021-03-03,3029.3966271597574,3000,29.396627159757486,30,129.3966271597575
2021-03-03,3029.3966271597574,3100,29.396627159757486,31,29.396627159757486
2021-03-04,3128.3742546239355,3100,28.374254623935656,31,128.37425462393566
