purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-05,100,102.20479895223113
2021-01-05,2021-01-06,100,108.714607571046
2021-01-06,2021-01-07,100,96.65822119865855
2021-01-07,2021-01-08,100,97.2498558485714
2021-01-08,2021-01-12,100,98.93446281864742
2021-01-12,2021-01-14,100,105.04305297237721
2021-01-14,2021-01-19,100,95.97025398220224
2021-01-19,2021-01-20,100,103.36121246908012
2021-01-20,2021-01-22,100,97.23068786566621
2021-01-22,2021-01-25,100,106.3983926677364
2021-01-25,2021-01-26,100,108.84964517706
2021-01-26,2021-01-27,100,98.42662987642
2021-01-27,2021-01-28,100,92.78786794309744
2021-01-28,2021-01-29,100,97.74111536446532
2021-01-29,2021-02-01,100,102.24565026520969
2021-02-01,2021-02-02,100,95.70286368548345
2021-02-02,2021-02-05,100,102.98218552460456
2021-02-05,2021-02-08,100,104.04286632663383
2021-02-08,2021-02-09,100,94.00338738512687
2021-02-09,2021-02-10,100,103.41495640800638
2021-02-10,2021-02-12,100,102.54947636039826
2021-02-12,2021-02-16,100,97.36383428557046
2021-02-16,2021-02-19,100,106.4542813658234
2021-02-19,2021-02-22,100,102.69970829551698
2021-02-22,2021-02-23,100,98.35696361911349
2021-02-23,2021-02-25,100,96.83182181514404
2021-02-25,2021-03-01,100,105.2989278011389
2021-03-01,2021-03-02,100,109.0843181751201
2021-03-02,2021-03-03,100,103.63408927577579
2021-03-03,2021-03-05,100,104.98455361914569
2021-03-05,2021-03-08,100,102.51697892998597
2021-03-08,2021-03-09,100,95.77270668368692
2021-03-09,2021-03-10,100,102.82961842641045
2021-03-10,2021-03-12,100,103.18143918618121
2021-03-12,2021-03-16,100,103.27261198726139
2021-03-16,2021-03-17,100,97.14731523563097
2021-03-17,2021-03-23,100,97.41471481317805
2021-03-23,2021-03-24,100,95.9565952278165
2021-03-24,2021-03-26,100,94.21919918255922
2021-03-26,2021-03-29,100,98.49223049530592
2021-03-29,2021-03-31,100,96.99006549052156
2021-03-31,2021-04-06,100,102.60433434434144
2021-04-06,2021-04-15,100,102.25418634607128
2021-04-15,2021-04-30,100,98.77339750318966
2021-04-30,2021-05-03,100,97.83326111778763
2021-05-03,2021-05-06,100,102.62419012495614
2021-05-06,2021-05-10,100,103.35453156256192
2021-05-10,2021-05-12,100,97.69266727243124
2021-05-12,2021-05-13,100,102.12150537634407
2021-05-13,2021-05-14,100,96.18233603234604
2021-05-14,2021-05-17,100,98.68222633959972
2021-05-17,2021-05-21,100,102.20537254488677
2021-05-21,2021-05-25,100,98.85245545768818
2021-05-25,2021-05-27,100,102.15538420574421
2021-05-27,2021-05-28,100,98.41810672606938
2021-05-28,2021-06-02,100,98.47404317128178
2021-06-02,2021-06-09,100,102.33701995990829
2021-06-09,2021-06-17,100,98.69819182773324
2021-06-17,2021-06-24,100,103.09829617043238
2021-06-24,2021-06-29,100,96.16224333304932
2021-06-29,2021-07-07,100,98.83185203643713
2021-07-07,2021-07-08,100,98.07536608666176
2021-07-08,2021-07-09,100,102.10122800151964
2021-07-09,2021-07-13,100,98.6280099709879
2021-07-13,2021-07-16,100,98.13861397372726
2021-07-16,2021-07-19,100,98.41056042269439
2021-07-19,2021-07-21,100,104.23647172161002
2021-07-21,2021-07-30,100,98.53421847527162
2021-07-30,2021-08-03,100,98.23131080315935
2021-08-03,2021-08-05,100,106.22487329298502
2021-08-05,2021-08-06,100,98.03859772206572
2021-08-06,2021-08-11,100,102.71122478929935
2021-08-11,2021-08-12,100,98.82727238089018
2021-08-12,2021-08-18,100,98.73156626506024
2021-08-18,2021-08-19,100,98.96184023719803
2021-08-19,2021-08-23,100,102.6525026987263
2021-08-23,2021-08-26,100,98.76252031806003
2021-08-26,2021-08-31,100,102.73477137956246
2021-08-31,2021-09-01,100,98.82610178114295
2021-09-01,2021-09-08,100,97.18948521358159
2021-09-08,2021-09-14,100,98.1622038902788
2021-09-14,2021-09-15,100,103.5701882535956
2021-09-15,2021-09-16,100,102.10723509915422
2021-09-16,2021-09-22,100,102.35767635755695
2021-09-22,2021-09-24,100,102.74802926211012
2021-09-24,2021-09-27,100,102.19015398431512
2021-09-27,2021-10-04,100,103.38944529462569
2021-10-04,2021-10-13,100,102.09737772827636
2021-10-13,2021-10-15,100,98.2519264215807
2021-10-15,2021-10-19,100,103.41323022381519
2021-10-19,2021-10-22,100,98.81473179598507
2021-10-22,2021-10-25,100,98.37733511246664
2021-10-25,2021-10-27,100,96.10264732240172
2021-10-27,2021-10-29,100,98.85654230692653
2021-10-29,2021-11-01,100,103.32039914134641
2021-11-01,2021-11-08,100,98.78252801863468
2021-11-08,2021-11-18,100,97.56002517910134
2021-11-18,2021-11-19,100,98.53340297620878
2021-11-19,2021-11-24,100,98.74388051013938
2021-11-24,2021-11-26,100,97.7139594002137
2021-11-26,2021-11-29,100,98.13931567536997
2021-11-29,2021-11-30,100,96.72288601175612
2021-11-30,2021-12-01,100,96.4427572745018
2021-12-01,2021-12-02,100,102.58438601342644
2021-12-02,2021-12-03,100,102.00997387521473
2021-12-03,2021-12-10,100,102.16546722141008
2021-12-10,2021-12-13,100,98.6151124172108
2021-12-13,2021-12-23,100,102.6702753983091
2021-12-23,2021-12-31,100,98.98032394825525
2021-12-31,2022-01-03,100,102.00599657338665
2022-01-03,2022-01-06,100,102.10032461764563
2022-01-06,2022-01-12,100,102.23744256123506
2022-01-12,2022-01-14,100,104.40299739043435
2022-01-14,2022-01-18,100,97.26856665818676
2022-01-18,2022-01-20,100,95.71479356050989
2022-01-20,2022-01-21,100,98.69105225179337
2022-01-21,2022-01-24,100,103.7146850891105
2022-01-24,2022-01-26,100,97.3138359221313
2022-01-26,2022-01-28,100,105.41488554192799
2022-01-28,2022-02-09,100,109.35027135190856
2022-02-09,2022-02-11,100,98.97482463193501
2022-02-11,2022-02-14,100,98.31756414476371
2022-02-14,2022-02-22,100,98.00812042929053
2022-02-22,2022-02-23,100,97.96788049548054
2022-02-23,2022-02-28,100,102.0987529149346
2022-02-28,2022-03-02,100,103.60670428948579
2022-03-02,2022-03-07,100,96.5422280198522
2022-03-07,2022-03-09,100,98.24515097949003
2022-03-09,2022-03-10,100,97.35755675670347
2022-03-10,2022-03-11,100,98.84380332251482
2022-03-11,2022-03-14,100,98.5252346741455
2022-03-14,2022-03-15,100,102.65807417651693
2022-03-15,2022-03-16,100,102.2372639287722
2022-03-16,2022-03-30,100,98.69692398764542
2022-03-30,2022-03-31,100,98.28095042110441
2022-03-31,2022-04-05,100,97.99757932312973
2022-04-05,2022-04-20,100,102.32787192795946
2022-04-20,2022-04-21,100,98.40750869580717
2022-04-21,2022-04-22,100,98.15066862631448
2022-04-22,2022-04-26,100,95.78637392998468
2022-04-26,2022-04-29,100,97.92339830569118
2022-04-29,2022-05-02,100,102.03688141004923
2022-05-02,2022-05-06,100,94.61320640377262
2022-05-06,2022-05-09,100,95.98258996156981
2022-05-09,2022-05-10,100,97.62103366587701
2022-05-10,2022-05-11,100,102.43694032401396
2022-05-11,2022-05-17,100,104.60687755739639
2022-05-17,2022-05-18,100,96.40182214116085
2022-05-18,2022-05-23,100,102.09017626180592
2022-05-23,2022-05-24,100,95.02782778299928
2022-05-24,2022-05-25,100,102.49307822765421
2022-05-25,2022-05-26,100,103.7238258302226
2022-05-26,2022-05-27,100,102.66358301933013
2022-05-27,2022-06-01,100,98.30803625961245
2022-06-01,2022-06-02,100,98.73779478184483
2022-06-02,2022-06-08,100,98.95403183559512
2022-06-08,2022-06-09,100,98.29704926372077
2022-06-09,2022-06-10,100,96.74450371734349
2022-06-10,2022-06-13,100,97.31387288090788
2022-06-13,2022-06-15,100,104.15622682995422
2022-06-15,2022-06-16,100,98.32468572515641
2022-06-16,2022-06-27,100,102.3541967676604
2022-06-27,2022-06-29,100,98.78930343025613
2022-06-29,2022-06-30,100,98.52942084179469
2022-06-30,2022-07-01,100,102.8296951985391
2022-07-01,2022-07-14,100,98.30668522743544
2022-07-14,2022-07-15,100,103.59896136732645
2022-07-15,2022-07-18,100,98.66366379838911
2022-07-18,2022-07-19,100,103.06961037228801
2022-07-19,2022-07-21,100,102.04379347362537
2022-07-21,2022-07-26,100,97.56797731111328
2022-07-26,2022-07-28,100,102.287336492219
2022-07-28,2022-07-29,100,94.92547486130324
2022-07-29,2022-08-10,100,105.34579905563939
2022-08-10,2022-08-11,100,104.44378341068389
2022-08-11,2022-08-18,100,98.87459006874124
2022-08-18,2022-08-22,100,96.33532451842407
2022-08-22,2022-08-26,100,98.67449313732321
2022-08-26,2022-09-06,100,96.99740516495736
2022-09-06,2022-09-09,100,104.70124355474675
2022-09-09,2022-09-13,100,97.01622247972189
2022-09-13,2022-09-15,100,103.19498357718722
2022-09-15,2022-09-16,100,97.4247685185185
2022-09-16,2022-09-19,100,102.04930204930204
2022-09-19,2022-09-21,100,95.22700814901047
2022-09-21,2022-09-22,100,98.1356968215159
2022-09-22,2022-09-23,100,98.75428215509187
2022-09-23,2022-09-26,100,98.13938820561337
2022-09-26,2022-09-29,100,98.03984575835476
2022-09-29,2022-10-03,100,102.4582104228122
2022-10-03,2022-10-04,100,103.1030070377479
2022-10-04,2022-10-05,100,97.85913744958114
2022-10-05,2022-10-06,100,98.82688649334179
2022-10-06,2022-10-11,100,98.39589348732756
2022-10-11,2022-10-13,100,103.35833061623735
2022-10-13,2022-10-17,100,90.15772870662461
2022-10-17,2022-10-18,100,102.16934919524144
2022-10-18,2022-10-25,100,102.1917808219178
2022-10-25,2022-10-26,100,97.08445040214477
2022-10-26,2022-10-27,100,97.23852260959615
2022-10-27,2022-10-28,100,102.37841675541355
2022-10-28,2022-11-01,100,105.85991678224688
2022-11-01,2022-11-02,100,98.42777595807402
2022-11-02,2022-11-07,100,96.97171381031615
2022-11-07,2022-11-09,100,97.59780370624571
2022-11-09,2022-11-10,100,103.51617440225036
2022-11-10,2022-11-11,100,103.66847826086956
2022-11-11,2022-11-25,100,102.5229357798165
2022-11-25,2022-11-30,100,103.70725471396614
2022-11-30,2022-12-01,100,98.92141756548536
2022-12-01,2022-12-06,100,96.57320872274143
