purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-07,100,103.41445632551034
2021-01-07,2021-01-11,100,98.8513078752273
2021-01-11,2021-01-12,100,98.85833635211013
2021-01-12,2021-01-19,100,102.53700151727692
2021-01-19,2021-01-20,100,105.36278659415028
2021-01-20,2021-01-27,100,97.02633949864858
2021-01-27,2021-02-01,100,103.85407392437142
2021-02-01,2021-02-03,100,108.87422094827362
2021-02-03,2021-02-16,100,102.50328489720204
2021-02-16,2021-02-22,100,97.31278571091946
2021-02-22,2021-02-25,100,98.37666111347875
2021-02-25,2021-03-01,100,102.46928166351606
2021-03-01,2021-03-03,100,97.36730850532304
2021-03-03,2021-03-05,100,104.03706481408386
2021-03-05,2021-03-08,100,95.99817883464387
2021-03-08,2021-03-11,100,104.47593075646193
2021-03-11,2021-03-12,100,97.50137131400254
2021-03-12,2021-03-18,100,98.7535888880267
2021-03-18,2021-04-01,100,104.98669102552769
2021-04-01,2021-04-05,100,104.10710276176933
2021-04-05,2021-04-09,100,102.71032908571325
2021-04-09,2021-04-12,100,98.63947363816123
2021-04-12,2021-04-19,100,102.11195770762558
2021-04-19,2021-04-22,100,98.50243224461431
2021-04-22,2021-04-23,100,102.08913894670006
2021-04-23,2021-04-28,100,102.79099900660822
2021-04-28,2021-04-29,100,102.09923022622608
2021-04-29,2021-05-03,100,98.57112285380347
2021-05-03,2021-05-04,100,98.29155463518096
2021-05-04,2021-05-11,100,98.06816637216257
2021-05-11,2021-05-12,100,96.98192969386163
2021-05-12,2021-05-14,100,103.44248530646516
2021-05-14,2021-05-24,100,103.90819287095883
2021-05-24,2021-06-07,100,102.46813037046887
2021-06-07,2021-06-10,100,102.25134626613897
2021-06-11,2021-07-02,100,102.40500891038695
2021-07-02,2021-07-14,100,102.61266790450516
2021-07-14,2021-07-19,100,97.85890583122605
2021-07-19,2021-07-21,100,102.5887013167871
2021-07-21,2021-07-23,100,103.93363499245854
2021-07-23,2021-07-28,100,98.9594822081616
2021-07-28,2021-08-23,100,103.4586675661011
2021-08-23,2021-08-27,100,102.44580046633925
2021-08-27,2021-09-10,100,98.18125216188169
2021-09-10,2021-09-15,100,102.314668019532
2021-09-15,2021-09-17,100,97.422971502555
