purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-07,100,102.79295957429986
2021-01-07,2021-01-11,100,98.9826531789684
2021-01-11,2021-01-12,100,98.92613829226731
2021-01-12,2021-01-19,100,102.70744254988291
2021-01-19,2021-01-20,100,105.35740799899213
2021-01-20,2021-01-27,100,96.74837717799795
2021-01-27,2021-02-01,100,104.07555198502733
2021-02-01,2021-02-03,100,108.7586256621667
2021-02-03,2021-02-16,100,102.51628124634405
2021-02-16,2021-02-19,100,98.96341521402147
2021-02-19,2021-02-22,100,98.34619413240057
2021-02-22,2021-02-25,100,98.1356627777452
2021-02-25,2021-03-01,100,102.66344066750304
2021-03-01,2021-03-03,100,97.18647256786508
2021-03-03,2021-03-05,100,104.25814306243014
2021-03-05,2021-03-08,100,95.72816463268725
2021-03-08,2021-03-11,100,104.63544374675038
2021-03-11,2021-03-12,100,97.59288280712485
2021-03-12,2021-03-18,100,98.60274750560565
2021-03-18,2021-03-31,100,102.03670234950646
2021-03-31,2021-04-01,100,103.26121865055036
2021-04-01,2021-04-05,100,104.18740104048858
2021-04-05,2021-04-09,100,102.33113517327472
2021-04-09,2021-04-12,100,98.8517025564867
2021-04-12,2021-04-19,100,102.01117818019225
2021-04-19,2021-04-22,100,98.37386258043024
2021-04-22,2021-04-23,100,102.10481291046972
2021-04-23,2021-04-28,100,102.57023415749555
2021-04-28,2021-05-04,100,97.78687269200007
2021-05-04,2021-05-11,100,98.4059169023276
2021-05-11,2021-05-12,100,96.92377070198863
2021-05-12,2021-05-14,100,103.55155363365994
2021-05-14,2021-05-24,100,103.62885108407411
2021-05-24,2021-06-10,100,103.13706153401458
2021-06-11,2021-06-18,100,98.84860949360294
2021-06-18,2021-06-28,100,102.01960276410671
2021-06-28,2021-07-02,100,102.22042033187546
2021-07-02,2021-07-14,100,102.37891110131805
2021-07-14,2021-07-19,100,97.14652433202373
2021-07-19,2021-07-21,100,102.38463521526167
2021-07-21,2021-07-23,100,104.28600654664484
2021-07-23,2021-07-28,100,102.3148602256008
2021-07-28,2021-07-30,100,98.99559744253446
2021-07-30,2021-08-13,100,102.2273374006451
2021-08-13,2021-08-18,100,98.34512610124536
2021-08-18,2021-08-23,100,103.38989330171901
2021-08-23,2021-08-27,100,102.8301143082381
2021-08-27,2021-09-10,100,97.82832929107077
2021-09-10,2021-09-15,100,102.52194232303657
2021-09-15,2021-09-17,100,97.48728354226313
2021-09-17,2021-09-20,100,98.52165483420295
2021-09-20,2021-09-24,100,102.52065577565874
2021-09-24,2021-09-28,100,95.50959054918067
2021-09-28,2021-09-29,100,98.91383858311352
2021-09-29,2021-10-06,100,102.3896495828011
2021-10-06,2021-10-14,100,102.6067353430414
2021-10-14,2021-10-22,100,97.46020008390155
2021-10-22,2021-10-27,100,106.28880344935763
2021-10-27,2021-11-01,100,98.1391868981186
2021-11-01,2021-11-03,100,102.16187105708569
2021-11-03,2021-11-18,100,102.2099144924659
2021-11-18,2021-11-22,100,97.63960427871959
2021-11-22,2021-11-26,100,97.18534982472748
2021-11-26,2021-11-29,100,102.35406225735866
2021-11-29,2021-11-30,100,97.50284472949208
2021-11-30,2021-12-07,100,103.78684999717083
2021-12-07,2021-12-14,100,97.71701944963131
2021-12-14,2021-12-17,100,98.48313666415599
2021-12-17,2021-12-22,100,103.30918541494056
2021-12-22,2021-12-31,100,98.93272829469588
2021-12-31,2022-01-05,100,95.11463392665368
2022-01-05,2022-01-12,100,102.65228223021899
2022-01-12,2022-01-13,100,97.99033487322502
2022-01-13,2022-01-18,100,98.13161267896328
2022-01-18,2022-01-20,100,98.02224239338189
2022-01-20,2022-01-21,100,97.78207743907488
2022-01-21,2022-01-25,100,97.37836943047867
2022-01-25,2022-01-28,100,105.0547139378222
2022-01-28,2022-02-01,100,103.21971264930119
2022-02-01,2022-02-02,100,107.52331439987752
2022-02-02,2022-02-03,100,96.68328077848982
2022-02-03,2022-02-07,100,97.28141175810457
2022-02-07,2022-02-11,100,96.46642345239296
2022-02-11,2022-02-16,100,102.57404874548759
2022-02-16,2022-02-17,100,96.22561770899367
2022-02-17,2022-02-18,100,98.38786621334079
2022-02-18,2022-02-23,100,97.84117846258043
2022-02-23,2022-02-24,100,103.99915045584338
2022-02-24,2022-03-07,100,95.24320971779957
2022-03-07,2022-03-09,100,105.57170311780308
2022-03-09,2022-03-11,100,97.33936120597573
2022-03-11,2022-03-14,100,96.98224897798315
2022-03-14,2022-03-15,100,102.5777714030726
2022-03-15,2022-03-16,100,103.16085480575777
2022-03-16,2022-03-18,100,102.13478915662648
2022-03-18,2022-03-22,100,102.74855310207542
2022-03-22,2022-03-23,100,98.8612472463997
2022-03-23,2022-03-24,100,102.38430495877367
2022-03-24,2022-03-31,100,98.23126165276015
2022-03-31,2022-04-04,100,102.80732647258345
2022-04-04,2022-04-05,100,98.33422249677093
2022-04-05,2022-04-06,100,97.12384800439739
2022-04-06,2022-04-08,100,97.61344760168755
2022-04-08,2022-04-11,100,96.65002597754638
2022-04-11,2022-04-14,100,98.37485781953599
2022-04-14,2022-04-19,100,102.58806386213885
2022-04-19,2022-04-20,100,98.4854099119963
2022-04-20,2022-04-21,100,97.4799730361034
2022-04-21,2022-04-22,100,95.85166005966404
2022-04-22,2022-04-25,100,102.87322573068019
2022-04-25,2022-04-26,100,96.40623343581044
2022-04-26,2022-04-27,100,96.32809460168158
2022-04-27,2022-04-28,100,103.69947576856542
2022-04-28,2022-04-29,100,96.27754161938795
2022-04-29,2022-05-02,100,102.16714454080109
2022-05-02,2022-05-04,100,104.86992303851517
2022-05-04,2022-05-05,100,95.29301668869388
2022-05-05,2022-05-09,100,96.57147779644227
2022-05-09,2022-05-13,100,103.14526559921502
2022-05-13,2022-05-16,100,98.61715283963642
2022-05-16,2022-05-18,100,97.77518591272626
2022-05-18,2022-05-19,100,98.6456791784385
2022-05-19,2022-05-20,100,98.66345410737829
2022-05-20,2022-05-23,100,102.36833617472239
2022-05-23,2022-05-24,100,95.05153711122114
2022-05-24,2022-05-27,100,105.98742281319846
2022-05-27,2022-06-02,100,104.72433205254224
2022-06-02,2022-06-03,100,97.38047902250057
2022-06-03,2022-06-07,100,102.27728758313108
2022-06-07,2022-06-09,100,98.02528999537378
2022-06-09,2022-06-10,100,96.80128647713269
2022-06-10,2022-06-13,100,95.7087783606143
2022-06-13,2022-06-15,100,103.16957210776545
2022-06-15,2022-06-16,100,96.60138248847926
2022-06-16,2022-06-21,100,105.19635403356335
2022-06-21,2022-06-24,100,105.76564904040812
2022-06-24,2022-06-27,100,98.1854375622081
2022-06-27,2022-06-28,100,96.69716503777639
2022-06-28,2022-06-30,100,97.281459445898
2022-06-30,2022-07-05,100,103.94584139264991
2022-07-05,2022-07-07,100,104.87355344072873
2022-07-07,2022-07-11,100,97.38411882995082
2022-07-11,2022-07-12,100,98.5684290895209
2022-07-12,2022-07-13,100,97.66213646926273
2022-07-13,2022-07-18,100,97.91261085874973
2022-07-18,2022-07-19,100,104.3843661401377
