date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-05,98.90250579747487,100,-1.0974942025251266,1,98.90250579747487
2021-01-05,98.90250579747487,200,-1.0974942025251266,2,0.0
2021-01-06,195.72145734800446,200,-4.232095647617612,2,96.81895155052959
2021-01-06,195.72145734800446,300,-4.232095647617612,3,0.0
2021-01-07,294.6125348842836,300,-5.166417729576239,3,98.89107753627911
2021-01-07,294.6125348842836,400,-5.166417729576239,4,0.0
2021-01-08,396.85333656451286,400,-2.9858042719142333,4,102.24080168022924
2021-01-08,396.85333656451286,500,-2.9858042719142333,5,2.2408016802292394
2021-01-11,495.1338338272392,500,-4.617405084577925,5,100.52129894295554
2021-01-11,495.1338338272392,600,-4.617405084577925,6,0.5212989429555392
2021-01-14,593.1997680791585,600,-6.452600329056978,6,98.5872331948749
2021-01-14,593.1997680791585,700,-6.452600329056978,7,0.0
2021-01-15,692.1230564182698,700,-7.3753993226985415,7,98.92328833911131
2021-01-15,692.1230564182698,800,-7.3753993226985415,8,0.0
2021-01-29,790.9940628515923,800,-8.348342889029539,8,98.87100643332244
2021-01-29,790.9940628515923,900,-8.348342889029539,9,0.0
2021-02-05,894.1089373588964,900,-5.404350253952842,9,103.11487450730414
2021-02-05,894.1089373588964,1000,-5.404350253952842,10,3.114874507304137
2021-02-12,996.2045747453925,1000,-3.4818518641238683,10,105.21051189380026
2021-02-12,996.2045747453925,1100,-3.4818518641238683,11,5.210511893800259
2021-02-17,1095.0972861254281,1100,-4.497657653176219,11,104.10322327383597
2021-02-17,1095.0972861254281,1200,-4.497657653176219,12,4.103223273835965
2021-02-26,1192.8267689508948,1200,-6.580587476936358,12,101.83270609930254
2021-02-26,1192.8267689508948,1300,-6.580587476936358,13,1.8327060993025412
2021-03-02,1295.0884698332031,1300,-4.505745554125241,13,104.09440698161085
2021-03-02,1295.0884698332031,1400,-4.505745554125241,14,4.094406981610845
2021-03-08,1398.1654874897515,1400,-1.682947331346611,14,107.17142463815928
2021-03-08,1398.1654874897515,1500,-1.682947331346611,15,7.17142463815928
2021-03-09,1496.653882061957,1500,-3.0696657682851622,15,105.65981921036466
2021-03-09,1496.653882061957,1600,-3.0696657682851622,16,5.65981921036466
2021-03-24,1598.7936308132307,1600,-1.1067004406621521,16,107.79956796163845
2021-03-24,1598.7936308132307,1700,-1.1067004406621521,17,7.799567961638445
2021-03-26,1701.7449632674611,1700,1.6007965374265751,17,110.75090041586887
2021-03-26,1701.7449632674611,1800,1.6007965374265751,18,10.75090041586887
2021-04-20,1803.8749508958194,1800,3.5548071941657042,18,112.88088804422712
2021-04-21,1803.8749508958194,1900,3.5548071941657042,19,12.88088804422712
2021-04-26,1902.1363940484437,1900,1.9598877862358393,19,111.14233119685134
