purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-05,100,98.90250579747487
2021-01-05,2021-01-06,100,96.81895155052959
2021-01-06,2021-01-07,100,98.89107753627911
2021-01-07,2021-01-08,100,102.24080168022924
2021-01-08,2021-01-11,100,98.2804972627263
2021-01-11,2021-01-14,100,98.06593425191936
2021-01-14,2021-01-15,100,98.92328833911131
2021-01-15,2021-01-29,100,98.87100643332244
2021-01-29,2021-02-05,100,103.11487450730414
2021-02-05,2021-02-12,100,102.09563738649612
2021-02-12,2021-02-17,100,98.8927113800357
2021-02-17,2021-02-26,100,97.72948282546658
2021-02-26,2021-03-02,100,102.2617008823083
2021-03-02,2021-03-08,100,103.07701765654843
2021-03-08,2021-03-09,100,98.48839457220538
2021-03-09,2021-03-24,100,102.13974875127379
2021-03-24,2021-03-26,100,102.95133245423042
2021-03-26,2021-04-20,100,102.12998762835825
2021-04-21,2021-04-26,100,98.26144315262422
2021-04-26,2021-05-10,100,102.3283385218132
2021-05-10,2021-05-11,100,98.9260037903492
2021-05-11,2021-05-27,100,102.1523098550584
2021-05-27,2021-06-18,100,97.63109191856879
2021-06-22,2021-06-29,100,98.71910818506157
2021-06-29,2021-07-13,100,102.15229699330573
2021-07-13,2021-07-14,100,102.25363191755366
2021-07-14,2021-08-16,100,102.16772860468963
2021-08-16,2021-08-18,100,98.2949368262727
2021-08-18,2021-08-26,100,98.30125560173038
2021-08-26,2021-09-01,100,102.07067123176799
2021-09-01,2021-09-07,100,98.20055395940828
2021-09-07,2021-09-17,100,98.52963268985202
2021-09-17,2021-09-24,100,98.98892679486934
2021-09-24,2021-09-28,100,97.68071854212194
2021-09-28,2021-10-06,100,102.0331573169025
2021-10-06,2021-10-27,100,103.36904573325039
2021-10-27,2021-11-05,100,102.37976878828768
2021-11-05,2021-11-16,100,98.90659111984053
2021-11-16,2021-11-18,100,98.56027078204187
2021-11-18,2021-11-26,100,96.96893660926115
2021-11-26,2021-11-30,100,98.37443275079656
2021-11-30,2021-12-03,100,102.07701911148104
2021-12-03,2021-12-06,100,102.55955139583048
2021-12-06,2021-12-10,100,102.4937983173424
2021-12-10,2021-12-13,100,102.63014911556961
2021-12-13,2021-12-29,100,102.06042780748663
2021-12-29,2022-01-04,100,102.27330283865943
2022-01-04,2022-01-26,100,98.85531315373778
2022-01-26,2022-01-28,100,102.0811163780594
2022-01-28,2022-02-17,100,102.10350318740808
2022-02-17,2022-02-24,100,97.40796785939814
2022-02-24,2022-02-25,100,103.86840448520529
2022-02-25,2022-03-01,100,98.59872715805683
2022-03-01,2022-03-07,100,98.56419185533592
2022-03-07,2022-03-08,100,96.03724574335565
2022-03-08,2022-03-10,100,98.67044616842772
2022-03-10,2022-03-15,100,103.79532699474352
2022-03-15,2022-03-24,100,102.28105864428683
2022-03-24,2022-03-30,100,102.01722153244495
2022-03-30,2022-04-08,100,102.60376118912704
2022-04-08,2022-04-20,100,103.33726586874081
2022-04-20,2022-04-22,100,98.92355522646545
2022-04-22,2022-05-02,100,97.22597173200211
2022-05-02,2022-05-04,100,102.50625315073434
2022-05-04,2022-05-10,100,98.43145080195083
2022-05-10,2022-05-13,100,102.67149800866768
2022-05-13,2022-05-18,100,93.12236765801049
2022-05-18,2022-05-19,100,98.03911420385866
2022-05-19,2022-05-23,100,104.7668757312008
2022-05-23,2022-05-26,100,102.2907587803209
2022-05-26,2022-05-31,100,98.56921297179106
2022-05-31,2022-06-09,100,97.50701273577302
2022-06-09,2022-06-14,100,96.53393647203539
2022-06-14,2022-06-21,100,102.48187959004713
2022-06-21,2022-06-24,100,103.85501777349202
2022-06-24,2022-06-28,100,98.79439357610671
2022-06-28,2022-07-01,100,103.37183885017707
2022-07-01,2022-07-05,100,98.29146963864497
2022-07-05,2022-07-13,100,98.5777401586416
2022-07-13,2022-07-18,100,98.82977408590328
2022-07-18,2022-07-26,100,102.53040834057343
2022-07-26,2022-08-01,100,102.0723600799864
2022-08-01,2022-08-02,100,98.636204264338
2022-08-02,2022-08-08,100,98.94715029210403
2022-08-08,2022-08-15,100,102.42968070367627
2022-08-15,2022-08-26,100,97.84499435376568
2022-08-26,2022-08-30,100,98.47891082106347
2022-08-30,2022-09-02,100,98.39094305622883
2022-09-02,2022-09-12,100,102.20753518171067
2022-09-12,2022-09-13,100,96.75201994461992
2022-09-13,2022-09-21,100,98.94681216920121
2022-09-21,2022-09-23,100,98.65314156763878
2022-09-23,2022-09-26,100,98.75436736195012
2022-09-26,2022-09-27,100,97.4252773547966
2022-09-27,2022-10-06,100,97.60552310522837
2022-10-06,2022-10-10,100,98.8369858626527
2022-10-10,2022-10-13,100,102.72094358138762
2022-10-13,2022-10-14,100,98.40707326525646
2022-10-14,2022-10-18,100,102.65547837810114
2022-10-18,2022-10-20,100,97.59040014274882
2022-10-20,2022-10-24,100,104.52076259642618
2022-10-24,2022-10-25,100,102.3971128985421
2022-10-25,2022-10-28,100,103.07030506586668
2022-10-28,2022-10-31,100,98.50228982581413
2022-10-31,2022-11-02,100,98.26228156524228
2022-11-02,2022-11-10,100,103.51994492754616
2022-11-10,2022-11-22,100,102.41450556067444
2022-11-22,2022-11-30,100,102.74442787942026
2022-12-01,2022-12-09,100,98.98103150964101
2022-12-09,2023-01-05,100,98.51124485270827
2023-01-05,2023-01-12,100,98.40836012861736
2023-01-12,2023-01-18,100,97.7127920274465
2023-01-18,2023-01-31,100,102.52466142785488
2023-01-31,2023-02-02,100,98.30397912589693
2023-02-02,2023-02-09,100,98.90510948905109
2023-02-09,2023-03-01,100,98.72525997987253
2023-03-01,2023-03-06,100,102.54841997961263
2023-03-06,2023-03-09,100,98.50894632206759
2023-03-09,2023-03-24,100,102.42179616548941
2023-03-24,2023-04-03,100,102.46305418719213
2023-04-03,2023-04-19,100,102.05128205128204
2023-04-28,2023-05-09,100,98.81527669524552
2023-05-09,2023-05-22,100,97.03423252879003
2023-05-22,2023-05-24,100,98.97577629653715
2023-05-24,2023-05-26,100,98.98160315374507
2023-05-26,2023-06-16,100,102.33986060404914
2023-06-16,2023-06-28,100,98.1352359331928
2023-06-28,2023-07-07,100,98.74421678783872
2023-07-07,2023-07-19,100,103.14591700133869
2023-07-19,2023-07-26,100,102.28747566515248
2023-07-26,2023-07-31,100,98.22363203806503
2023-07-31,2023-08-04,100,98.03003390925238
2023-08-07,2023-08-15,100,98.82333714659258
2023-08-15,2023-08-31,100,98.94162394575822
2023-08-31,2023-09-05,100,98.31188367039947
2023-09-05,2023-09-15,100,98.50391023461407
2023-09-15,2023-09-25,100,98.37763203313773
2023-09-25,2023-09-27,100,98.15789473684211
2023-09-27,2023-10-03,100,98.0875781948168
2023-10-03,2023-10-05,100,95.44460641399417
2023-10-05,2023-10-10,100,103.1500572737686
2023-10-10,2023-10-12,100,97.7419951878586
2023-10-12,2023-10-17,100,102.38591175913652
2023-10-17,2023-10-24,100,102.90364342518956
2023-10-24,2023-11-02,100,102.60603882099211
2023-11-02,2023-11-22,100,102.32965493081099
2023-11-22,2023-12-13,100,102.58473125641902
2023-12-13,2023-12-14,100,98.5149340897714
2023-12-14,2023-12-20,100,97.57791327913279
2023-12-20,2023-12-29,100,102.2912688769311
2023-12-29,2024-01-08,100,102.00237569998303
2024-01-08,2024-01-24,100,98.00365995674596
2024-01-24,2024-02-01,100,103.51383466304533
2024-02-01,2024-02-05,100,98.45851098720892
2024-02-05,2024-02-13,100,98.85076615589608
2024-02-13,2024-02-20,100,102.27464195450717
2024-02-20,2024-02-29,100,98.87973640856671
2024-02-29,2024-04-04,100,98.80039986671109
2024-04-04,2024-04-12,100,98.27993254637437
2024-04-12,2024-04-19,100,103.24296499656829
2024-04-19,2024-04-24,100,102.29350174505566
2024-04-24,2024-05-08,100,102.11210398050366
2024-05-08,2024-05-23,100,98.79077167859984
2024-05-23,2024-06-04,100,102.97954582058301
2024-06-04,2024-06-12,100,98.34219580857054
2024-06-12,2024-06-20,100,98.88676844783714
2024-06-20,2024-06-24,100,102.87873914441943
2024-06-24,2024-07-01,100,98.92136939190246
2024-07-01,2024-07-17,100,103.04993678887485
2024-07-17,2024-07-26,100,102.821653120687
2024-07-26,2024-08-02,100,103.40044742729306
2024-08-02,2024-08-05,100,98.2258762440502
2024-08-05,2024-08-21,100,102.15859030837005
2024-08-21,2024-08-27,100,102.77418427483111
2024-08-27,2024-09-03,100,102.11188811188812
2024-09-03,2024-09-05,100,97.47979728804272
2024-09-09,2024-09-11,100,98.92832289491997
2024-09-13,2024-09-19,100,98.89371236521497
2024-09-19,2024-10-07,100,97.72019258000566
2024-10-07,2024-10-16,100,102.26054195044195
2024-10-16,2024-10-21,100,98.41292333852914
2024-10-21,2024-10-23,100,97.92656587473002
2024-10-23,2024-10-24,100,98.95603587707689
2024-10-24,2024-10-29,100,97.4145616641902
2024-10-29,2024-11-06,100,97.16290420988408
2024-11-06,2024-11-13,100,98.90109890109889
2024-11-13,2024-11-15,100,98.0
2024-11-15,2024-11-20,100,102.02461937155816
2024-11-20,2024-11-25,100,102.2066994761073
2024-11-25,2024-12-02,100,98.86610748679715
2024-12-02,2024-12-04,100,97.7376276512176
