date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-06,102.75930380642421,100,2.7593038064242137,1,102.75930380642421
2021-01-06,102.75930380642421,200,2.7593038064242137,2,2.7593038064242137
2021-01-15,201.3134211294757,200,1.3134211294756994,2,101.3134211294757
2021-01-15,201.3134211294757,300,1.3134211294756994,3,1.3134211294756994
2021-01-19,308.2576715137149,300,8.257671513714925,3,108.25767151371493
2021-01-19,308.2576715137149,400,8.257671513714925,4,8.257671513714925
2021-01-20,404.58638852442823,400,4.586388524428273,4,104.58638852442827
2021-01-20,404.58638852442823,500,4.586388524428273,5,4.586388524428273
2021-01-22,502.6197535047619,500,2.619753504761917,5,102.61975350476192
2021-01-22,502.6197535047619,600,2.619753504761917,6,2.619753504761917
2021-01-25,598.3723821710596,600,-1.627617828940359,6,98.37238217105964
2021-01-25,598.3723821710596,700,-1.627617828940359,7,0.0
2021-01-29,694.3845191454852,700,-5.525546081348338,7,96.01213697442567
2021-01-29,694.3845191454852,800,-5.525546081348338,8,0.0
2021-02-02,800.2987403644469,800,0.2828566058970381,8,105.91422121896161
2021-02-02,800.2987403644469,900,0.2828566058970381,9,5.914221218961615
2021-02-04,906.8915224047993,900,6.525106309265766,9,112.507003259314
2021-02-04,906.8915224047993,1000,6.525106309265766,10,12.507003259314004
2021-02-09,1010.2239670862176,1000,9.68036788120213,10,115.8394479407323
2021-02-09,1010.2239670862176,1100,9.68036788120213,11,15.839447940732299
2021-02-10,1112.9458453111918,1100,12.257526270248874,11,118.5613261657065
2021-02-10,1112.9458453111918,1200,12.257526270248874,12,18.561326165706504
2021-02-12,1218.6472141420345,1200,17.655758408865267,12,124.26269499654914
2021-02-12,1218.6472141420345,1300,17.655758408865267,13,24.262694996549143
2021-02-19,1323.304455439409,1300,22.065378343077086,13,128.9199362939235
2021-02-19,1323.304455439409,1400,22.065378343077086,14,28.919936293923513
2021-02-23,1425.84730933883,1400,24.473030970179963,14,131.46279019334455
2021-02-23,1425.84730933883,1500,24.473030970179963,15,31.462790193344546
2021-02-25,1522.4043778653438,1500,21.21315709029983,15,128.01985871985843
2021-02-25,1522.4043778653438,1600,21.21315709029983,16,28.019858719858433
2021-03-01,1628.870784652778,1600,27.335750800157157,16,134.4862655072925
2021-03-01,1628.870784652778,1700,27.335750800157157,17,34.4862655072925
2021-03-02,1726.4047066859462,1700,25.000791997830802,17,132.0201875404607
2021-03-02,1726.4047066859462,1800,25.000791997830802,18,32.02018754046071
2021-03-08,1825.1128882030048,1800,23.777658350670848,18,130.72836905751936
2021-03-08,1825.1128882030048,1900,23.777658350670848,19,30.72836905751936
2021-03-09,1922.7191521851078,1900,21.511195140419986,19,128.33463303962225
2021-03-09,1922.7191521851078,2000,21.511195140419986,20,28.334633039622247
2021-03-15,2026.0425535144682,2000,24.657894187256232,20,131.65803436898278
2021-03-15,2026.0425535144682,2100,24.657894187256232,21,31.658034368982783
2021-03-16,2123.6579040024894,2100,22.400034361513875,21,129.2733848570041
2021-03-16,2123.6579040024894,2200,22.400034361513875,22,29.27338485700409
2021-03-17,2222.1580744376674,2200,20.979949396045413,22,127.7735552921819
2021-03-17,2222.1580744376674,2300,20.979949396045413,23,27.773555292181896
2021-03-19,2319.839467908656,2300,18.784621106809766,23,125.45494876317048
2021-03-19,2319.839467908656,2400,18.784621106809766,24,25.454948763170478
2021-03-23,2416.249482079653,2400,15.385511620248309,24,121.86496293416717
2021-03-23,2416.249482079653,2500,15.385511620248309,25,21.864962934167167
2021-03-25,2518.919741756282,2500,17.913795973095574,25,124.53522261079627
2021-03-25,2518.919741756282,2600,17.913795973095574,26,24.535222610796268
2021-03-29,2616.450164089854,2600,15.575523547076983,26,122.06564494436822
2021-03-29,2616.450164089854,2700,15.575523547076983,27,22.065644944368216
2021-03-30,2718.5786044568263,2700,17.59079663938472,27,124.19408531134067
2021-03-30,2718.5786044568263,2800,17.59079663938472,28,24.19408531134067
2021-04-01,2824.0642913654383,2800,22.784814471077723,28,129.67977221995247
2021-04-01,2824.0642913654383,2900,22.784814471077723,29,29.67977221995247
2021-04-07,2922.486001368845,2900,21.290440744968663,29,128.10148222335886
2021-04-07,2922.486001368845,3000,21.290440744968663,30,28.101482223358857
2021-04-12,3020.4093977693988,3000,19.324248305522445,30,126.02487862391261
2021-04-12,3020.4093977693988,3100,19.324248305522445,31,26.024878623912613
2021-04-13,3117.8057219918305,3100,16.859007645249463,31,123.42120284634429
2021-04-13,3117.8057219918305,3200,16.859007645249463,32,23.421202846344286
2021-04-15,3214.8784206733353,3200,14.087348325222692,32,120.49390152784906
2021-04-15,3214.8784206733353,3300,14.087348325222692,33,20.49390152784906
2021-04-20,3312.6354300191297,3300,11.963615482217122,33,118.25091087364346
2021-04-20,3312.6354300191297,3400,11.963615482217122,34,18.250910873643463
2021-04-21,3416.242823263234,3400,15.379206847155103,34,121.85830411774799
2021-04-21,3416.242823263234,3500,15.379206847155103,35,21.85830411774799
2021-05-04,3513.7821933419746,3500,13.049406422680065,35,119.39767419648815
2021-05-04,3513.7821933419746,3600,13.049406422680065,36,19.397674196488154
2021-05-06,3608.5349683167474,3600,8.08117166886106,36,114.15044917126112
2021-05-06,3608.5349683167474,3700,8.08117166886106,37,14.150449171261116
2021-05-07,3714.97799281089,3700,14.18162630109245,37,120.5934736654038
2021-05-07,3714.97799281089,3800,14.18162630109245,38,20.593473665403806
2021-05-10,3818.8549312801247,3800,17.852431412111287,38,124.47041213463844
2021-05-10,3818.8549312801247,3900,17.852431412111287,39,24.470412134638437
2021-05-11,3917.5185479427782,3900,16.58710238408048,39,123.13402879729195
2021-05-11,3917.5185479427782,4000,16.58710238408048,40,23.134028797291947
2021-05-12,4012.5887126773723,4000,11.919382059825551,40,118.2041935318862
2021-05-12,4012.5887126773723,4100,11.919382059825551,41,18.204193531886204
2021-05-13,4116.850039849751,4100,15.954138269711464,41,122.46552070426459
2021-05-13,4116.850039849751,4200,15.954138269711464,42,22.46552070426459
2021-05-14,4222.476040095965,4200,21.281009104077356,42,128.09152095047904
2021-05-14,4222.476040095965,4300,21.281009104077356,43,28.091520950479037
2021-05-17,4320.984198604124,4300,19.868487492878614,43,126.59967945863754
2021-05-17,4320.984198604124,4400,19.868487492878614,44,26.59967945863754
2021-05-18,4424.024899030059,4400,22.747516591011703,44,129.6403798845722
2021-05-18,4424.024899030059,4500,22.747516591011703,45,29.640379884572212
2021-05-21,4526.516574308506,4500,25.10671171874101,45,132.1320551630198
2021-05-21,4526.516574308506,4600,25.10671171874101,46,32.1320551630198
2021-05-24,4629.272568034699,4600,27.716171718255225,46,134.88804888921294
2021-05-24,4629.272568034699,4700,27.716171718255225,47,34.88804888921294
2021-05-25,4727.80069712323,4700,26.322558869493776,47,133.41617797774325
2021-05-25,4727.80069712323,4800,26.322558869493776,48,33.416177977743246
2021-06-04,4826.550282162513,4800,25.138627356234352,48,132.16576301702617
2021-06-04,4826.550282162513,4900,25.138627356234352,49,32.165763017026165
2021-06-09,4925.351268267399,4900,24.003363959795408,49,130.96674912191187
2021-06-09,4925.351268267399,5000,24.003363959795408,50,30.966749121911874
2021-06-10,5024.035628026954,5000,22.757675136717552,50,129.65110888146728
2021-06-10,5024.035628026954,5100,22.757675136717552,51,29.65110888146728
2021-06-15,5122.828870183028,5100,21.615079530313693,51,128.44435103754128
2021-06-15,5122.828870183028,5200,21.615079530313693,52,28.44435103754128
2021-06-21,5226.4351987079235,5200,25.029662786212555,52,132.05067956243659
2021-06-21,5226.4351987079235,5300,25.029662786212555,53,32.050679562436585
2021-06-22,5329.197381506037,5300,27.644982790217014,53,134.8128623605502
2021-06-22,5329.197381506037,5400,27.644982790217014,54,34.81286236055021
2021-06-28,5425.668098289254,5400,24.30334841216137,54,131.28357914376699
2021-06-28,5425.668098289254,5500,24.30334841216137,55,31.283579143766985
2021-07-02,5524.535467187204,5500,23.230938294926503,55,130.1509480417169
2021-07-02,5524.535467187204,5600,23.230938294926503,56,30.1509480417169
2021-07-06,5621.85474774626,5600,20.692750314097566,56,127.47022860077293
2021-07-06,5621.85474774626,5700,20.692750314097566,57,27.470228600772927
2021-07-07,5720.265577646201,5700,19.188074969913927,57,125.88105850071406
2021-07-07,5720.265577646201,5800,19.188074969913927,58,25.88105850071406
2021-07-08,5818.471319272995,5800,17.489215713023995,58,124.08680012750833
2021-07-08,5818.471319272995,5900,17.489215713023995,59,24.086800127508326
2021-07-12,5921.260600637185,5900,20.130193476532227,59,126.87608149169833
2021-07-12,5921.260600637185,6000,20.130193476532227,60,26.87608149169833
2021-07-13,6018.167817132031,6000,17.20185051001677,60,123.78329798654369
2021-07-13,6018.167817132031,6100,17.20185051001677,61,23.783297986543687
2021-07-14,6117.1406711305635,6100,16.229316944712792,61,122.75615198507633
2021-07-14,6117.1406711305635,6200,16.229316944712792,62,22.75615198507633
2021-07-15,6215.892833225943,6200,15.047825467777145,62,121.50831408045563
2021-07-15,6215.892833225943,6300,15.047825467777145,63,21.508314080455634
2021-07-16,6314.141300634926,6300,13.389420301369867,63,119.75678148943848
2021-07-16,6314.141300634926,6400,13.389420301369867,64,19.75678148943848
2021-07-19,6409.378789492687,6400,8.880127625991179,64,114.99427034719986
2021-07-19,6409.378789492687,6500,8.880127625991179,65,14.994270347199858
2021-07-20,6512.32035922126,6500,11.665296717466816,65,117.93584007577317
2021-07-20,6512.32035922126,6600,11.665296717466816,66,17.93584007577317
2021-07-21,6616.229957870435,6600,15.367025495808221,66,121.8454387249484
2021-07-21,6616.229957870435,6700,15.367025495808221,67,21.845438724948394
2021-07-22,6714.729957870435,6700,13.946779157048226,67,120.3454387249484
2021-07-22,6714.729957870435,6800,13.946779157048226,68,20.345438724948394
2021-07-23,6813.3467091394705,6800,12.637076526550445,68,118.96218999398393
2021-07-23,6813.3467091394705,6900,12.637076526550445,69,18.962189993983927
2021-07-26,6919.098864589219,6900,18.083395004873367,69,124.714345443733
2021-07-26,6919.098864589219,7000,18.083395004873367,70,24.714345443732995
2021-07-27,7016.799034946971,7000,15.905845252089762,70,122.41451580148427
2021-07-27,7016.799034946971,7100,15.905845252089762,71,22.41451580148427
2021-07-30,7115.055355783937,7100,14.254875953908993,71,120.67083663845027
2021-07-30,7115.055355783937,7200,14.254875953908993,72,20.670836638450268
2021-08-05,7222.496096055201,7200,21.29999870585995,72,128.11157690971407
2021-08-05,7222.496096055201,7300,21.29999870585995,73,28.111576909714074
2021-08-09,7320.785383454918,7300,19.680243167711467,73,126.40086430943092
2021-08-09,7320.785383454918,7400,19.680243167711467,74,26.400864309430915
2021-08-13,7418.708802012114,7400,17.71407170685859,74,124.32428286662692
2021-08-13,7418.708802012114,7500,17.71407170685859,75,24.324282866626916
2021-08-17,7517.458495564455,7500,16.530242937115048,75,123.07397641896819
2021-08-17,7517.458495564455,7600,16.530242937115048,76,23.073976418968186
2021-08-19,7616.142706090771,7600,15.28441281539574,76,121.75818694528397
2021-08-19,7616.142706090771,7700,15.28441281539574,77,21.758186945283967
2021-08-23,7721.098680933538,7700,19.976882899013646,77,126.71416178805126
2021-08-23,7721.098680933538,7800,19.976882899013646,78,26.714161788051257
2021-08-24,7823.855152649741,7800,22.586795474235743,78,129.47063350425452
2021-08-24,7823.855152649741,7900,22.586795474235743,79,29.470633504254522
2021-08-26,7922.700499045823,7900,21.49353377190127,79,128.31597990033572
2021-08-26,7922.700499045823,8000,21.49353377190127,80,28.31597990033572
2021-08-27,8025.237372202165,8000,23.895523646696944,80,130.85285305667793
2021-08-27,8025.237372202165,8100,23.895523646696944,81,30.85285305667793
2021-09-13,8127.780525251647,8100,26.30345951831916,81,133.3960061061601
2021-09-13,8127.780525251647,8200,26.30345951831916,82,33.39600610616009
2021-09-15,8224.896449390353,8200,23.572727396512306,82,130.51193024486508
2021-09-15,8224.896449390353,8300,23.572727396512306,83,30.511930244865084
2021-09-21,8323.371143173576,8300,22.128520349934092,83,128.9866240280867
2021-09-21,8323.371143173576,8400,22.128520349934092,84,28.98662402808671
2021-09-22,8427.008786919176,8400,25.572753824201456,84,132.62426777368634
2021-09-22,8427.008786919176,8500,25.572753824201456,85,32.62426777368634
2021-09-23,8530.71123257135,8500,29.078343745506658,85,136.32671342586025
2021-09-23,8530.71123257135,8600,29.078343745506658,86,36.32671342586025
2021-09-27,8632.94946818659,8600,31.197574370726272,86,138.56494904110207
2021-09-27,8632.94946818659,8700,31.197574370726272,87,38.56494904110207
2021-09-28,8731.646606161816,8700,29.963984356994843,87,137.26208701632635
2021-09-28,8731.646606161816,8800,29.963984356994843,88,37.26208701632635
2021-09-29,8830.553769113558,8800,28.92925247922841,88,136.16924996806839
2021-09-29,8830.553769113558,8900,28.92925247922841,89,36.169249968068385
2021-10-01,8938.561645713493,8900,36.51135742742744,89,144.17712656800273
2021-10-01,8938.561645713493,9000,36.51135742742744,90,44.177126568002734
2021-10-06,9040.891231452377,9000,38.717081171745605,90,146.50671230688656
2021-10-06,9040.891231452377,9100,38.717081171745605,91,46.506712306886556
2021-10-07,9138.852233135045,9100,36.78649457512705,91,144.46771398955508
2021-10-07,9138.852233135045,9200,36.78649457512705,92,44.46771398955508
2021-10-15,9241.479291839703,9200,39.27387491312578,92,147.09477269421308
2021-10-15,9241.479291839703,9300,39.27387491312578,93,47.09477269421308
2021-10-19,9339.94340525902,9300,37.819650051148415,93,145.5588861135298
2021-10-19,9339.94340525902,9400,37.819650051148415,94,45.55888611352981
2021-11-01,9443.973002299317,9400,41.634997013254065,94,149.5884831538258
2021-11-01,9443.973002299317,9500,41.634997013254065,95,49.58848315382579
2021-11-02,9546.606604759909,9500,44.12857318152419,95,152.22208561441786
2021-11-02,9546.606604759909,9600,44.12857318152419,96,52.222085614417864
2021-11-03,9645.201847314695,9600,42.79850543591638,96,150.8173281692034
2021-11-03,9645.201847314695,9700,42.79850543591638,97,50.81732816920339
2021-11-04,9747.329506889162,9700,44.81303924976035,97,152.94498774367148
2021-11-04,9747.329506889162,9800,44.81303924976035,98,52.944987743671476
2021-11-05,9862.47087593678,9800,59.14935521889021,98,168.08635679129054
2021-11-05,9862.47087593678,9900,59.14935521889021,99,68.08635679129054
2021-11-08,9957.091231348735,9900,54.055741532222726,99,162.70671220324533
2021-11-08,9957.091231348735,10000,54.055741532222726,100,62.70671220324533
2021-11-10,10055.272894316124,10000,52.334083856758184,100,160.8883751706348
2021-11-10,10055.272894316124,10100,52.334083856758184,101,60.88837517063479
2021-11-12,10152.933967266303,10100,50.119515470667494,101,158.54944812081303
2021-11-12,10152.933967266303,10200,50.119515470667494,102,58.549448120813025
2021-11-15,10256.156901739238,10200,53.1710893941665,102,161.7723825937475
2021-11-15,10256.156901739238,10300,53.1710893941665,103,61.772382593747494
2021-11-18,10353.586606759076,10300,50.737454704094176,103,159.20208761358532
2021-11-18,10353.586606759076,10400,50.737454704094176,104,59.20208761358532
2021-11-26,10445.23851894038,10400,42.83322726399342,104,150.85399979488844
2021-11-26,10445.23851894038,10500,42.83322726399342,105,50.85399979488844
2021-11-29,10549.411222504563,10500,46.78407190383575,105,155.0267033590727
2021-11-29,10549.411222504563,10600,46.78407190383575,106,55.02670335907271
2021-11-30,10648.298566037247,10600,45.73057438783391,106,153.914046891757
2021-11-30,10648.298566037247,10700,45.73057438783391,107,53.91404689175701
2021-12-01,10744.716756379488,10700,42.33920635278898,107,150.332237233998
2021-12-01,10744.716756379488,10800,42.33920635278898,108,50.332237233998
2021-12-02,10848.100982772565,10800,45.543496448989686,108,153.71646362707395
2021-12-02,10848.100982772565,10900,45.543496448989686,109,53.71646362707395
2021-12-03,10943.040311151834,10900,40.751896221649076,109,148.65579200634215
2021-12-03,10943.040311151834,11000,40.751896221649076,110,48.65579200634215
