purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-07,100,98.74537729414489
2021-01-07,2021-01-08,100,98.17685229778712
2021-01-08,2021-01-20,100,102.16359963079387
2021-01-20,2021-01-26,100,103.36494418084521
2021-01-26,2021-01-27,100,106.08049876226278
2021-01-27,2021-01-28,100,98.26393090295184
2021-01-28,2021-01-29,100,95.76932098041515
2021-01-29,2021-02-08,100,102.89973978264197
2021-02-08,2021-02-11,100,98.85339251819278
2021-02-11,2021-02-26,100,98.7811044096934
2021-02-26,2021-03-05,100,103.28135568433174
2021-03-05,2021-03-10,100,102.04609012708414
2021-03-10,2021-03-15,100,102.69943687052647
2021-03-15,2021-03-16,100,98.60947694940634
2021-03-16,2021-03-18,100,102.2179594772809
2021-03-18,2021-03-19,100,98.8042179104811
2021-03-19,2021-03-25,100,102.32667250784317
2021-03-25,2021-04-09,100,102.54224647969022
2021-04-09,2021-04-23,100,102.11773325503843
2021-04-23,2021-04-26,100,98.72806693607099
2021-04-26,2021-04-27,100,97.4067958726749
2021-04-27,2021-04-29,100,102.36985023863076
2021-04-29,2021-05-07,100,102.01918439526283
2021-05-07,2021-05-10,100,102.09583040057151
2021-05-10,2021-05-11,100,98.25588574250907
2021-05-11,2021-05-12,100,97.62119196975567
2021-05-12,2021-05-13,100,102.28068763912357
2021-05-13,2021-06-04,100,102.04733411297046
2021-06-04,2021-06-07,100,98.87507644238427
2021-06-07,2021-06-14,100,98.83213272211309
2021-06-14,2021-06-16,100,97.78917199127028
2021-06-16,2021-06-18,100,97.30681738737626
2021-06-18,2021-06-28,100,102.55881686497959
2021-06-28,2021-07-09,100,102.2912815980773
2021-07-09,2021-07-19,100,98.28578954300013
2021-07-19,2021-07-26,100,102.07695729775796
2021-07-26,2021-07-28,100,98.321308927465
2021-07-28,2021-08-16,100,102.03792810642514
2021-08-16,2021-08-17,100,98.63083243922226
2021-08-17,2021-08-18,100,98.4791641239805
2021-08-18,2021-09-07,100,95.1563451393716
2021-09-07,2021-09-14,100,98.30005549452417
2021-09-14,2021-09-20,100,98.96193372966495
2021-09-20,2021-09-21,100,98.83287735025323
2021-09-21,2021-09-30,100,98.31198280177873
2021-09-30,2021-10-14,100,102.79656599907739
2021-10-15,2021-10-27,100,97.969120934343
2021-10-27,2021-11-02,100,102.08948712052874
