date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-07,102.30127740280024,100,2.3012774028002383,1,102.30127740280024
2021-01-07,102.30127740280024,200,2.3012774028002383,2,2.3012774028002383
2021-01-11,201.27317147871815,200,1.2731714787181545,2,101.27317147871814
2021-01-11,201.27317147871815,300,1.2731714787181545,3,1.2731714787181403
2021-01-12,300.25587215636676,300,0.255872156366749,3,100.25587215636675
2021-01-12,300.25587215636676,400,0.255872156366749,4,0.255872156366749
2021-01-20,403.1153845225402,400,3.1153845225401824,4,103.11538452254018
2021-01-20,403.1153845225402,500,3.1153845225401824,5,3.1153845225401824
2021-01-29,500.69359026818006,500,0.6935902681800741,5,100.69359026818009
2021-01-29,500.69359026818006,600,0.6935902681800741,6,0.6935902681800883
2021-02-03,602.9309332950953,600,2.9309332950953007,6,102.9309332950953
2021-02-03,602.9309332950953,700,2.9309332950953007,7,2.9309332950953007
2021-02-08,705.2416297585364,700,5.241629758536391,7,105.24162975853639
2021-02-08,705.2416297585364,800,5.241629758536391,8,5.241629758536391
2021-02-22,808.6164044377857,800,8.61640443778569,8,108.61640443778569
2021-02-22,808.6164044377857,900,8.61640443778569,9,8.61640443778569
2021-02-26,906.7711390206136,900,6.7711390206136315,9,106.77113902061365
2021-02-26,906.7711390206136,1000,6.7711390206136315,10,6.771139020613646
2021-03-01,1008.9269746943123,1000,8.926974694312278,10,108.92697469431228
2021-03-01,1008.9269746943123,1100,8.926974694312278,11,8.926974694312278
2021-03-08,1114.2243071035832,1100,14.224307103583271,11,114.22430710358326
2021-03-08,1114.2243071035832,1200,14.224307103583271,12,14.224307103583257
2021-03-10,1216.994980900946,1200,16.994980900946175,12,116.99498090094617
2021-03-10,1216.994980900946,1300,16.994980900946175,13,16.994980900946175
2021-03-15,1320.398510154235,1300,20.398510154235197,13,120.3985101542352
2021-03-15,1320.398510154235,1400,20.398510154235197,14,20.398510154235197
2021-03-22,1424.012260322787,1400,24.012260322786986,14,124.01226032278699
2021-03-22,1424.012260322787,1500,24.012260322786986,15,24.012260322786986
2021-03-23,1521.8219624819837,1500,21.821962481983917,15,121.82196248198392
2021-03-23,1521.8219624819837,1600,21.821962481983917,16,21.821962481983917
2021-03-26,1627.5621757723793,1600,27.562175772379533,16,127.56217577237955
2021-03-26,1627.5621757723793,1700,27.562175772379533,17,27.562175772379547
2021-03-30,1725.2008392456682,1700,25.200839245668433,17,125.20083924566842
2021-03-30,1725.2008392456682,1800,25.200839245668433,18,25.20083924566842
2021-04-16,1827.2481727755876,1800,27.248172775587705,18,127.2481727755877
2021-04-16,1827.2481727755876,1900,27.248172775587705,19,27.248172775587705
2021-04-19,1921.0748549677671,1900,21.074854967767294,19,121.0748549677673
2021-04-19,1921.0748549677671,2000,21.074854967767294,20,21.074854967767294
2021-04-20,2017.2226556827259,2000,17.222655682725986,20,117.22265568272599
2021-04-20,2017.2226556827259,2100,17.222655682725986,21,17.222655682725986
2021-04-22,2115.7613105048804,2100,15.76131050488037,21,115.76131050488036
2021-04-22,2115.7613105048804,2200,15.76131050488037,22,15.761310504880356
2021-04-30,2218.4501971464088,2200,18.45019714640867,22,118.45019714640868
2021-04-30,2218.4501971464088,2300,18.45019714640867,23,18.450197146408684
2021-05-06,2322.0947762365654,2300,22.09477623656531,23,122.0947762365653
2021-05-06,2322.0947762365654,2400,22.09477623656531,24,22.094776236565295
2021-05-10,2424.497878414787,2400,24.497878414786683,24,124.49787841478668
2021-05-10,2424.497878414787,2500,24.497878414786683,25,24.497878414786683
2021-05-12,2521.8736831488545,2500,21.873683148854383,25,121.87368314885438
2021-05-12,2521.8736831488545,2600,21.873683148854383,26,21.873683148854383
2021-06-07,2624.18335108304,2600,24.183351083040193,26,124.1833510830402
2021-06-07,2624.18335108304,2700,24.183351083040193,27,24.183351083040193
2021-06-08,2722.974753854165,2700,22.974753854165144,27,122.97475385416514
2021-06-08,2722.974753854165,2800,22.974753854165144,28,22.974753854165144
2021-06-14,2821.062235840131,2800,21.062235840131024,28,121.06223584013102
2021-06-14,2821.062235840131,2900,21.062235840131024,29,21.062235840131024
2021-06-16,2919.5866061572724,2900,19.586606157272413,29,119.58660615727241
2021-06-16,2919.5866061572724,3000,19.586606157272413,30,19.586606157272413
2021-06-17,3018.530204334352,3000,18.530204334352135,30,118.53020433435212
2021-06-17,3018.530204334352,3100,18.530204334352135,31,18.53020433435212
2021-06-18,3117.334345471052,3100,17.334345471051876,31,117.33434547105189
2021-06-18,3117.334345471052,3200,17.334345471051876,32,17.33434547105189
2021-06-21,3219.4499329600035,3200,19.44993296000351,32,119.44993296000351
2021-06-21,3219.4499329600035,3300,19.44993296000351,33,19.44993296000351
2021-06-29,3318.371706890852,3300,18.371706890851854,33,118.37170689085185
2021-06-29,3318.371706890852,3400,18.371706890851854,34,18.371706890851854
2021-07-01,3420.6170531954153,3400,20.617053195415465,34,120.61705319541547
2021-07-01,3420.6170531954153,3500,20.617053195415465,35,20.617053195415465
2021-07-06,3518.193498126539,3500,18.193498126539126,35,118.19349812653911
2021-07-06,3518.193498126539,3600,18.193498126539126,36,18.19349812653911
2021-07-26,3620.20454592252,3600,20.204545922520296,36,120.20454592252031
2021-07-26,3620.20454592252,3700,20.204545922520296,37,20.20454592252031
2021-07-29,3722.2866514630146,3700,22.286651463014934,37,122.28665146301495
2021-07-29,3722.2866514630146,3800,22.286651463014934,38,22.286651463014948
2021-07-30,3821.1331431677163,3800,21.13314316771681,38,121.13314316771681
2021-07-30,3821.1331431677163,3900,21.13314316771681,39,21.13314316771681
2021-08-04,3919.032369234537,3900,19.032369234537555,39,119.03236923453754
2021-08-04,3919.032369234537,4000,19.032369234537555,40,19.03236923453754
2021-08-10,4021.3263174692142,4000,21.326317469215113,40,121.32631746921511
2021-08-10,4021.3263174692142,4100,21.326317469215113,41,21.326317469215113
2021-08-27,4124.279884666642,4100,24.279884666642587,41,124.27988466664259
2021-08-27,4124.279884666642,4200,24.279884666642587,42,24.279884666642587
2021-09-02,4227.327993288695,4200,27.32799328869578,42,127.32799328869577
2021-09-02,4227.327993288695,4300,27.32799328869578,43,27.327993288695765
2021-09-13,4325.445780853719,4300,25.44578085371954,43,125.44578085371953
2021-09-13,4325.445780853719,4400,25.44578085371954,44,25.445780853719526
2021-09-14,4423.799247274892,4400,23.799247274892892,44,123.79924727489288
2021-09-14,4423.799247274892,4500,23.799247274892892,45,23.799247274892878
2021-09-30,4517.907288486212,4500,17.907288486212565,45,117.90728848621258
2021-09-30,4517.907288486212,4600,17.907288486212565,46,17.90728848621258
2021-10-04,4620.059594969717,4600,20.05959496971839,46,120.05959496971838
2021-10-04,4620.059594969717,4700,20.05959496971839,47,20.059594969718376
2021-10-13,4723.1141848715615,4700,23.114184871562543,47,123.11418487156253
2021-10-13,4723.1141848715615,4800,23.114184871562543,48,23.11418487156253
2021-10-28,4816.143424004692,4800,16.143424004693372,48,116.14342400469337
2021-10-29,4816.143424004692,4900,16.143424004693372,49,16.143424004693372
2021-11-05,4918.613905607749,4900,18.61390560775054,49,118.61390560775054
2021-11-05,4918.613905607749,5000,18.61390560775054,50,18.61390560775054
2021-11-16,5016.955546276639,5000,16.95554627664046,50,116.95554627664046
2021-11-16,5016.955546276639,5100,16.95554627664046,51,16.95554627664046
2021-11-19,5114.592698412926,5100,14.592698412927191,51,114.59269841292719
2021-11-19,5114.592698412926,5200,14.592698412927191,52,14.592698412927191
2021-11-30,5212.841662680145,5200,12.841662680146257,52,112.84166268014626
2021-11-30,5212.841662680145,5300,12.841662680146257,53,12.841662680146257
2021-12-03,5315.84433617203,5300,15.844336172030765,53,115.84433617203075
2021-12-03,5315.84433617203,5400,15.844336172030765,54,15.84433617203075
2021-12-10,5418.507056609757,5400,18.507056609757115,54,118.5070566097571
2021-12-10,5418.507056609757,5500,18.507056609757115,55,18.5070566097571
2021-12-16,5523.519673825246,5500,23.519673825246684,55,123.51967382524668
2021-12-16,5523.519673825246,5600,23.519673825246684,56,23.519673825246684
2021-12-29,5625.547040074755,5600,25.54704007475604,56,125.54704007475603
2021-12-29,5625.547040074755,5700,25.54704007475604,57,25.547040074756026
2022-01-04,5728.987078724865,5700,28.98707872486517,57,128.98707872486517
2022-01-04,5728.987078724865,5800,28.98707872486517,58,28.98707872486517
2022-01-10,5832.065778224073,5800,32.06577822407377,58,132.06577822407377
2022-01-10,5832.065778224073,5900,32.06577822407377,59,32.06577822407377
2022-01-11,5929.968678544186,5900,29.968678544187213,59,129.9686785441872
2022-01-11,5929.968678544186,6000,29.968678544187213,60,29.968678544187213
2022-01-14,6032.657506057691,6000,32.657506057691336,60,132.65750605769134
2022-01-14,6032.657506057691,6100,32.657506057691336,61,32.657506057691336
2022-01-19,6131.240106661124,6100,31.240106661124145,61,131.24010666112414
2022-01-19,6131.240106661124,6200,31.240106661124145,62,31.240106661124145
2022-01-26,6230.0014963936965,6200,30.001496393696925,62,130.00149639369693
2022-01-26,6230.0014963936965,6300,30.001496393696925,63,30.001496393696925
2022-01-28,6332.043231193198,6300,32.043231193198864,63,132.04323119319886
