purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-07,100,102.30127740280024
2021-01-07,2021-01-11,100,98.9718940759179
2021-01-11,2021-01-12,100,98.98270067764861
2021-01-12,2021-01-20,100,102.85951236617343
2021-01-20,2021-01-29,100,97.5782057456399
2021-01-29,2021-02-03,100,102.23734302691521
2021-02-03,2021-02-08,100,102.31069646344109
2021-02-08,2021-02-22,100,103.3747746792493
2021-02-22,2021-02-26,100,98.15473458282796
2021-02-26,2021-03-01,100,102.15583567369863
2021-03-01,2021-03-08,100,105.29733240927098
2021-03-08,2021-03-10,100,102.77067379736292
2021-03-10,2021-03-15,100,103.40352925328902
2021-03-15,2021-03-22,100,103.61375016855179
2021-03-22,2021-03-23,100,97.80970215919693
2021-03-23,2021-03-26,100,105.74021329039563
2021-03-26,2021-03-30,100,97.63866347328887
2021-03-30,2021-04-16,100,102.04733352991929
2021-04-16,2021-04-19,100,93.82668219217959
2021-04-19,2021-04-20,100,96.14780071495869
2021-04-20,2021-04-22,100,98.53865482215437
2021-04-22,2021-04-30,100,102.68888664152833
2021-04-30,2021-05-06,100,103.64457909015661
2021-05-06,2021-05-10,100,102.40310217822139
2021-05-10,2021-05-12,100,97.3758047340677
2021-05-12,2021-06-07,100,102.30966793418581
2021-06-07,2021-06-08,100,98.79140277112495
2021-06-08,2021-06-14,100,98.08748198596588
2021-06-14,2021-06-16,100,98.52437031714139
2021-06-16,2021-06-17,100,98.9435981770797
2021-06-17,2021-06-18,100,98.80414113669977
2021-06-18,2021-06-21,100,102.11558748895162
2021-06-21,2021-06-29,100,98.92177393084835
2021-06-29,2021-07-01,100,102.24534630456361
2021-07-01,2021-07-06,100,97.57644493112365
2021-07-06,2021-07-26,100,102.0110477959812
2021-07-26,2021-07-29,100,102.08210554049464
2021-07-29,2021-07-30,100,98.84649170470186
2021-07-30,2021-08-04,100,97.89922606682073
2021-08-04,2021-08-10,100,102.29394823467757
2021-08-10,2021-08-27,100,102.95356719742747
2021-08-27,2021-09-02,100,103.04810862205318
2021-09-02,2021-09-13,100,98.11778756502376
2021-09-13,2021-09-14,100,98.35346642117335
2021-09-14,2021-09-30,100,94.1080412113197
2021-09-30,2021-10-04,100,102.1523064835058
2021-10-04,2021-10-13,100,103.05458990184415
2021-10-13,2021-10-28,100,93.02923913313084
2021-10-29,2021-11-05,100,102.47048160305717
2021-11-05,2021-11-16,100,98.34164066888992
2021-11-16,2021-11-19,100,97.63715213628673
2021-11-19,2021-11-30,100,98.24896426721907
2021-11-30,2021-12-03,100,103.0026734918845
2021-12-03,2021-12-10,100,102.66272043772635
2021-12-10,2021-12-16,100,105.01261721548958
2021-12-16,2021-12-29,100,102.02736624950934
2021-12-29,2022-01-04,100,103.44003865010916
2022-01-04,2022-01-10,100,103.0786994992086
2022-01-10,2022-01-11,100,97.90290032011345
2022-01-11,2022-01-14,100,102.68882751350412
2022-01-14,2022-01-19,100,98.58260060343281
2022-01-19,2022-01-26,100,98.76138973257278
2022-01-26,2022-01-28,100,102.04173479950194
2022-01-28,2022-02-18,100,102.49674465493341
2022-02-18,2022-02-24,100,95.80659306433239
2022-02-24,2022-02-25,100,103.8516734643246
2022-02-25,2022-03-02,100,102.58458065951083
2022-03-02,2022-03-08,100,96.36334070769811
2022-03-08,2022-03-21,100,102.67246102661001
2022-03-21,2022-03-22,100,102.02846794566133
2022-03-22,2022-03-25,100,102.31270086231585
2022-03-25,2022-03-28,100,97.03476065241097
2022-03-28,2022-04-06,100,103.45949367595742
2022-04-06,2022-04-12,100,102.00628877237277
2022-04-12,2022-04-21,100,102.95043258079335
2022-04-21,2022-04-22,100,98.23095161712594
2022-04-22,2022-04-26,100,98.82955102132746
2022-04-26,2022-05-04,100,102.76972221114384
2022-05-04,2022-05-09,100,97.97850813567777
2022-05-09,2022-05-10,100,93.3224694264008
2022-05-10,2022-05-13,100,102.85069281637536
2022-05-13,2022-05-17,100,102.26234385347132
2022-05-17,2022-05-18,100,98.0824734344075
2022-05-18,2022-05-19,100,96.03393994487011
2022-05-19,2022-05-23,100,102.015965335678
2022-05-23,2022-05-25,100,103.3961313338759
2022-05-25,2022-06-08,100,91.8350572089461
2022-06-08,2022-06-09,100,98.322996409279
2022-06-09,2022-06-13,100,96.91735636320018
2022-06-13,2022-06-15,100,98.72458451202264
2022-06-15,2022-06-22,100,90.86944744789113
2022-06-22,2022-06-23,100,102.43371879326571
2022-06-23,2022-06-24,100,102.09354955856287
2022-06-24,2022-06-29,100,96.22125482325337
2022-06-29,2022-07-06,100,98.5631571860502
2022-07-06,2022-07-12,100,102.79386779799104
2022-07-12,2022-07-14,100,98.39287267666077
2022-07-14,2022-07-19,100,103.19479951767346
2022-07-19,2022-07-20,100,98.51024031299231
2022-07-20,2022-07-25,100,103.56813273357137
2022-07-25,2022-08-10,100,102.07621900016794
2022-08-10,2022-08-16,100,102.23507985366066
2022-08-16,2022-08-30,100,98.64459514432468
2022-08-30,2022-09-06,100,98.78095756010241
2022-09-06,2022-09-09,100,102.24360591810986
2022-09-09,2022-09-13,100,94.29454087779402
2022-09-13,2022-09-19,100,102.09374256483463
2022-09-19,2022-09-23,100,97.13353530645537
2022-09-23,2022-09-27,100,97.86468330134358
2022-09-27,2022-09-30,100,98.99485167933318
2022-09-30,2022-10-03,100,102.4517087667162
2022-10-03,2022-10-04,100,102.73144790911289
2022-10-04,2022-10-10,100,102.25882352941176
2022-10-10,2022-10-11,100,102.04786010124252
2022-10-11,2022-10-13,100,103.47237880496054
2022-10-13,2022-10-14,100,98.5617781651776
2022-10-14,2022-10-17,100,98.5850099491488
2022-10-17,2022-10-20,100,97.69006503700382
2022-10-20,2022-10-21,100,102.11202938475665
2022-10-21,2022-10-24,100,102.09082733812949
2022-10-24,2022-11-02,100,98.744769874477
2022-11-02,2022-11-07,100,102.3193577163247
2022-11-07,2022-11-09,100,98.53966870095901
2022-11-09,2022-11-10,100,97.81021897810218
2022-11-10,2022-11-15,100,98.73360470375395
2022-11-15,2022-11-21,100,102.61108566193312
2022-11-21,2022-11-29,100,102.27678571428571
2022-11-29,2022-12-01,100,102.59711916193801
2022-12-01,2022-12-06,100,98.29823441820889
2022-12-06,2022-12-21,100,98.6582990694655
2022-12-21,2023-01-18,100,96.53432770344372
2023-01-18,2023-01-20,100,102.11315610088616
2023-01-20,2023-01-26,100,98.55362705829997
2023-01-26,2023-02-01,100,107.3379995484308
2023-02-01,2023-02-02,100,98.80100967606226
2023-02-02,2023-02-08,100,98.99936129444326
2023-02-08,2023-02-13,100,102.90322580645162
2023-02-13,2023-02-22,100,98.51619644723093
2023-02-22,2023-02-27,100,98.72719558761138
2023-02-27,2023-03-17,100,97.37859905457671
2023-03-17,2023-03-23,100,95.89585172109444
2023-03-23,2023-03-28,100,102.07086976530142
2023-03-28,2023-04-17,100,102.43462578899909
2023-04-17,2023-04-19,100,102.24471830985917
2023-04-19,2023-04-20,100,98.98837709857943
2023-04-20,2023-04-25,100,102.17438573602958
2023-04-25,2023-05-04,100,98.16982336667375
2023-05-04,2023-05-15,100,98.76436158681986
2023-05-15,2023-05-16,100,98.96839332748026
2023-05-16,2023-05-26,100,98.9354624085163
2023-05-26,2023-06-12,100,102.06231786594935
2023-06-12,2023-06-14,100,96.52976059740831
2023-06-14,2023-06-20,100,98.90784982935152
2023-06-20,2023-06-27,100,102.00138026224982
2023-06-27,2023-06-30,100,102.16508795669823
2023-06-30,2023-08-02,100,98.38852097130244
2023-08-02,2023-08-04,100,98.72111285618129
2023-08-04,2023-08-14,100,98.93181818181819
2023-08-14,2023-08-15,100,98.94325752354698
2023-08-15,2023-08-17,100,98.83909914093336
2023-08-17,2023-08-25,100,102.58397932816538
2023-08-25,2023-09-12,100,102.74788184108081
2023-09-12,2023-09-14,100,98.28393135725429
2023-09-14,2023-09-15,100,98.70748299319729
2023-09-15,2023-09-19,100,98.92028486101539
2023-09-19,2023-09-22,100,98.30469112865768
2023-09-22,2023-09-26,100,98.98417198204584
2023-09-26,2023-10-03,100,98.1622911694511
2023-10-03,2023-10-05,100,102.09093119377583
2023-10-05,2023-10-16,100,102.09573708025718
2023-10-16,2023-10-23,100,98.27385117797995
2023-10-23,2023-10-26,100,93.18775219558508
2023-10-26,2023-10-30,100,102.52165053489557
2023-10-31,2023-11-22,100,102.53920836445107
2023-11-22,2023-11-30,100,102.06360767176498
2023-11-30,2023-12-06,100,98.3824928639391
2023-12-06,2023-12-18,100,102.03094777562865
2023-12-18,2023-12-20,100,95.49763033175354
2023-12-20,2024-01-02,100,103.17617866004963
2024-01-02,2024-01-10,100,98.74939874939875
2024-01-10,2024-01-18,100,98.4900146127618
2024-01-18,2024-01-24,100,98.73887240356083
2024-01-24,2024-02-01,100,104.48284497871273
2024-02-01,2024-02-05,100,97.12368168744008
2024-02-05,2024-02-08,100,98.93879565646594
2024-02-08,2024-02-22,100,102.02045397854826
2024-02-22,2024-03-04,100,97.13936430317848
2024-03-04,2024-03-06,100,104.32922225018879
2024-03-06,2024-03-11,100,102.96743063932448
2024-03-11,2024-03-14,100,103.74882849109655
2024-03-14,2024-03-22,100,97.06413730803973
2024-03-22,2024-04-03,100,97.99906933457422
2024-04-03,2024-04-04,100,98.59924026590694
2024-04-04,2024-04-12,100,98.84420900553815
2024-04-12,2024-04-19,100,102.53349573690622
2024-04-19,2024-04-25,100,103.44499881206937
2024-04-25,2024-05-09,100,102.68718419843823
2024-05-09,2024-05-15,100,102.54976515320958
2024-05-15,2024-05-29,100,98.47328244274809
2024-05-29,2024-05-31,100,102.43632336655592
2024-05-31,2024-06-13,100,98.91891891891892
2024-06-13,2024-06-14,100,96.87431693989072
2024-06-14,2024-06-20,100,102.50451263537906
2024-06-20,2024-06-24,100,102.24521241470394
2024-06-24,2024-06-27,100,97.86867599569429
2024-06-27,2024-07-09,100,102.7276726792785
2024-07-09,2024-07-12,100,102.20556745182012
2024-07-12,2024-07-17,100,103.47789650115233
2024-07-17,2024-07-26,100,102.1056894108119
2024-07-26,2024-07-31,100,97.18421574459647
2024-07-31,2024-08-01,100,102.06080391756784
2024-08-01,2024-08-02,100,102.09916033586566
2024-08-02,2024-08-05,100,96.63207362443706
2024-08-05,2024-08-08,100,102.22897669706181
2024-08-08,2024-08-21,100,102.69573835480674
2024-08-21,2024-08-27,100,102.31615518239721
2024-08-27,2024-09-04,100,103.2069420863988
2024-09-04,2024-09-06,100,98.13562420032899
2024-09-06,2024-09-12,100,98.04432855280314
2024-09-12,2024-09-16,100,98.21428571428572
2024-09-16,2024-09-17,100,97.67891682785299
2024-09-17,2024-10-03,100,98.97029702970298
2024-10-03,2024-10-21,100,98.1592637054822
2024-10-21,2024-10-22,100,102.03832042397065
2024-10-22,2024-10-31,100,108.78945265681182
2024-10-31,2024-11-01,100,98.91663606316563
2024-11-01,2024-11-13,100,102.56172266567663
