purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-05,100,98.38647357927763
2021-01-04,2021-01-05,100,102.20479895223113
2021-01-04,2021-01-05,100,102.12740567163532
2021-01-04,2021-01-05,100,102.72833404087574
2021-01-04,2021-01-05,100,108.17285309180176
2021-01-04,2021-01-05,100,102.99590765191877
2021-01-04,2021-01-05,100,106.57563780093425
2021-01-04,2021-01-05,100,98.90250579747487
2021-01-04,2021-01-05,100,102.57234521599918
2021-01-04,2021-01-05,100,108.14339839947351
2021-01-04,2021-01-05,100,109.66398995509626
2021-01-04,2021-01-05,100,107.62462300119502
2021-01-04,2021-01-05,100,104.69879064160041
2021-01-04,2021-01-05,100,102.70424377065027
2021-01-04,2021-01-05,100,109.55158534980222
2021-01-04,2021-01-05,100,105.73592457312063
2021-01-04,2021-01-05,100,98.86144323774938
2021-01-04,2021-01-05,100,103.26520533373855
2021-01-04,2021-01-05,100,104.39522494080504
2021-01-04,2021-01-05,100,104.66409927257168
2021-01-04,2021-01-05,100,103.14164427928223
2021-01-04,2021-01-05,100,103.25710325710324
2021-01-04,2021-01-05,100,103.99622505552179
2021-01-04,2021-01-05,100,106.75105204725403
2021-01-04,2021-01-05,100,105.28968526916694
2021-01-04,2021-01-05,100,98.27735189427872
2021-01-04,2021-01-05,100,98.21983967544314
2021-01-04,2021-01-05,100,103.35886511965191
2021-01-04,2021-01-05,100,98.48976009886185
2021-01-04,2021-01-05,100,98.88261165490066
2021-01-05,2021-01-06,100,98.1023892929515
2021-01-04,2021-01-06,100,98.07424795687707
2021-01-05,2021-01-06,100,108.714607571046
2021-01-05,2021-01-06,100,108.42760881958237
2021-01-04,2021-01-06,100,102.75930380642421
2021-01-05,2021-01-06,100,98.14148211910165
2021-01-04,2021-01-06,100,103.96149865069684
2021-01-04,2021-01-06,100,98.48555218035298
2021-01-04,2021-01-06,100,104.17655032192476
2021-01-05,2021-01-06,100,103.53849613914088
2021-01-05,2021-01-06,100,96.27107215104517
2021-01-04,2021-01-06,100,105.3910063837777
2021-01-04,2021-01-06,100,97.53447290615915
2021-01-05,2021-01-06,100,96.81895155052959
2021-01-04,2021-01-06,100,98.72345567798565
2021-01-04,2021-01-06,100,98.4913599907193
2021-01-05,2021-01-06,100,104.10951024773654
2021-01-04,2021-01-06,100,106.07835628020081
2021-01-05,2021-01-06,100,102.11815519332603
2021-01-05,2021-01-06,100,104.93917887420014
2021-01-05,2021-01-06,100,105.52996305426858
2021-01-04,2021-01-06,100,102.828301137037
2021-01-05,2021-01-06,100,106.55194996797432
2021-01-05,2021-01-06,100,103.21591804866802
2021-01-04,2021-01-06,100,105.42030941541437
2021-01-05,2021-01-06,100,104.0773739890351
2021-01-05,2021-01-06,100,103.99016243774588
2021-01-04,2021-01-06,100,104.8137535816619
2021-01-04,2021-01-06,100,105.10858984441597
2021-01-04,2021-01-06,100,104.2574248830163
2021-01-04,2021-01-06,100,104.0325819966454
2021-01-04,2021-01-06,100,108.29531209414212
2021-01-04,2021-01-06,100,105.17842174972967
2021-01-04,2021-01-06,100,102.90811155737399
2021-01-04,2021-01-06,100,103.59032019012086
2021-01-04,2021-01-06,100,102.81210549660516
2021-01-04,2021-01-06,100,102.78684408737134
2021-01-04,2021-01-06,100,102.4735109141314
2021-01-04,2021-01-06,100,104.11916067897448
2021-01-04,2021-01-06,100,104.95405308280714
2021-01-04,2021-01-06,100,97.83244996440156
2021-01-04,2021-01-06,100,102.24533374953
2021-01-04,2021-01-06,100,104.25627326868107
2021-01-04,2021-01-06,100,97.86565547128927
2021-01-04,2021-01-06,100,96.07903737586024
2021-01-04,2021-01-06,100,96.47472443937667
2021-01-04,2021-01-06,100,107.08976603745425
2021-01-05,2021-01-06,100,104.71412545021552
2021-01-04,2021-01-06,100,109.2233957136681
2021-01-05,2021-01-06,100,106.56585373420651
2021-01-04,2021-01-06,100,103.50875241887051
2021-01-04,2021-01-06,100,104.04954869487437
2021-01-05,2021-01-06,100,107.46437823834198
2021-01-05,2021-01-06,100,102.68322119412572
2021-01-04,2021-01-06,100,102.12911760093277
2021-01-04,2021-01-06,100,97.6946576466613
2021-01-04,2021-01-06,100,102.39261683572866
2021-01-04,2021-01-06,100,97.85231089455509
2021-01-04,2021-01-06,100,95.60363431261956
2021-01-05,2021-01-06,100,102.01551284810321
2021-01-05,2021-01-06,100,103.99910546325164
2021-01-04,2021-01-06,100,102.85604527119871
2021-01-05,2021-01-06,100,102.13239787886835
2021-01-04,2021-01-07,100,102.79295957429986
2021-01-04,2021-01-07,100,103.41445632551034
2021-01-06,2021-01-07,100,102.86925815936054
2021-01-06,2021-01-07,100,96.65822119865855
2021-01-06,2021-01-07,100,96.0926529465936
2021-01-06,2021-01-07,100,107.70641470318543
2021-01-06,2021-01-07,100,104.84396495547028
2021-01-06,2021-01-07,100,105.95363171534635
2021-01-04,2021-01-07,100,98.03650792337095
2021-01-06,2021-01-07,100,98.89107753627911
2021-01-06,2021-01-07,100,98.95923392449446
2021-01-04,2021-01-07,100,102.30127740280024
2021-01-06,2021-01-07,100,106.46186572198333
2021-01-06,2021-01-07,100,102.04677966101694
2021-01-06,2021-01-07,100,102.30114029933455
2021-01-06,2021-01-07,100,102.73839499078899
2021-01-05,2021-01-07,100,102.71248700473605
2021-01-04,2021-01-07,100,98.17587577227906
2021-01-04,2021-01-07,100,103.08293887631199
2021-01-05,2021-01-07,100,102.70578497194887
2021-01-06,2021-01-07,100,102.64689920568355
2021-01-04,2021-01-07,100,102.00721119722908
2021-01-06,2021-01-07,100,103.54176844162188
2021-01-06,2021-01-07,100,102.62130312209985
2021-01-04,2021-01-07,100,98.74537729414489
2021-01-05,2021-01-07,100,105.53557693834811
2021-01-06,2021-01-07,100,103.39532627152907
2021-01-06,2021-01-07,100,104.22899725236601
2021-01-06,2021-01-07,100,105.34706077715043
2021-01-06,2021-01-07,100,102.45115910016942
2021-01-04,2021-01-07,100,102.6276829014549
2021-01-06,2021-01-07,100,102.0359232677914
2021-01-06,2021-01-07,100,103.1143355823586
2021-01-06,2021-01-07,100,105.07701579722071
2021-01-06,2021-01-07,100,98.38289368217875
2021-01-06,2021-01-07,100,98.91907771090169
2021-01-04,2021-01-07,100,103.36134453781514
2021-01-06,2021-01-07,100,98.62682813844218
2021-01-06,2021-01-07,100,97.01829088859185
2021-01-06,2021-01-07,100,98.99734790509801
2021-01-04,2021-01-07,100,97.26630410790153
2021-01-04,2021-01-07,100,97.51790233879588
2021-01-04,2021-01-07,100,97.9773783838474
2021-01-05,2021-01-07,100,96.93411344325791
2021-01-06,2021-01-07,100,95.1235862518076
2021-01-06,2021-01-07,100,97.96803435619162
2021-01-04,2021-01-08,100,102.50095938521626
2021-01-07,2021-01-08,100,97.2498558485714
2021-01-07,2021-01-08,100,97.98370789762552
2021-01-05,2021-01-08,100,103.4927053892304
2021-01-07,2021-01-08,100,103.06485045898725
2021-01-07,2021-01-08,100,102.24080168022924
2021-01-06,2021-01-08,100,98.56673899738497
2021-01-06,2021-01-08,100,98.85075468153065
2021-01-06,2021-01-08,100,97.05852554793826
2021-01-06,2021-01-08,100,98.45372412494152
2021-01-06,2021-01-08,100,102.24642769211127
2021-01-07,2021-01-08,100,102.17959739236335
2021-01-05,2021-01-08,100,102.50204415372035
2021-01-07,2021-01-08,100,94.76291578202407
2021-01-07,2021-01-08,100,98.17685229778712
2021-01-06,2021-01-08,100,105.31139724363794
2021-01-06,2021-01-08,100,97.61907320060598
2021-01-07,2021-01-08,100,96.18139329249036
2021-01-04,2021-01-08,100,102.70982731273597
2021-01-06,2021-01-08,100,103.40633309161227
2021-01-07,2021-01-08,100,102.79522813712505
2021-01-04,2021-01-08,100,104.47923177843568
2021-01-07,2021-01-11,100,98.9826531789684
2021-01-07,2021-01-11,100,98.8513078752273
2021-01-06,2021-01-11,100,102.66128644857568
2021-01-08,2021-01-11,100,98.45209021692285
2021-01-04,2021-01-11,100,98.82237487733072
2021-01-06,2021-01-11,100,98.73144843342327
2021-01-06,2021-01-11,100,102.90802634788973
2021-01-07,2021-01-11,100,97.92424142262179
2021-01-06,2021-01-11,100,104.60264599001934
2021-01-08,2021-01-11,100,98.2804972627263
2021-01-08,2021-01-11,100,98.23024035584858
2021-01-06,2021-01-11,100,98.13042081593318
2021-01-04,2021-01-11,100,98.98805890938038
2021-01-06,2021-01-11,100,98.37459162576347
2021-01-07,2021-01-11,100,98.9718940759179
2021-01-06,2021-01-11,100,103.51445672654675
2021-01-07,2021-01-11,100,103.55968349510694
2021-01-08,2021-01-11,100,104.82115518441198
2021-01-06,2021-01-11,100,102.00607577968863
2021-01-07,2021-01-11,100,98.60725925626025
2021-01-06,2021-01-11,100,98.87916894477857
