date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-13,98.90104217747472,100,-1.0989578225252785,1,98.90104217747472
2021-01-13,98.90104217747472,200,-1.0989578225252785,2,0.0
2021-01-14,201.28047850315323,200,1.2665595479243592,2,102.3794363256785
2021-01-14,201.28047850315323,300,1.2665595479243592,3,2.3794363256784976
2021-01-19,300.11662672984687,300,0.11535898327615257,3,101.21558455237214
2021-01-19,300.11662672984687,400,0.11535898327615257,4,1.2155845523721354
2021-01-26,402.8828278068239,400,2.85149112207921,4,103.98178562934919
2021-01-26,402.8828278068239,500,2.85149112207921,5,3.98178562934919
2021-01-27,500.83001686117575,500,0.820994478135745,5,101.928974683701
2021-01-27,500.83001686117575,600,0.820994478135745,6,1.928974683701
2021-01-28,599.6673155406463,600,-0.32906813929550083,6,100.76627336317155
2021-01-28,599.6673155406463,700,-0.32906813929550083,7,0.7662733631715497
2021-02-03,698.6583980790122,700,-1.3270185468608275,7,99.75735590153737
2021-02-03,698.6583980790122,800,-1.3270185468608275,8,0.0
2021-02-17,802.3727705846948,800,2.3413588691292233,8,103.7143725056826
2021-02-17,802.3727705846948,900,2.3413588691292233,9,3.7143725056826042
2021-02-18,901.2264564643267,900,1.2102201278433284,9,102.56805838531457
2021-02-18,901.2264564643267,1000,1.2102201278433284,10,2.568058385314572
2021-02-25,999.17390124252,1000,-0.8151625214333791,10,100.51550316350782
2021-02-25,999.17390124252,1100,-0.8151625214333791,11,0.515503163507816
2021-02-26,1096.5865163735841,1100,-3.3682945223987986,11,97.92811829457209
2021-02-26,1096.5865163735841,1200,-3.3682945223987986,12,0.0
2021-03-03,1199.5601159067173,1200,-0.42536435081504465,12,102.9735995331331
2021-03-03,1199.5601159067173,1300,-0.42536435081504465,13,2.973599533133097
2021-03-05,1302.6958558550357,1300,2.6068707488613256,13,106.10933948145136
2021-03-05,1302.6958558550357,1400,2.6068707488613256,14,6.109339481451357
2021-03-26,1405.0234185938666,1400,4.85760504115089,14,108.43690222028236
2021-03-26,1405.0234185938666,1500,4.85760504115089,15,8.436902220282363
2021-04-06,1507.2379333958904,1500,6.999022895348574,15,110.65141702230622
2021-04-06,1507.2379333958904,1600,6.999022895348574,16,10.65141702230622
2021-04-08,1605.7278646643867,1600,5.538798678399388,16,109.14134829080253
2021-04-08,1605.7278646643867,1700,5.538798678399388,17,9.141348290802526
2021-04-13,1704.4956107359044,1700,4.3472191229384975,17,107.90909436232025
2021-04-13,1704.4956107359044,1800,4.3472191229384975,18,7.909094362320246
2021-04-22,1810.333894776871,1800,9.992792443007232,18,113.74737840328683
2021-04-22,1810.333894776871,1900,9.992792443007232,19,13.747378403286831
2021-04-26,1908.8985418373468,1900,8.604817790969179,19,112.31202546376265
2021-04-26,1908.8985418373468,2000,8.604817790969179,20,12.312025463762652
