date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-06,105.17842174972967,100,5.178421749729665,1,105.17842174972967
2021-01-06,105.17842174972967,200,5.178421749729665,2,5.178421749729665
2021-01-15,210.2556755795705,200,10.255675579570493,2,110.2556755795705
2021-01-15,210.2556755795705,300,10.255675579570493,3,10.255675579570493
2021-01-20,312.8309652576853,300,12.83096525768535,3,112.83096525768534
2021-01-20,312.8309652576853,400,12.83096525768535,4,12.830965257685335
2021-01-25,411.64874028613184,400,11.648740286131869,4,111.64874028613188
2021-01-25,411.64874028613184,500,11.648740286131869,5,11.648740286131883
2021-01-26,508.2141921543656,500,8.214192154365676,5,108.21419215436568
2021-01-26,508.2141921543656,600,8.214192154365676,6,8.214192154365676
2021-01-27,601.776255861804,600,1.77625586180406,6,101.77625586180405
2021-01-27,601.776255861804,700,1.77625586180406,7,1.7762558618040458
2021-01-29,703.8125153145111,700,3.812515314511117,7,103.81251531451112
2021-01-29,703.8125153145111,800,3.812515314511117,8,3.812515314511117
2021-02-01,808.4772307600537,800,8.477230760053715,8,108.4772307600537
2021-02-01,808.4772307600537,900,8.477230760053715,9,8.4772307600537
2021-02-02,919.2677135691333,900,19.26771356913332,9,119.26771356913332
2021-02-02,919.2677135691333,1000,19.26771356913332,10,19.26771356913332
2021-02-03,1017.0514375113263,1000,17.05143751132634,10,117.05143751132634
2021-02-03,1017.0514375113263,1100,17.05143751132634,11,17.05143751132634
2021-02-04,1120.9389251624632,1100,20.93892516246332,11,120.93892516246332
2021-02-04,1120.9389251624632,1200,20.93892516246332,12,20.93892516246332
2021-02-08,1222.9872359267192,1200,22.987235926719293,12,122.9872359267193
2021-02-08,1222.9872359267192,1300,22.987235926719293,13,22.987235926719293
2021-02-12,1325.1946167468127,1300,25.1946167468127,13,125.19461674681268
2021-02-12,1325.1946167468127,1400,25.1946167468127,14,25.194616746812684
2021-02-16,1428.237107944697,1400,28.237107944697158,14,128.23710794469716
2021-02-16,1428.237107944697,1500,28.237107944697158,15,28.237107944697158
2021-02-18,1524.850268492417,1500,24.850268492417086,15,124.8502684924171
2021-02-18,1524.850268492417,1600,24.850268492417086,16,24.8502684924171
